Variacoes - JULHO - SETEMBRO,RJ,POA,BH,REC,SP,DF,BEL,FOR,SAL,CUR,GOI,VIT,CG,RB,SL,AJU,NACIONAL
 ÍNDICE GERAL,-0.54,-1.9500000000000002,-2.67,-2.25,-0.4,-1.46,-1.12,-2.04,-1.55,-2.03,-2.75,-0.68,-1.56,-1.35,-1.85,-1.83,-1.33
 ALIMENTAÇÃO E BEBIDAS,1.26,0.9800000000000002,0.89,2.77,0.5599999999999998,1.78,-0.04999999999999993,1.07,1.66,1.4,1.52,2.12,1.02,2.62,0.17000000000000004,1.19,1.03
 ALIMENTAÇÃO NO DOMICÍLIO,1.1,0.54,0.25,2.63,-0.1299999999999999,1.35,-0.4799999999999999,1.02,1.73,1.4,0.75,2.05,0.86,2.5,-0.18999999999999995,1.1099999999999999,0.62
" CEREAIS, LEGUMINOSAS E OLEAGINOSAS",-2.39,-3.27,-5.25,-3.77,-4.12,-2.81,-6.4799999999999995,-1.51,-2.2800000000000002,-3.5999999999999996,-5.23,-2.79,-3.84,-1.67,-4.15,-0.2799999999999999,-3.77
 ARROZ,1.03,-2.75,-1.38,-0.5,-0.8400000000000002,-2.17,-3.08,0.31,-0.05999999999999983,-4.53,-0.61,-0.14000000000000012,-1.26,-1.02,-3.06,3.38,-1.1700000000000002
 FEIJÃO-MULATINHO,0.0,0.0,0.0,-6.880000000000001,0.0,0.0,0.0,0.0,1.19,0.0,0.0,0.0,0.0,0.0,-13.65,0.0,-4.37
 FEIJÃO-PRETO,-9.26,-10.23,0.0,0.0,0.0,-6.04,-21.259999999999998,0.0,0.0,-10.56,0.0,-11.100000000000001,0.0,0.0,0.0,0.0,-10.510000000000002
 FEIJÃO-MACÁÇAR (FRADINHO),0.0,0.0,0.0,2.8100000000000005,0.0,0.0,0.0,-5.97,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.37
 FEIJÃO-CARIOCA (RAJADO),0.0,0.0,-14.78,-9.37,-11.629999999999999,-9.379999999999999,-10.48,0.0,-8.850000000000001,0.0,-17.0,0.0,-15.7,-4.220000000000001,-8.11,-4.83,-11.86
 MILHO (EM GRÃO),0.0,10.989999999999998,0.0,0.0,0.0,13.82,0.0,0.0,0.0,10.31,0.0,0.0,0.0,0.0,0.0,0.0,10.99
