Variacoes - JANEIRO - MARÇO,RJ,POA,BH,REC,SP,DF,BEL,FOR,SAL,CUR,GOI,VIT,CG,RB,SL,AJU,NACIONAL
 ÍNDICE GERAL,3.5900000000000003,1.51,3.3099999999999996,2.91,3.1399999999999997,2.83,3.09,3.19,3.2199999999999998,4.1499999999999995,3.75,2.9299999999999997,3.41,3.1500000000000004,3.93,3.59,3.17
 ALIMENTAÇÃO E BEBIDAS,4.81,4.96,5.47,3.33,4.640000000000001,4.87,6.17,3.39,4.569999999999999,5.05,5.279999999999999,5.3,5.1000000000000005,2.07,5.080000000000001,5.24,4.8100000000000005
 ALIMENTAÇÃO NO DOMICÍLIO,6.07,6.28,7.109999999999999,4.25,6.43,6.85,7.42,4.380000000000001,5.0600000000000005,6.43,6.1,6.4,5.8,2.4,5.67,6.360000000000001,6.18
" CEREAIS, LEGUMINOSAS E OLEAGINOSAS",1.9899999999999998,0.3200000000000003,3.37,3.5500000000000003,4.040000000000001,4.42,3.4400000000000004,-0.8599999999999999,3.0999999999999996,-2.29,1.9100000000000001,1.5200000000000005,1.6099999999999997,0.5799999999999996,2.880000000000001,-0.8899999999999999,2.3600000000000003
 ARROZ,4.440892098500626e-16,1.6099999999999999,0.48,0.46999999999999975,1.7899999999999998,1.3499999999999999,-0.8400000000000001,-2.6,0.49,-5.16,-0.8100000000000005,0.14000000000000012,-1.66,-0.7200000000000004,2.3499999999999996,-4.38,0.16999999999999993
 FEIJÃO-MULATINHO,0.0,0.0,0.0,1.44,0.0,0.0,0.0,0.0,3.69,0.0,0.0,0.0,0.0,0.0,3.08,0.0,2.77
 FEIJÃO-PRETO,5.85,-4.54,0.0,0.0,0.0,10.899999999999999,8.24,0.0,0.0,5.75,0.0,5.829999999999999,0.0,0.0,0.0,0.0,3.9200000000000004
 FEIJÃO-MACÁÇAR (FRADINHO),0.0,0.0,0.0,4.02,0.0,0.0,0.0,3.5000000000000004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.5600000000000005
 FEIJÃO-CARIOCA (RAJADO),0.0,0.0,12.83,11.420000000000002,10.639999999999999,12.08,15.96,0.0,10.36,0.0,11.879999999999999,0.0,20.65,7.340000000000001,11.1,4.78,11.44
 MILHO (EM GRÃO),0.0,4.54,0.0,0.0,0.0,6.21,0.0,0.0,0.0,5.6899999999999995,0.0,0.0,0.0,0.0,0.0,0.0,5.33
" FARINHAS, FÉCULAS E MASSAS",2.67,3.79,4.890000000000001,6.68,3.1700000000000004,4.609999999999999,7.89,3.4899999999999998,6.209999999999999,3.37,3.26,6.98,6.13,0.94,4.28,9.3,4.38
 FARINHA DE ARROZ,0.0,0.0,0.0,2.35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.35
 MACARRÃO,6.53,0.40000000000000013,3.42,8.23,5.22,10.38,3.2299999999999995,4.99,1.9500000000000002,2.36,1.46,7.970000000000001,6.6,6.609999999999999,2.3099999999999996,6.32,4.2700000000000005
 FUBÁ DE MILHO,0.0,0.0,0.0,-1.25,0.0,0.0,0.0,0.8500000000000001,0.0,0.0,0.0,0.0,0.0,0.0,-0.2699999999999996,1.71,-0.16999999999999993
 FLOCOS DE MILHO,0.0,0.0,0.0,-2.9699999999999998,0.0,6.48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.12,3.17,1.29
 FARINHA DE TRIGO,0.0,8.44,7.25,0.0,7.4799999999999995,0.0,0.0,0.0,7.909999999999999,5.59,7.540000000000001,5.31,12.15,0.0,0.0,0.0,7.4
 FARINHA DE MANDIOCA,13.100000000000001,0.0,7.17,18.77,5.56,2.45,9.84,4.1899999999999995,9.14,0.0,-0.8999999999999995,17.79,0.0,-3.19,5.25,15.91,8.51
 MASSA SEMIPREPARADA,-9.559999999999999,3.3600000000000003,4.53,0.0,-1.9599999999999997,0.33000000000000007,1.2599999999999998,0.28,5.54,3.04,6.51,1.43,3.93,0.0,0.0,0.0,-0.040000000000000036
 MACARRÃO INSTANTÂNEO,10.95,0.0,0.0,0.0,6.449999999999999,10.379999999999999,0.0,0.0,0.0,2.94,0.0,6.76,1.6400000000000001,6.22,0.0,0.0,6.82
" TUBÉRCULOS, RAÍZES E LEGUMES",50.37,27.749999999999996,50.36,30.67,31.33,29.629999999999995,31.959999999999997,44.66,34.86,42.800000000000004,41.160000000000004,45.03,34.75,11.79,26.06,36.92,36.67999999999999
