Variacoes - ABRIL - JUNHO,RJ,POA,BH,REC,SP,DF,BEL,FOR,SAL,CUR,GOI,VIT,CG,RB,SL,AJU,NACIONAL
 ÍNDICE GERAL,2.34,2.3,2.16,2.8,2.02,2.33,1.83,3.0,3.2,1.88,1.69,1.3599999999999999,2.12,1.92,1.82,2.7700000000000005,2.2
 ALIMENTAÇÃO E BEBIDAS,1.68,4.93,2.46,3.15,4.109999999999999,2.2,2.91,3.33,3.5500000000000003,3.5999999999999996,2.18,1.7,1.77,4.04,3.69,2.38,3.34
 ALIMENTAÇÃO NO DOMICÍLIO,2.26,5.890000000000001,2.09,3.2399999999999998,4.52,2.7800000000000002,3.05,3.5599999999999996,3.8600000000000003,4.35,1.9,1.29,1.44,4.59,4.1,2.02,3.65
" CEREAIS, LEGUMINOSAS E OLEAGINOSAS",-3.08,5.12,5.42,11.77,7.52,4.99,9.14,0.33999999999999986,8.89,4.33,8.740000000000002,-2.9299999999999997,3.8899999999999997,6.4,3.6500000000000004,10.74,5.35
 ARROZ,-1.44,4.66,-1.2399999999999998,5.92,1.27,1.6500000000000004,8.26,0.6600000000000001,3.44,6.15,0.08999999999999986,-1.63,1.6500000000000004,2.7700000000000005,2.46,1.52,1.7300000000000002
 FEIJÃO-MULATINHO,0.0,0.0,0.0,14.1,0.0,0.0,0.0,0.0,5.23,0.0,0.0,0.0,0.0,0.0,-0.98,0.0,7.07
 FEIJÃO-PRETO,-6.159999999999999,5.449999999999999,0.0,0.0,0.0,-7.629999999999999,-4.77,0.0,0.0,-4.41,0.0,-6.699999999999999,0.0,0.0,0.0,0.0,-3.54
 FEIJÃO-MACÁÇAR (FRADINHO),0.0,0.0,0.0,-5.790000000000001,0.0,0.0,0.0,-0.40000000000000036,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.44
 FEIJÃO-CARIOCA (RAJADO),0.0,0.0,23.91,27.529999999999998,23.48,18.25,18.96,0.0,24.450000000000003,0.0,34.88,0.0,14.68,23.53,24.1,23.7,24.15
 MILHO (EM GRÃO),0.0,8.04,0.0,0.0,0.0,6.18,0.0,0.0,0.0,5.12,0.0,0.0,0.0,0.0,0.0,0.0,6.29
" FARINHAS, FÉCULAS E MASSAS",9.41,11.34,10.37,7.84,8.77,6.83,0.8800000000000001,4.87,7.17,8.49,9.47,12.04,9.52,7.25,7.050000000000001,3.12,8.15
 FARINHA DE ARROZ,0.0,0.0,0.0,6.91,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.91
 MACARRÃO,10.899999999999999,14.23,11.66,10.13,7.73,9.51,16.11,5.039999999999999,8.469999999999999,2.23,13.43,10.18,8.6,14.879999999999999,11.530000000000001,10.770000000000001,9.27
 FUBÁ DE MILHO,0.0,0.0,0.0,7.890000000000001,0.0,0.0,0.0,3.24,0.0,0.0,0.0,0.0,0.0,0.0,3.77,0.9600000000000002,5.1
 FLOCOS DE MILHO,0.0,0.0,0.0,8.71,0.0,5.66,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.35000000000000053,6.460000000000001,6.54
 FARINHA DE TRIGO,0.0,16.57,13.399999999999999,0.0,14.68,0.0,0.0,0.0,16.13,14.489999999999998,12.77,19.41,15.58,0.0,0.0,0.0,15.129999999999999
 FARINHA DE MANDIOCA,4.550000000000001,0.0,12.99,4.67,7.08,3.63,-2.54,3.26,4.42,0.0,4.13,13.31,0.0,2.12,7.8,-0.9499999999999997,3.41
 MASSA SEMIPREPARADA,9.940000000000001,5.66,5.26,0.0,7.08,7.82,-0.07999999999999996,10.59,4.26,8.48,8.9,9.36,7.92,0.0,0.0,0.0,7.09
 MACARRÃO INSTANTÂNEO,10.26,0.0,0.0,0.0,10.940000000000001,10.409999999999998,0.0,0.0,0.0,15.03,0.0,8.780000000000001,6.18,11.07,0.0,0.0,11.1
" TUBÉRCULOS, RAÍZES E LEGUMES",-13.380000000000003,7.75,-23.21,-17.909999999999997,-1.6400000000000006,-18.48,-0.07000000000000028,-19.44,-3.3100000000000005,3.630000000000001,-14.41,-21.580000000000002,-7.26,9.34,-2.4400000000000004,-10.770000000000001,-7.530000000000001
 BATATA-DOCE,-14.569999999999999,0.0,0.0,9.58,-8.98,0.0,0.0,0.0,10.77,0.0,-9.04,0.0,0.0,-9.45,0.0,0.0,-4.24
 BATATA-INGLESA,12.24,23.490000000000002,3.280000000000001,-19.71,21.56,-2.6000000000000005,20.92,-21.110000000000003,-1.5600000000000005,25.11,-0.8300000000000018,-7.090000000000003,21.75,30.41,-12.72,-9.639999999999999,10.870000000000001
 INHAME,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-9.76,0.0,0.0,0.0,-8.219999999999999,-8.64
 MANDIOCA (AIPIM),0.0,0.0,4.779999999999999,-7.1,0.0,-0.6199999999999997,0.0,0.0,1.3199999999999998,0.0,0.0,0.0,9.25,7.34,0.0,0.0,1.7699999999999998
 ABOBRINHA,0.0,0.0,0.0,0.0,2.2800000000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2800000000000002
 PEPINO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.139999999999997,0.0,0.0,0.0,0.0,0.0,0.0,19.139999999999997
