Variacoes - ABRIL - JUNHO,RJ,POA,BH,REC,SP,DF,BEL,FOR,SAL,CUR,GOI,VIT,CG,NACIONAL
 CAFEZINHO,1.33,-1.6800000000000002,0.0,0.0,2.2,0.0,0.0,0.0,0.0,0.0,4.699999999999999,0.0,0.0,1.5599999999999998
 CERVEJA,-1.08,-1.41,0.8099999999999998,-2.3,0.6,-1.96,2.83,0.9500000000000001,-3.56,3.85,3.96,-1.1800000000000002,0.9500000000000002,0.09
 OUTRAS BEBIDAS ALCOÓLICAS,-2.04,0.0,1.07,4.8100000000000005,0.0,-0.3400000000000001,-2.66,-1.2699999999999998,-2.55,0.0,0.0,0.5,0.0,0.11000000000000001
 DOCES,0.6499999999999999,0.51,1.5699999999999998,-1.9900000000000002,1.49,0.22999999999999998,2.52,0.09999999999999987,1.3399999999999999,5.359999999999999,4.41,1.24,3.33,1.6800000000000002
 HABITAÇÃO,1.2400000000000002,-0.6799999999999999,-2.29,4.01,-0.23999999999999977,0.69,-0.2599999999999999,-0.20999999999999996,2.85,1.68,-0.3899999999999999,-0.7,-0.4299999999999997,0.28
 ENCARGOS E MANUTENÇÃO,1.41,0.6799999999999999,0.62,1.61,0.7999999999999999,1.49,0.73,0.7,3.65,2.5,0.39,1.05,0.41000000000000003,1.24
 ALUGUEL E TAXAS,1.68,0.99,0.64,2.37,0.9299999999999999,1.63,1.65,0.6900000000000001,5.02,3.83,0.21999999999999997,1.21,0.7000000000000001,1.6
 ALUGUEL RESIDENCIAL,1.45,1.76,0.31,1.3699999999999999,0.47,0.16999999999999998,2.08,0.58,0.95,0.76,0.4,0.82,0.78,0.81
 CONDOMÍNIO,2.91,0.9,2.9800000000000004,2.1,2.8400000000000003,3.3200000000000003,0.6100000000000001,0.0,0.83,0.43,0.44,3.3200000000000003,0.97,2.21
 TAXA DE ÁGUA E ESGOTO,0.0,0.0,0.0,5.44,0.0,3.09,0.0,1.37,14.88,12.11,0.0,0.0,0.0,2.9000000000000004
 MUDANÇA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.52,-3.6900000000000004,0.0,8.16,-0.87
 REPAROS,1.26,0.89,1.26,0.26000000000000006,0.13,1.32,-0.030000000000000013,0.71,0.37,0.8699999999999999,0.99,0.88,0.5700000000000001,0.69
 FERRAGENS,0.0,0.0,0.5099999999999998,0.0,2.86,0.0,0.0,3.84,0.0,0.27,3.5500000000000003,-0.27999999999999997,0.0,2.1
 MATERIAL DE ELETRICIDADE,0.0,-0.5999999999999998,0.0,0.0,0.0,0.0,2.3,0.0,0.0,-0.09000000000000008,0.0,0.0,0.0,0.30000000000000004
 MATERIAL DE PINTURA,0.0,0.0,3.4299999999999997,0.0,0.0,0.0,0.0,0.0,-0.7700000000000001,0.0,0.0,2.4000000000000004,-0.8000000000000003,2.13
 VIDRO,-2.05,0.0,0.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.15
 TINTA,0.55,0.39,0.6399999999999999,-0.12,0.38,-1.54,0.020000000000000018,-0.83,0.5700000000000001,0.12,1.7,4.6899999999999995,-0.19999999999999996,0.48000000000000004
 REVESTIMENTO DE PISO E PAREDE,4.760000000000001,-0.23999999999999977,-0.4199999999999997,-0.79,-11.8,1.73,-0.89,2.46,-1.0900000000000003,-1.25,-3.42,0.1399999999999999,-1.68,-4.290000000000001
 CIMENTO,-0.8600000000000001,-2.4799999999999995,-0.18999999999999995,-1.1,0.029999999999999916,-1.15,-5.29,-6.11,-0.44,-1.9299999999999997,-0.95,-8.48,-0.3600000000000001,-1.41
 TIJOLO,0.0,0.33999999999999997,0.55,-2.4899999999999998,-0.030000000000000027,1.5199999999999998,-0.3899999999999997,1.1199999999999999,-6.85,0.94,1.15,-1.28,0.0,-0.47000000000000003
 MATERIAL HIDRÁULICO,0.0,0.0,0.04999999999999999,0.0,-0.25,0.0,0.56,0.0,-0.16000000000000014,0.6599999999999999,0.0,0.19999999999999996,0.0,-0.01999999999999999
 MÃO DE OBRA,1.56,1.56,1.56,1.56,1.56,1.56,1.56,1.56,1.56,1.56,1.56,1.56,1.56,1.56
 AREIA ,1.53,0.0,-0.49,0.0,0.0,0.0,0.0,0.9400000000000001,0.07000000000000006,0.39999999999999997,-1.1600000000000001,-1.64,0.0,0.27
 TELHA,1.2599999999999998,0.0,2.1100000000000003,0.0,0.0,0.0,-2.91,-2.54,-2.63,0.75,0.96,0.5399999999999998,0.0,0.5
 ARTIGOS DE LIMPEZA,-1.6900000000000002,-2.18,-1.75,-2.7,1.31,0.36,-0.5599999999999999,0.69,2.92,-1.97,0.45,0.31,-1.5999999999999999,-0.25
 ÁGUA SANITÁRIA,2.08,0.0,0.04999999999999993,3.7200000000000006,-0.07999999999999985,7.18,6.03,3.67,2.3699999999999997,-4.239999999999999,0.0,0.0,0.0,1.2200000000000002
 DETERGENTE,-3.74,1.05,-1.4799999999999998,-1.36,1.8900000000000001,-2.7799999999999994,0.65,-0.73,1.62,-3.4299999999999997,-2.83,-1.4100000000000001,-0.5199999999999996,-0.16999999999999998
 SABÃO EM PÓ,-0.8899999999999999,-5.88,-0.5199999999999998,-6.47,1.56,0.02000000000000024,-5.02,-1.95,4.15,-2.6,0.5,0.52,-2.95,-0.8799999999999999
 DESINFETANTE,-3.02,-2.1500000000000004,-3.13,-2.5199999999999996,0.0,-0.94,1.8699999999999999,-1.0,-1.82,-4.0200000000000005,-0.21000000000000008,0.18000000000000016,2.55,-1.9000000000000001
 INSETICIDA,1.21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.21
 SABÃO EM BARRA,-3.05,0.8899999999999999,-4.05,-0.32999999999999996,2.16,2.34,2.48,5.949999999999999,5.430000000000001,0.88,1.3900000000000001,2.04,-1.98,1.24
 ESPONJA DE LIMPEZA,0.0,1.46,-4.1,-0.25,-3.3599999999999994,0.0,-2.7600000000000002,0.08000000000000007,0.0,1.4600000000000002,-1.44,0.81,-0.8400000000000003,-2.0900000000000003
 AMACIANTE,-3.54,2.3200000000000003,-1.25,0.0,1.9900000000000004,0.12,4.41,-0.2,0.7600000000000002,-0.9500000000000002,3.0100000000000002,0.16000000000000003,-1.36,0.81
 COMBUSTÍVEIS E ENERGIA,0.9500000000000002,-3.21,-8.99,10.120000000000001,-2.5,-1.6799999999999997,-1.32,-1.6600000000000006,1.3600000000000003,-0.05000000000000071,-1.9999999999999998,-3.830000000000001,-1.1399999999999988,-1.6800000000000002
 COMBUSTÍVEIS (DOMÉSTICOS),3.19,0.5999999999999999,-0.92,4.41,5.33,1.43,1.0700000000000003,1.3800000000000001,2.45,1.12,2.84,-0.89,1.12,2.45
 CARVÃO VEGETAL,0.0,-9.32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-9.32
 GÁS DE BOTIJÃO,3.91,1.28,-0.92,4.41,5.21,1.43,1.0700000000000003,1.3800000000000001,2.45,1.2,2.84,-0.89,1.12,2.48
 GÁS ENCANADO,0.9600000000000001,0.0,0.0,0.0,6.919999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.1200000000000006
 ENERGIA ELÉTRICA RESIDENCIAL,0.31999999999999984,-4.319999999999999,-11.96,14.16,-4.590000000000001,-2.4299999999999997,-2.1799999999999997,-2.9800000000000004,2.1899999999999995,-0.17999999999999883,-3.8899999999999997,-4.6000000000000005,-1.2300000000000004,-2.929999999999999
 ENERGIA ELÉTRICA RESIDENCIAL,0.31999999999999984,-4.319999999999999,-11.96,14.16,-4.590000000000001,-2.4299999999999997,-2.1799999999999997,-2.9800000000000004,2.1899999999999995,-0.17999999999999883,-3.8899999999999997,-4.6000000000000005,-1.2300000000000004,-2.929999999999999
 ARTIGOS DE RESIDÊNCIA,-1.04,-0.4,0.08,-1.12,-0.46,-0.02999999999999997,-0.84,-0.22999999999999998,-0.8,-0.9199999999999999,-0.12,-2.1399999999999997,-0.75,-0.5800000000000001
 MÓVEIS E UTENSÍLIOS,-1.1,-0.7300000000000001,1.1500000000000001,-0.72,-0.6699999999999999,-0.89,-1.54,-0.4800000000000001,-0.9700000000000001,-1.3399999999999999,1.05,-2.9,-2.33,-0.59
 MOBILIÁRIO,-1.48,-1.03,1.06,-1.33,-1.29,-1.05,-3.46,-0.22000000000000008,-0.15999999999999998,-2.8600000000000003,0.21000000000000002,-3.65,-1.15,-1.04
 MÓVEL PARA SALA,-0.45999999999999996,-2.33,1.87,-2.6,-2.15,-2.54,-4.25,-1.25,-2.63,-2.2800000000000002,-1.13,-6.33,-0.9900000000000002,-1.47
 MÓVEL PARA QUARTO,-2.4499999999999997,-1.45,1.4100000000000001,-1.1300000000000001,0.5899999999999999,1.36,-4.8100000000000005,1.1600000000000001,4.69,-4.8,1.43,-2.9000000000000004,-1.38,-0.54
 MÓVEL PARA COPA E COZINHA,-2.09,0.9500000000000002,-4.65,-1.23,-5.4,-2.58,-6.5,-3.2800000000000002,1.33,-1.87,1.6199999999999999,-0.49,-1.2299999999999998,-2.66
 MÓVEL INFANTIL,0.0,0.0,0.0,1.7599999999999998,0.0,0.0,-0.10000000000000009,4.85,0.0,0.0,-2.62,0.0,0.0,1.31
 COLCHÃO,-2.5900000000000003,3.8400000000000003,3.4699999999999998,3.23,0.7600000000000001,2.5900000000000003,1.78,1.5999999999999999,1.3199999999999998,1.46,2.76,1.5799999999999998,-0.5500000000000003,1.42
 UTENSÍLIOS E ENFEITES,0.3800000000000001,-0.18999999999999995,1.88,0.7500000000000001,0.5800000000000001,-0.41000000000000003,2.2399999999999998,0.65,-0.019999999999999962,-0.16999999999999993,1.5799999999999998,-2.76,-2.16,0.58
 TAPETE,1.4100000000000001,3.2699999999999996,3.6400000000000006,1.6799999999999997,1.16,2.21,1.6599999999999997,0.0,4.32,1.71,2.7299999999999995,-1.1199999999999997,-2.5800000000000005,2.45
 CORTINA,1.9300000000000002,-3.83,3.1599999999999997,-1.2000000000000002,-3.7299999999999995,1.1800000000000002,-1.17,-1.33,0.9700000000000001,-3.92,3.16,-6.27,-4.45,-1.42
 UTENSÍLIOS DE METAL,0.5699999999999998,0.94,1.24,1.81,1.2599999999999998,-3.09,1.3499999999999996,-0.20000000000000007,-0.61,-1.4500000000000002,-1.8299999999999996,-5.61,-3.26,0.33999999999999997
 UTENSÍLIOS DE VIDRO E LOUÇA,0.2899999999999999,-1.2099999999999997,1.1800000000000002,0.6799999999999997,-2.6500000000000004,-4.18,0.9099999999999997,-5.430000000000001,1.06,2.4299999999999997,2.99,-5.08,2.5300000000000002,-0.58
 UTENSÍLIOS DE PLÁSTICO,-5.16,-0.06000000000000005,0.0,0.029999999999999805,-0.5800000000000001,1.7200000000000002,-1.0299999999999998,2.12,-2.5,1.1199999999999999,0.18999999999999995,-1.89,-7.18,-0.95
 FLORES NATURAIS,0.0,3.5099999999999993,0.0,0.0,7.93,0.0,0.0,0.0,4.47,0.6700000000000004,0.0,0.0,3.2800000000000002,6.08
 UTENSÍLIOS DIVERSOS,1.0299999999999998,-1.03,-0.96,1.87,1.7900000000000003,-0.31999999999999995,6.8999999999999995,1.6800000000000002,-2.16,1.65,1.9800000000000002,1.79,0.1399999999999999,0.88
" CAMA, MESA E BANHO",-1.45,-0.3900000000000001,0.1499999999999999,-0.5300000000000002,-0.34999999999999964,-0.8500000000000001,-1.23,-3.63,-5.37,2.77,3.24,0.09000000000000002,-7.4799999999999995,-0.7499999999999999
 ROUPA DE CAMA,-0.49,-1.54,1.15,-0.22999999999999998,-0.2999999999999998,-0.8500000000000001,-1.58,-5.38,-5.52,4.3,3.24,-0.4099999999999999,-7.59,-0.6000000000000001
 ROUPA DE BANHO,-3.8500000000000005,3.0,-2.4000000000000004,-1.0700000000000003,-0.41999999999999993,0.0,0.5299999999999998,0.6100000000000003,-4.79,-2.0999999999999996,0.0,1.3599999999999999,-6.93,-1.1400000000000001
 APARELHOS ELETROELETRÔNICOS,-0.77,-0.6400000000000001,-1.75,-1.8699999999999999,-0.92,1.05,-0.16999999999999993,-0.75,-0.77,-1.4,-2.46,-0.7,0.16000000000000003,-0.98
 ELETRODOMÉSTICOS E EQUIPAMENTOS,0.94,-0.25,-1.74,-1.9,-0.5900000000000001,1.9000000000000001,0.009999999999999898,-1.7399999999999998,-0.2999999999999999,-0.8,-2.12,0.3900000000000001,1.76,-0.55
 REFRIGERADOR,0.3099999999999996,0.43999999999999995,-0.8,0.29000000000000004,1.76,3.64,2.05,-1.6800000000000002,0.8299999999999998,-0.38000000000000034,-3.3899999999999997,-0.1499999999999999,1.2200000000000002,0.5200000000000001
 AR-CONDICIONADO,4.779999999999999,0.030000000000000138,0.0,0.1399999999999999,0.0,0.0,0.5500000000000003,0.0,0.0,-1.96,0.0,1.3099999999999996,5.93,1.43
 MÁQUINA DE LAVAR ROUPA,0.96,-0.33000000000000024,-1.01,-5.45,-2.03,-0.9900000000000002,-3.83,-2.73,-1.6800000000000002,-2.9099999999999997,0.44999999999999996,-1.32,3.4,-1.58
 LIQUIDIFICADOR,0.0,0.0,0.0,0.0,0.0,0.0,-0.5099999999999998,0.0,0.0,0.0,0.0,0.0,0.0,-0.5099999999999998
 VENTILADOR,2.17,0.0,0.0,-3.2399999999999998,0.0,0.0,-1.75,-3.9800000000000004,0.0,0.0,0.0,0.0,4.08,-0.9899999999999999
 FOGÃO,0.25,-0.81,-5.53,-3.8,-3.61,0.7599999999999998,-1.3900000000000001,0.05999999999999983,-2.16,-0.16999999999999993,-0.73,3.68,-1.75,-2.16
 CHUVEIRO ELÉTRICO,0.0,0.6099999999999999,0.0,0.0,3.23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5100000000000002
 FORNO DE MICRO-ONDAS,0.0,-2.57,1.41,0.0,-3.9099999999999997,0.0,0.0,0.0,0.0,1.75,-4.4,0.0,0.0,-2.16
" TV, SOM E INFORMÁTICA",-3.0,-1.3399999999999999,-1.7399999999999998,-1.81,-1.3899999999999997,-0.07,-0.4799999999999999,0.6200000000000001,-1.4000000000000001,-2.49,-2.9299999999999997,-2.2600000000000002,-2.76,-1.6400000000000001
 TELEVISOR,-0.050000000000000266,-1.88,-1.1800000000000002,-2.0500000000000003,-1.0800000000000003,2.98,-2.28,-1.8099999999999998,-2.2600000000000002,-2.5200000000000005,1.9100000000000001,-0.51,-0.6999999999999998,-1.1300000000000001
 APARELHO DE SOM,-2.29,-0.89,1.3499999999999999,-0.009999999999999981,-0.5500000000000003,-0.72,5.1,-2.58,-0.75,-0.4900000000000002,-2.54,-3.9199999999999995,1.57,-0.56
 APARELHO DE DVD,-3.5700000000000003,2.25,0.6000000000000001,-4.13,0.5899999999999999,-1.7500000000000002,-1.2499999999999996,5.960000000000001,-1.0699999999999998,-6.55,-2.7199999999999998,0.38999999999999996,3.59,-0.62
 ANTENA,0.0,0.0,0.0,-1.81,0.0,0.0,-0.4799999999999999,0.6200000000000001,0.0,0.0,0.89,0.0,0.0,-0.22999999999999998
 MICROCOMPUTADOR,-5.32,-1.7399999999999998,-2.92,-1.4900000000000002,-2.0700000000000003,-1.7800000000000002,-0.04999999999999988,1.83,-1.15,-2.1900000000000004,-6.01,-3.6499999999999995,-5.71,-2.45
 CONSERTOS  E  MANUTENÇÃO,-1.77,2.24,-0.49,0.7099999999999999,2.42,1.21,-0.64,4.25,0.4,3.2,3.5700000000000003,-2.95,2.37,1.35
 CONSERTOS E MANUTENÇÃO,-1.77,2.24,-0.49,0.7099999999999999,2.42,1.21,-0.64,4.25,0.4,3.2,3.5700000000000003,-2.95,2.37,1.35
 CONSERTO DE REFRIGERADOR,0.0,1.1599999999999997,-2.38,-0.06000000000000005,0.8099999999999999,8.45,0.92,0.0,0.9,1.6799999999999997,0.0,2.0,2.31,0.62
 CONSERTO DE TELEVISOR,4.61,1.83,-0.51,3.4799999999999995,5.53,5.359999999999999,0.0,-1.0799999999999998,-2.53,0.0,4.64,-4.220000000000001,3.8200000000000003,2.48
 CONSERTO DE APARELHO DE SOM,0.0,0.0,-4.29,0.0,0.0,0.0,0.0,0.0,18.68,0.0,0.0,0.0,0.0,1.5800000000000003
 CONSERTO DE MÁQUINA DE LAVAR ROUPA ,0.31,4.03,0.0,0.0,0.5700000000000001,1.0899999999999999,-4.03,0.0,0.0,9.33,0.0,0.0,-2.36,2.17
 REFORMA DE ESTOFADO,-5.65,0.009999999999999981,1.7200000000000002,-0.6799999999999999,3.08,-6.62,-0.98,6.83,-0.67,1.33,4.140000000000001,-6.989999999999999,3.76,0.8099999999999999
 MANUTENÇÃO DE MICROCOMPUTADOR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.31,-0.20999999999999996,1.49
 VESTUÁRIO,2.2199999999999998,2.91,1.69,2.6399999999999997,1.93,0.03999999999999998,0.05999999999999997,1.3900000000000001,1.29,1.0999999999999999,0.0,3.1399999999999997,0.46,1.67
 ROUPAS,3.14,3.8200000000000003,2.29,3.0199999999999996,2.05,-0.27,-0.42000000000000004,1.4300000000000002,1.3,0.8099999999999998,-0.45999999999999996,3.7399999999999998,-0.07999999999999996,1.87
 ROUPA MASCULINA,2.0500000000000003,3.21,1.6400000000000001,0.5099999999999999,1.21,-1.35,-1.57,-0.019999999999999907,2.88,-0.12000000000000005,-1.02,6.58,1.92,1.1800000000000002
 CALÇA COMPRIDA MASCULINA ,0.95,2.6,1.87,-0.8600000000000001,0.6800000000000002,-2.25,-4.180000000000001,0.8100000000000002,3.05,-3.17,-1.21,5.48,1.89,0.2500000000000001
 TERNO,2.05,3.07,1.5399999999999996,4.02,0.0,0.0,0.0,0.0,0.0,2.45,-0.010000000000000009,2.4,0.0,2.13
 AGASALHO MASCULINO,0.0,10.760000000000002,5.74,0.0,5.859999999999999,0.9299999999999999,0.0,0.0,0.0,2.06,0.0,7.43,2.64,5.9
 SHORT E BERMUDA MASCULINA,3.5600000000000005,-3.7699999999999996,2.93,-1.1,1.29,-1.23,-0.07000000000000028,0.58,2.7699999999999996,1.2000000000000002,0.7699999999999998,0.6499999999999999,-0.5100000000000002,1.11
 CUECA,0.0,1.79,0.0,4.42,0.0,0.0,-1.75,-2.25,1.4700000000000002,0.0,0.0,0.0,0.0,0.8799999999999999
 CAMISA / CAMISETA MASCULINA,2.1999999999999997,2.6,0.4,1.3699999999999997,1.0499999999999998,-1.21,-0.75,-0.6199999999999999,3.03,1.19,-1.41,10.379999999999999,2.67,1.25
 ROUPA FEMININA,4.0,3.95,2.4999999999999996,5.93,1.94,-0.10000000000000009,0.76,2.87,0.42000000000000004,1.05,0.37,2.29,-1.8399999999999999,2.21
 CALÇA COMPRIDA FEMININA,5.84,6.1899999999999995,4.86,7.65,6.63,3.68,1.6900000000000002,2.05,2.1799999999999997,0.3900000000000001,-0.16999999999999993,8.459999999999999,-1.09,4.54
 AGASALHO FEMININO,0.0,8.5,6.6899999999999995,0.0,0.7000000000000002,0.0,0.0,0.0,0.0,-0.7799999999999999,0.0,0.0,-1.8399999999999999,3.85
 SAIA,0.0,0.0,0.0,-1.1,0.0,0.0,-3.8100000000000005,-0.78,-1.09,0.0,5.3,-5.42,0.0,-1.49
 VESTIDO,-0.95,7.36,0.25,1.17,1.0800000000000003,1.1599999999999997,-2.9099999999999997,3.0,-1.3900000000000001,2.4800000000000004,2.42,0.6599999999999998,-0.7799999999999998,0.79
 BLUSA,7.01,0.6000000000000001,1.98,9.59,-1.0599999999999996,-3.2300000000000004,1.1300000000000003,4.18,-0.03999999999999998,2.54,-0.96,0.17000000000000004,-3.8499999999999996,1.44
 LINGERIE,-2.49,2.01,-0.9799999999999998,4.35,2.4699999999999998,-0.7600000000000002,0.9500000000000002,0.3899999999999999,3.72,2.48,-0.9499999999999997,4.4,1.7800000000000002,1.5400000000000003
 BERMUDA E SHORT FEMININO,2.46,-2.46,1.9100000000000001,-0.9099999999999999,0.0,0.77,4.99,2.29,0.11000000000000013,-7.140000000000001,3.44,4.2,-2.61,0.74
 ROUPA INFANTIL,2.9,4.75,3.02,1.74,4.17,1.8,-0.7400000000000001,0.19000000000000006,0.09000000000000008,2.3899999999999997,-1.4399999999999997,1.7999999999999998,0.3200000000000003,2.47
 UNIFORME ESCOLAR,4.56,0.0,0.0,0.0,1.3200000000000003,0.0,-2.2300000000000004,0.0,2.12,-1.33,0.0,0.0,0.0,1.01
 CALÇA COMPRIDA INFANTIL,-3.04,2.2299999999999995,1.81,3.95,6.14,2.7199999999999998,-1.5499999999999998,-5.02,-1.1900000000000002,5.0,3.1299999999999994,3.33,1.27,2.7399999999999998
 AGASALHO INFANTIL,0.0,10.260000000000002,5.029999999999999,0.0,4.02,3.43,0.0,0.0,0.0,4.41,0.0,1.7999999999999998,6.35,5.63
 VESTIDO INFANTIL,5.359999999999999,0.0,6.390000000000001,2.1599999999999997,6.26,1.2199999999999998,-0.3700000000000001,-2.1,3.9199999999999995,5.33,-5.68,4.15,5.37,3.52
 SHORT E BERMUDA INFANTIL,0.5,-0.11000000000000004,4.540000000000001,0.36,0.8500000000000003,2.17,-1.99,-1.2299999999999998,-2.84,-9.35,1.25,5.47,-2.8000000000000003,0.13000000000000012
 CAMISA / CAMISETA INFANTIL,5.459999999999999,5.4399999999999995,1.19,0.2999999999999998,3.88,3.1999999999999993,0.7999999999999999,2.71,0.6299999999999999,3.07,-3.08,-1.17,-0.98,2.64
 CONJUNTO INFANTIL,0.0,0.0,3.5500000000000003,4.02,5.890000000000001,-2.04,-0.5,1.14,0.0,0.0,-5.210000000000001,1.24,0.0,2.71
 CALÇADOS E ACESSÓRIOS,0.5,1.67,0.71,2.6700000000000004,2.1,0.53,0.6000000000000001,2.15,2.28,1.7999999999999998,0.64,3.13,1.51,1.6
 CALÇADOS E ACESSÓRIOS,0.5,1.67,0.71,2.6700000000000004,2.1,0.53,0.6000000000000001,2.15,2.28,1.7999999999999998,0.64,3.13,1.51,1.6
 SAPATO MASCULINO,1.1900000000000002,4.59,-2.91,1.38,3.14,1.01,2.09,-0.5799999999999996,3.25,3.36,3.62,-0.010000000000000009,3.95,2.2
 SAPATO FEMININO,0.20999999999999996,3.3699999999999997,1.67,-0.20999999999999996,4.29,-1.5199999999999996,0.5499999999999998,3.5300000000000002,2.8499999999999996,4.12,-0.5400000000000005,8.27,4.7700000000000005,2.78
 SAPATO INFANTIL,0.0,0.0,0.0,-0.05999999999999994,0.0,0.0,-0.10000000000000009,0.0,2.92,0.0,0.0,0.0,0.0,1.1700000000000002
 SANDÁLIA / CHINELO MASCULINO,0.0,0.0,0.0,1.1900000000000002,0.0,0.0,1.01,0.0,2.3200000000000003,0.0,0.0,0.0,0.0,1.44
 SANDÁLIA / CHINELO FEMININO,3.31,-4.22,0.9999999999999998,4.45,2.79,2.1999999999999997,-4.74,2.66,5.01,-1.5499999999999998,5.08,3.5999999999999996,0.96,1.94
 SANDÁLIA / CHINELO INFANTIL,0.0,0.0,0.0,2.34,0.0,-1.3599999999999999,-1.73,2.28,-3.3200000000000003,0.0,-0.6199999999999999,3.29,-2.5,-0.43
 BOLSA ,3.08,0.6499999999999999,4.11,4.03,3.42,-5.25,6.24,5.76,1.49,-3.1199999999999997,1.5100000000000002,3.1100000000000003,-2.02,2.38
 TÊNIS,-2.03,1.61,0.15999999999999998,3.1499999999999995,0.33999999999999986,2.14,2.14,0.41000000000000003,-0.44999999999999996,2.52,-2.69,0.97,0.8800000000000001,0.57
 JÓIAS E BIJUTERIAS,0.9699999999999999,1.21,-0.13999999999999996,-1.46,-0.3400000000000001,1.37,1.84,-4.569999999999999,-2.09,0.7599999999999998,-0.10000000000000003,-2.9,-0.21000000000000002,-0.07000000000000006
 JÓIAS E BIJUTERIAS,0.9699999999999999,1.21,-0.13999999999999996,-1.46,-0.3400000000000001,1.37,1.84,-4.569999999999999,-2.09,0.7599999999999998,-0.10000000000000003,-2.9,-0.21000000000000002,-0.07000000000000006
 BIJUTERIA,-2.49,5.1,-1.83,-1.09,-1.4700000000000004,-4.94,0.26,0.4700000000000002,-2.7399999999999998,-0.7100000000000002,1.8800000000000001,-4.77,3.7100000000000004,-0.8400000000000001
 JÓIA,3.0799999999999996,-0.8599999999999999,1.1400000000000001,1.0099999999999998,0.71,4.34,4.09,0.0,-1.3,1.5799999999999998,-1.63,-1.83,-3.15,0.9400000000000001
 RELÓGIO DE PULSO,0.0,0.0,0.0,-4.959999999999999,0.0,0.0,-0.78,-9.620000000000001,0.0,0.0,0.0,0.0,0.0,-4.88
 TECIDOS E ARMARINHO,2.46,2.15,1.7999999999999998,1.77,1.34,1.42,-1.15,4.22,-1.49,1.0,5.5600000000000005,0.26,2.77,1.45
 TECIDOS E ARMARINHO,2.46,2.15,1.7999999999999998,1.77,1.34,1.42,-1.15,4.22,-1.49,1.0,5.5600000000000005,0.26,2.77,1.45
 TECIDO,1.61,4.18,1.85,1.77,1.5799999999999998,1.0700000000000003,-0.71,2.63,-3.2,0.72,7.449999999999999,2.59,2.98,1.25
 ARTIGOS DE ARMARINHO,0.0,3.4800000000000004,1.72,0.0,2.2600000000000002,1.96,-1.73,0.0,0.0,1.83,-0.06999999999999995,-3.84,2.4000000000000004,1.47
 ACORTINADO (MOSQUITEIRO),4.17,-3.67,0.0,0.0,0.37,0.0,0.0,8.01,6.7,0.0,0.0,0.0,0.0,2.11
 TRANSPORTES,0.0,1.21,-1.29,1.4300000000000002,-2.0100000000000002,-0.69,-0.8900000000000001,1.04,-3.02,-1.59,0.35,0.13,-0.20000000000000007,-1.0
 TRANSPORTES,0.0,1.21,-1.29,1.4300000000000002,-2.0100000000000002,-0.69,-0.8900000000000001,1.04,-3.02,-1.59,0.35,0.13,-0.20000000000000007,-1.0
 TRANSPORTE PÚBLICO,0.7500000000000002,4.66,0.6300000000000001,2.62,0.6300000000000001,3.78,-0.12,0.08000000000000002,0.65,0.7,0.59,0.7800000000000002,1.1,1.01
 ÔNIBUS URBANO,0.0,7.98,0.0,6.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7
 TÁXI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
 TREM,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
 ÔNIBUS INTERMUNICIPAL,0.0,0.33,0.05999999999999997,-0.26,0.13,0.0,4.320000000000002,0.0,0.09000000000000001,-0.62,-1.8199999999999998,0.0,5.77,0.21000000000000008
 ÔNIBUS  INTERESTADUAL,0.0,-0.6100000000000001,2.63,-7.059999999999999,-3.2199999999999998,-2.74,-2.25,-3.1700000000000004,-2.52,0.4099999999999999,0.1499999999999999,0.04,-1.01,-1.94
 PASSAGEM AÉREA,13.239999999999998,13.450000000000001,15.41,-2.559999999999999,10.59,13.27,2.020000000000003,5.780000000000001,10.010000000000002,9.469999999999999,18.14,8.489999999999998,9.64,10.559999999999999
 METRÔ,4.859999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2400000000000002
 TRANSPORTE HIDROVIÁRIO,0.0,0.0,0.0,0.0,0.0,0.0,-16.490000000000002,0.0,0.0,0.0,0.0,0.0,0.0,-16.490000000000002
 TRANSPORTE ESCOLAR,0.0,-2.0300000000000002,0.49,0.0,0.010000000000000009,0.4,0.0,0.0,21.02,-2.33,0.0,-5.36,0.0,1.4100000000000001
 VEÍCULO PRÓPRIO,0.04,1.1,0.6,0.44999999999999996,-0.009999999999999953,0.8799999999999999,0.9099999999999999,2.0700000000000003,-0.99,-0.25,0.49,0.29,2.14,0.25
