Variacoes - ABRIL - JUNHO,RJ,POA,BH,REC,SP,DF,BEL,FOR,SAL,CUR,GOI,VIT,CG,NACIONAL
 GOIABA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.6799999999999993,0.0,0.0,0.0,0.0,0.0,-2.6799999999999993
 CARNES,0.8699999999999997,-1.1199999999999999,-1.42,-0.82,0.3900000000000001,-0.18999999999999995,-1.6200000000000003,-2.13,-1.2999999999999998,-1.4900000000000002,-2.08,-1.6800000000000002,-3.07,-0.8299999999999998
 FÍGADO,0.0,0.0,0.0,-5.64,0.0,0.0,3.7800000000000002,0.7,-4.2700000000000005,0.0,0.0,0.0,0.0,-1.28
 CARNE DE PORCO,1.97,-3.38,-3.83,1.0900000000000003,-1.1199999999999992,2.6199999999999997,0.6299999999999999,-1.0500000000000003,0.47999999999999976,1.4300000000000002,-0.68,-2.68,-4.63,-1.2799999999999998
 CARNE DE CARNEIRO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7,-5.04,0.0,0.0,0.0,0.0,-2.81
 CONTRAFILÉ,-0.16999999999999904,-8.11,-1.18,-5.26,-2.69,-3.74,-1.6700000000000002,-6.79,-2.7100000000000004,-3.5,-2.15,-1.15,-3.16,-3.11
 FILÉ-MIGNON,-1.4699999999999998,0.0,0.0,-0.0600000000000005,0.0,0.0,-3.4800000000000004,0.0,-4.99,-0.29000000000000004,-4.51,0.0,-2.84,-2.28
 CHÃ DE DENTRO,-0.8099999999999996,-0.08999999999999986,-2.53,-2.2300000000000004,1.89,0.10999999999999988,-6.899999999999999,0.5800000000000001,-2.09,-3.0499999999999994,-2.55,-2.7,-4.26,-1.0899999999999999
 ALCATRA,1.5000000000000009,-1.1500000000000001,-3.56,-3.5600000000000005,-0.6300000000000003,-1.6399999999999997,-1.5099999999999998,-1.8399999999999996,-0.31999999999999984,0.7000000000000002,-3.62,-5.22,-5.27,-1.46
 PATINHO,3.24,2.31,-1.17,1.6,0.5,-5.62,-1.8800000000000003,-1.8599999999999999,-3.4699999999999998,-4.01,-2.71,-4.27,-0.5700000000000001,-0.95
 LAGARTO REDONDO,0.0,0.0,0.0,0.0,0.0,0.0,0.0900000000000003,0.0,-4.0600000000000005,0.0,0.0,0.0,0.0,-1.31
 LAGARTO COMUM,0.0,0.0,0.0,0.0,1.79,-0.4100000000000001,0.0,-0.39,-1.63,0.0,-2.83,0.0,-5.08,0.16999999999999998
 MÚSCULO,-1.8099999999999998,2.58,3.28,4.49,0.3500000000000001,0.0,-0.31000000000000005,0.0,-2.3600000000000003,-6.989999999999999,0.28000000000000025,-1.8599999999999999,-1.4899999999999998,0.3799999999999999
 PÁ,0.0,1.0500000000000003,0.0,-1.7299999999999998,-0.8400000000000003,-0.9699999999999999,0.52,0.0,0.6400000000000001,-6.970000000000001,0.0,0.0,-0.6599999999999998,-0.7899999999999998
 ACÉM,-0.45999999999999996,1.42,3.92,3.61,1.3200000000000003,-2.04,0.73,-3.25,3.61,0.12999999999999945,0.06999999999999995,2.41,-0.33000000000000007,1.1400000000000001
 PEITO,0.0,0.0,0.0,0.0,0.0,0.0,0.08999999999999986,-4.36,2.8000000000000003,0.0,-1.65,0.0,1.23,0.32000000000000006
 CAPA DE FILÉ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.97,-3.97
 COSTELA,4.82,0.3200000000000003,-1.5499999999999998,0.88,3.2699999999999996,4.81,-3.1599999999999993,-0.9599999999999997,-2.4,0.21999999999999997,-1.1,1.6400000000000003,-2.91,0.56
 PESCADOS,1.0999999999999996,1.1799999999999997,4.25,-0.77,4.03,-1.0299999999999998,-8.52,-4.63,-8.25,0.08000000000000002,4.590000000000001,-2.5,1.6,-2.81
 PEIXE-ANCHOVA,-9.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-9.4
 PEIXE-BADEJO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-6.68,0.0,-6.68
