Variacoes - JULHO - SETEMBRO,RJ,POA,BH,REC,SP,DF,BEL,FOR,SAL,CUR,GOI,VIT,CG,NACIONAL
 CURSOS DIVERSOS,1.27,0.18,2.13,0.09000000000000002,1.5499999999999998,1.96,1.5899999999999999,1.4500000000000002,0.8300000000000001,0.41,0.24,0.45999999999999996,0.77,1.27
 CURSO PREPARATÓRIO,0.83,3.24,5.37,0.0,0.14,3.73,0.0,0.98,-1.17,1.13,0.65,-0.11,0.36,1.29
 CURSO TÉCNICO,0.0,-0.49,4.92,0.0,0.0,0.78,0.0,2.22,0.0,-1.26,0.0,1.3499999999999999,4.08,0.9199999999999999
 CURSO DE IDIOMA,1.94,0.020000000000000018,-0.49,-4.78,2.9,0.87,3.28,-1.9500000000000002,-0.42,-2.96,0.0,0.65,1.15,1.3099999999999998
 CURSO DE INFORMÁTICA,0.0,-2.08,-1.9099999999999997,5.62,5.74,0.0,0.0,4.58,5.64,2.7,-0.37,-0.05,-3.58,2.75
 ATIVIDADES FÍSICAS,0.5700000000000001,-0.63,1.6800000000000002,1.78,-1.47,1.66,3.62,1.47,3.2,2.29,0.46,0.49,1.7999999999999998,0.64
 COMUNICAÇÃO,0.51,-0.4799999999999999,0.48,-1.8299999999999998,-0.10000000000000002,-1.36,0.82,-2.1900000000000004,0.45,0.62,-0.5700000000000001,0.62,-2.4400000000000004,-0.08000000000000006
 COMUNICAÇÃO,0.51,-0.4799999999999999,0.48,-1.8299999999999998,-0.10000000000000002,-1.36,0.82,-2.1900000000000004,0.45,0.62,-0.5700000000000001,0.62,-2.4400000000000004,-0.08000000000000006
 COMUNICAÇÃO,0.51,-0.4799999999999999,0.48,-1.8299999999999998,-0.10000000000000002,-1.36,0.82,-2.1900000000000004,0.45,0.62,-0.5700000000000001,0.62,-2.4400000000000004,-0.08000000000000006
 CORREIO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
 TELEFONE FIXO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
 TELEFONE PÚBLICO,0.0,0.0,0.0,0.0,1.7,0.0,0.0,-0.57,0.0,5.08,9.48,0.0,0.0,2.21
 TELEFONE CELULAR,1.53,-1.2200000000000002,1.28,-4.09,-0.24,-2.75,1.86,-4.09,1.19,1.89,-3.6100000000000003,1.86,-5.36,-0.27
 ACESSO À INTERNET,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
 APARELHO TELEFÔNICO,1.56,0.31999999999999984,-0.19999999999999982,4.960000000000001,-3.6199999999999997,-7.300000000000001,-2.1399999999999997,-3.09,-1.0700000000000003,-3.9400000000000004,0.7499999999999997,-3.88,-2.24,-1.0299999999999998
 TELEFONE COM INTERNET - PACOTE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
 TV POR ASSINATURA COM INTERNET,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
