Variacoes - JULHO - SETEMBRO,RJ,POA,BH,REC,SP,DF,BEL,FOR,SAL,CUR,GOI,VIT,CG,NACIONAL
 CAMARÃO,-2.5999999999999996,0.0,0.0,-12.579999999999998,0.0,0.0,-9.32,0.0,8.05,0.0,0.0,-1.6099999999999999,-3.62,-2.2
 PEIXE-VERMELHO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.76,0.0,0.0,0.0,0.0,8.76
 PEIXE-CAVALA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.34,-4.359999999999999,0.0,0.0,0.0,0.0,-1.1899999999999995
 PEIXE-PACU,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-9.81,-9.81
 PEIXE-DOURADO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.6599999999999993,0.0,2.66
 PEIXE-CAÇÃO,1.8800000000000001,0.0,0.0,0.0,-0.4900000000000002,0.0,0.0,0.0,0.0,0.0,0.0,3.67,0.0,0.5699999999999998
 PEIXE-MERLUZA,-0.34999999999999964,0.0,0.0,2.6,-3.21,0.0,0.0,0.0,-7.72,0.0,0.0,0.0,-8.97,-2.38
 PEIXE-SERRA,0.0,0.0,0.0,0.0,0.0,0.0,-3.29,8.580000000000002,0.0,0.0,0.0,0.0,0.0,1.1400000000000001
 PEIXE-PESCADA,-0.45999999999999996,0.0,0.0,0.29000000000000004,-0.20999999999999996,0.0,-4.29,0.0,-0.51,0.0,0.0,-12.42,0.0,-2.6500000000000004
 CARANGUEJO,0.0,0.0,0.0,0.0,0.0,0.0,2.2799999999999994,0.0,0.0,0.0,0.0,0.0,0.0,2.2699999999999996
 PEIXE-CASTANHA,0.0,0.0,0.0,4.28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.28
 PEIXE-SALMÃO,0.0,0.0,0.0,0.0,-3.450000000000001,0.0,0.0,1.5999999999999999,0.0,0.0,0.0,0.0,-3.9600000000000004,-2.9099999999999997
 PEIXE-TILÁPIA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5699999999999994,0.0,0.0,0.0,0.0,0.0,0.5699999999999994
 PEIXE-TUCUNARÉ,0.0,0.0,0.0,0.0,0.0,0.0,-5.369999999999999,0.0,0.0,0.0,0.0,0.0,0.0,-5.369999999999999
 PEIXE-DOURADA,0.0,0.0,0.0,0.0,0.0,0.0,-7.0,0.0,0.0,0.0,0.0,0.0,0.0,-7.0
 PEIXE-PEROA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.18,0.0,-3.18
 PEIXE-PINTADO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-7.220000000000001,-7.220000000000001
 CARNES E PEIXES INDUSTRIALIZADOS,-2.0,0.20000000000000007,1.1099999999999999,-1.2600000000000002,0.8,-1.25,0.74,0.8500000000000001,-0.6300000000000001,-2.39,-0.6699999999999999,0.48999999999999977,-2.93,-0.15999999999999992
 PRESUNTO,-1.2600000000000002,4.49,1.2200000000000002,0.0,0.49,-0.5300000000000002,-1.21,-2.36,-2.37,-6.92,0.20000000000000018,2.1799999999999997,-3.01,-0.31000000000000005
 SALSICHA ,0.1599999999999997,-0.33999999999999997,4.62,1.8,2.87,-1.9500000000000002,-3.0799999999999996,0.0,0.0,0.38999999999999957,-3.73,2.09,-0.3200000000000002,1.3199999999999998
 LINGUIÇA,-2.07,0.20000000000000018,-0.9599999999999999,-2.2399999999999998,-0.2900000000000005,-2.23,-0.73,3.71,-7.0600000000000005,-3.26,-0.4099999999999999,-1.8399999999999994,-4.75,-1.2899999999999998
 MORTADELA,-1.8599999999999997,-1.5599999999999996,-0.2499999999999999,1.16,2.54,0.0,0.06000000000000005,2.7399999999999998,0.0,2.37,0.0,9.23,1.54,0.9799999999999998
 SALAME ,0.0,-1.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.6
 CARNE-SECA E DE SOL,-4.26,0.0,0.0,-1.8900000000000001,0.0,0.0,2.5200000000000005,-5.71,1.2,0.0,0.0,1.87,0.0,-0.22999999999999998
 CARNE DE PORCO SALGADA E DEFUMADA,0.0,0.0,10.62,0.0,0.0,0.0,0.0,0.0,5.49,0.0,0.0,0.0,0.0,7.859999999999999
 HAMBÚRGUER,0.0,0.0,0.0,0.0,0.0,1.86,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.86
 AVES E OVOS,-2.13,-2.42,-8.63,-1.72,-3.41,-3.2,-0.24999999999999994,-0.17999999999999994,-2.7,-2.8,-1.2400000000000002,-2.37,-2.4699999999999998,-2.69
 FRANGO INTEIRO,-0.17999999999999994,2.61,-10.280000000000001,-3.7299999999999995,-0.030000000000000027,-6.620000000000001,-0.6499999999999999,-0.36999999999999994,-4.51,-7.64,-0.8500000000000001,-1.67,-3.65,-2.49
 FRANGO EM PEDAÇOS,-4.06,-3.2199999999999998,-3.8500000000000005,1.62,-5.34,0.10999999999999988,0.6299999999999998,-1.01,-0.17000000000000004,1.8199999999999998,-3.09,-2.2,-1.9100000000000001,-2.94
 OVO DE GALINHA,0.4999999999999997,-4.27,-12.19,0.8799999999999999,-3.62,-1.6100000000000003,0.6799999999999999,0.76,0.26,-4.7,-1.0700000000000003,-3.5999999999999996,-1.7800000000000007,-2.6500000000000004
 LEITES E DERIVADOS,-6.340000000000001,-9.32,-6.390000000000001,-2.9600000000000004,-7.87,-2.24,-1.6300000000000001,-2.33,-3.96,-8.75,-2.5700000000000003,-7.35,-2.7,-6.14
 LEITE LONGA VIDA,-13.14,-13.16,-7.93,-5.0600000000000005,-12.01,-7.76,-6.359999999999999,-2.59,-8.37,-14.12,-3.47,-12.5,-3.0599999999999996,-10.48
 LEITE CONDENSADO,0.0,-5.08,0.0,0.0,0.0,0.0,-3.6,-0.039999999999999813,0.0,0.0,0.0,0.0,-9.27,-3.8200000000000003
 LEITE EM PÓ,-4.199999999999999,-3.31,0.0,-2.68,-0.8900000000000003,0.0,-0.89,-6.49,-0.9600000000000001,-1.26,-2.66,-4.7,-7.9,-2.5
 QUEIJO,0.9500000000000001,-5.21,-3.06,-0.3599999999999999,-4.15,5.59,-0.6399999999999999,0.44999999999999996,-1.03,-1.77,-1.25,0.21999999999999997,1.39,-2.13
 CREME DE LEITE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.97,0.0,0.0,0.0,0.0,0.0,-3.97
 IOGURTE E BEBIDAS LÁCTEAS,-2.26,-3.1599999999999997,-6.180000000000001,-9.790000000000001,-1.17,3.4699999999999998,0.7100000000000001,6.28,-6.050000000000001,0.41999999999999993,0.9499999999999998,0.3599999999999999,-3.47,-2.26
 MANTEIGA,0.0,0.0,0.0,0.22999999999999954,0.0,0.0,1.67,-1.08,-0.49,0.0,0.0,-9.5,0.0,-0.8600000000000001
 PANIFICADOS,-1.3,-3.3000000000000003,-0.06,0.13000000000000012,0.5099999999999998,0.77,-1.22,0.9000000000000001,-1.0500000000000003,0.44,0.43000000000000005,0.39000000000000007,2.01,-0.32000000000000006
 BISCOITO,-5.01,1.1099999999999999,1.32,2.62,2.7199999999999998,-2.5,-1.89,1.88,5.54,3.1799999999999997,0.020000000000000073,0.43000000000000005,5.12,1.3900000000000001
 PÃO FRANCÊS,1.14,-2.39,-0.44999999999999996,-0.4999999999999998,0.26,1.5600000000000003,-0.8600000000000001,0.6799999999999999,-4.389999999999999,0.5900000000000002,0.44999999999999996,0.48999999999999994,1.75,-0.36
 PÃO DOCE,0.13000000000000006,-3.7199999999999998,0.52,0.0,2.0700000000000003,-4.140000000000001,-3.86,1.2600000000000002,-0.06000000000000005,-0.019999999999999934,0.0,-7.7700000000000005,3.2600000000000002,0.1999999999999999
 PÃO DE FORMA,-6.33,-17.32,-2.7899999999999996,0.0,-1.21,5.15,0.0,0.0,0.0,-6.859999999999999,1.3,1.83,-0.9000000000000004,-4.92
 BOLO,-6.739999999999999,-3.26,2.62,-5.84,-3.4600000000000004,1.2499999999999998,-1.06,-0.8700000000000003,1.8,-0.5699999999999998,3.58,4.26,-5.3999999999999995,-2.01
 PÃO DE QUEIJO,0.0,0.0,-2.24,0.0,0.0,3.56,0.0,0.0,0.0,0.0,-0.8900000000000001,0.0,0.0,-1.03
 ÓLEOS E GORDURAS,-1.43,-5.569999999999999,-5.06,-2.44,-1.0,-6.050000000000001,-2.3600000000000003,-2.94,0.16999999999999993,-3.3299999999999996,-1.64,-1.71,-2.75,-2.4000000000000004
 ÓLEO DE SOJA,-2.99,-7.379999999999999,-7.41,-4.6899999999999995,-2.64,-6.38,-4.98,-6.83,-0.010000000000000009,-3.9099999999999993,-2.2800000000000002,-1.1000000000000003,-3.25,-4.14
 AZEITE DE OLIVA,1.8399999999999999,0.0,0.0,0.0,3.8599999999999994,0.0,0.0,0.0,0.0,0.0,0.0,-3.7199999999999998,0.0,2.82
 MARGARINA,-1.2000000000000004,-2.13,1.55,-0.5199999999999996,-0.31000000000000016,-5.58,2.1300000000000003,1.75,0.49,-2.07,0.8799999999999999,-1.9099999999999997,-1.46,-0.32000000000000006
 BEBIDAS E INFUSÕES,-0.23000000000000004,-0.13999999999999996,-0.35,0.5800000000000001,0.7100000000000001,3.1,-2.22,-0.6000000000000001,1.6799999999999997,0.77,-0.43999999999999995,0.06000000000000005,0.16999999999999993,0.21
 SUCO DE FRUTAS,3.11,2.0500000000000003,-3.31,3.31,-1.87,-0.6500000000000001,2.4,-1.12,-1.76,-1.23,-1.2,5.45,-0.55,-0.59
 AÇAÍ (EMULSÃO),0.0,0.0,0.0,0.0,0.0,0.0,-10.99,0.0,0.0,0.0,0.0,0.0,0.0,-10.99
 CAFÉ MOÍDO,-1.4600000000000002,0.32999999999999996,-1.9500000000000002,-1.56,-1.5499999999999998,1.32,-1.3599999999999999,-3.6099999999999994,-3.34,0.8199999999999998,-0.16999999999999998,-2.06,-0.84,-1.4400000000000002
 CAFÉ SOLÚVEL,0.0,-2.69,0.0,-1.1500000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.2
 CHÁ,0.0,-3.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.58,0.0,0.0,-2.49,-2.3
 REFRIGERANTE E ÁGUA MINERAL,-1.25,1.0700000000000003,-0.25,-0.62,0.45000000000000007,6.859999999999999,1.96,0.8899999999999999,2.42,0.5499999999999999,-0.69,-1.11,-0.6,0.48
 CERVEJA,1.73,-0.6200000000000001,2.9399999999999995,6.65,4.340000000000001,3.08,5.05,3.19,7.7,2.55,-0.4600000000000001,1.45,2.9099999999999997,3.2100000000000004
 OUTRAS BEBIDAS ALCOÓLICAS,-0.37,2.48,0.6099999999999999,0.8999999999999999,1.23,-3.33,-0.32000000000000006,-1.5,5.08,-2.62,2.09,0.81,0.0,0.64
 ENLATADOS E CONSERVAS,-2.6500000000000004,2.08,1.3900000000000001,3.17,1.0,1.5700000000000003,0.22999999999999998,1.6800000000000002,7.39,0.05999999999999994,-0.6000000000000001,-1.08,-0.18999999999999995,0.96
 COCO RALADO,0.0,0.0,0.0,0.0,1.38,-1.7400000000000007,0.0,0.0,0.0,-0.26999999999999996,0.0,0.0,-0.26,0.58
 ERVILHA EM CONSERVA,-4.32,-2.8600000000000003,0.0,0.0,0.0,7.01,0.0,0.0,5.49,0.0,0.0,0.0,-5.12,-1.43
 PALMITO EM CONSERVA,-0.36999999999999966,0.0,-0.5899999999999999,0.0,-0.1299999999999999,0.0,0.0,0.0,0.0,-0.7899999999999998,0.7799999999999998,0.17000000000000015,0.0,-0.2699999999999998
 PEPINO EM CONSERVA,0.0,3.0499999999999994,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.22,0.0,0.0,3.4000000000000004,1.56
 SARDINHA EM CONSERVA,-1.3399999999999999,10.5,5.65,3.4899999999999998,1.3899999999999997,0.0,0.45999999999999963,2.7600000000000002,15.759999999999998,3.75,3.2100000000000004,1.7400000000000002,4.01,3.2700000000000005
 SALSICHA EM CONSERVA,0.0,0.0,0.0,1.27,0.0,1.3599999999999999,2.08,2.1800000000000006,0.0,0.0,0.0,0.0,0.0,1.72
 CARNE EM CONSERVA,0.0,0.0,0.0,6.88,0.0,0.0,-1.31,6.15,0.0,0.0,0.0,0.0,0.0,3.3
 PATÊ,-5.66,-0.15000000000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.7099999999999995
 SOPA  DESIDRATADA,0.0,-0.94,-0.9600000000000002,0.0,3.21,3.65,0.0,0.0,0.0,0.0,1.4900000000000002,2.08,0.0,1.4300000000000002
 AZEITONA,-3.7399999999999998,0.0,-0.37,-4.33,1.2999999999999998,-3.87,1.3,0.0,-0.57,0.24,-3.81,-2.34,-2.15,-0.31000000000000005
 MILHO-VERDE EM CONSERVA,-7.859999999999999,-1.41,4.6899999999999995,-2.03,-0.43999999999999995,7.68,-1.0999999999999999,-9.39,5.93,-5.33,-3.28,-8.04,-4.49,-1.21
 ATUM EM CONSERVA,1.9699999999999998,5.3500000000000005,1.63,0.0,0.87,-0.48,0.0,1.11,7.4399999999999995,2.2399999999999998,0.0,0.0,0.0,1.8699999999999999
 SAL E CONDIMENTOS,-13.39,0.15000000000000002,-5.84,-4.08,-4.7700000000000005,5.0,-1.23,-5.33,-0.4600000000000004,-2.44,-3.8000000000000003,-14.59,-6.73,-4.51
 LEITE DE COCO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6,0.0,0.0,0.0,0.0,1.6
 ATOMATADO,-0.9799999999999995,-0.12,3.87,1.1799999999999997,-0.7500000000000001,2.17,-4.03,1.52,9.31,-0.08999999999999986,-1.5100000000000002,0.39999999999999997,2.57,0.8400000000000001
 ALHO,-26.22,0.0,-25.53,-18.59,-16.62,2.22,-4.640000000000001,-11.87,-17.48,-12.27,-14.45,-31.43,-28.93,-18.43
 SAL ,0.0,0.0,0.0,0.0,0.0,0.5900000000000001,-1.19,-1.8699999999999999,0.0,0.0,2.0,0.0,6.98,0.6500000000000001
 FERMENTO,0.0,0.6600000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.7699999999999996,0.0,1.48,0.0,-0.3700000000000001
 MAIONESE,-2.3200000000000003,-0.75,-0.77,-6.11,-4.63,-2.9499999999999993,-0.76,0.77,0.0,0.9500000000000002,-2.9099999999999997,2.83,1.0999999999999999,-1.9799999999999998
 VINAGRE,0.0,0.0,0.0,1.25,0.0,0.0,7.98,0.0,0.0,0.0,0.0,0.0,0.0,4.65
 CALDO CONCENTRADO,-3.2800000000000002,-0.05,-0.7200000000000002,-1.1400000000000001,-1.9099999999999997,6.57,0.0,-0.08000000000000007,0.08999999999999986,0.0,0.0,-1.12,0.0,-1.06
 TEMPERO MISTO,0.0,2.05,7.42,4.109999999999999,7.3500000000000005,15.540000000000001,0.9099999999999997,1.07,7.6499999999999995,1.1999999999999997,4.84,0.4700000000000001,1.9300000000000002,5.19
 ALIMENTAÇÃO FORA DO DOMICÍLIO,1.1099999999999999,0.98,0.8600000000000001,1.43,0.18,-0.8599999999999999,-0.46,0.97,3.06,-0.72,2.33,1.1800000000000002,0.61,0.68
 ALIMENTAÇÃO FORA DO DOMICÍLIO,1.1099999999999999,0.98,0.8600000000000001,1.43,0.18,-0.8599999999999999,-0.46,0.97,3.06,-0.72,2.33,1.1800000000000002,0.61,0.68
 REFEIÇÃO,1.21,0.9,-0.24,1.72,-0.58,-2.72,-3.4,0.49000000000000005,5.59,-2.0700000000000003,3.68,1.5,0.95,0.25000000000000006
 LANCHE,1.5499999999999998,0.72,2.5,2.08,1.2000000000000002,2.8899999999999997,2.4000000000000004,2.1,-0.63,2.07,1.2200000000000002,0.8100000000000002,-0.44999999999999996,1.4700000000000002
 CAFÉ DA MANHÃ,2.15,-0.8300000000000001,3.87,1.3200000000000003,3.4300000000000006,1.09,4.41,0.0,2.8200000000000003,0.0,0.0,1.7199999999999998,0.0,2.5599999999999996
 REFRIGERANTE E ÁGUA MINERAL,0.4,2.71,-0.9400000000000001,2.91,1.68,0.12000000000000002,0.87,-0.6499999999999999,-1.4400000000000002,-0.20000000000000007,2.58,-0.38,0.15999999999999998,0.89
 CAFEZINHO,-0.5800000000000001,-4.25,0.0,0.0,1.37,0.0,0.0,0.0,0.0,0.0,0.2400000000000002,0.0,0.0,0.059999999999999956
 CERVEJA,-0.66,3.54,0.6200000000000001,0.049999999999999906,1.65,2.99,-1.3599999999999999,1.87,3.41,0.9,-0.29000000000000004,1.9300000000000002,1.17,1.2599999999999998
 OUTRAS BEBIDAS ALCOÓLICAS,1.9200000000000002,0.0,-0.18999999999999995,-0.9800000000000001,0.0,0.44999999999999996,0.45999999999999974,1.3699999999999999,0.33000000000000007,0.0,0.0,-1.6700000000000002,0.0,0.3700000000000001
 DOCES,-0.78,0.4600000000000001,2.03,-1.93,1.03,0.38,2.34,-1.9599999999999997,0.1399999999999998,0.19999999999999996,-3.78,-0.16999999999999982,2.54,0.36
 HABITAÇÃO,1.1099999999999999,2.03,3.08,1.24,2.25,0.36999999999999994,5.47,2.62,0.8499999999999999,2.83,0.9700000000000001,3.35,-0.020000000000000073,2.09
 ENCARGOS E MANUTENÇÃO,0.51,1.51,2.3400000000000003,0.25,0.39,0.18,1.0699999999999998,2.8800000000000003,0.4,0.15000000000000002,0.9199999999999999,0.18000000000000002,-0.87,0.77
 ALUGUEL E TAXAS,0.64,1.6,3.3899999999999997,0.11999999999999998,0.35,-0.21000000000000002,2.66,3.96,0.38,-0.01999999999999999,0.95,0.020000000000000018,-1.65,0.89
 ALUGUEL RESIDENCIAL,-0.8,1.9000000000000001,-0.22000000000000003,-0.22,-0.030000000000000027,-1.02,0.78,1.0899999999999999,-1.02,0.32,-1.61,-2.4699999999999998,-3.27,-0.20000000000000004
 CONDOMÍNIO,1.9,0.45,1.52,0.77,1.5499999999999998,1.35,-0.04000000000000001,2.2,-0.5,-0.51,-0.10000000000000003,0.17000000000000004,2.0100000000000002,1.0899999999999999
 TAXA DE ÁGUA E ESGOTO,3.6,2.02,11.26,0.0,0.0,0.0,17.17,12.049999999999999,2.82,0.0,6.25,4.13,0.0,3.27
 MUDANÇA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-6.199999999999999,-5.04,0.0,1.3700000000000003,-4.869999999999999
 REPAROS,0.9500000000000001,1.74,0.75,1.5,1.38,1.4,1.65,1.21,0.43000000000000005,0.61,1.1900000000000002,0.56,1.77,1.1
 FERRAGENS,0.0,0.0,-0.24,0.0,-0.22000000000000003,0.0,0.0,-0.2599999999999998,0.0,0.45000000000000007,0.79,0.07000000000000017,0.0,-0.07
 MATERIAL DE ELETRICIDADE,0.0,2.49,0.0,0.0,0.0,0.0,1.6800000000000002,0.0,0.0,3.1,0.0,0.0,0.0,2.58
 MATERIAL DE PINTURA,0.0,0.0,2.04,0.0,0.0,0.0,0.0,0.0,0.72,0.0,0.0,0.0,4.47,1.83
 VIDRO,-1.2599999999999998,0.0,-0.11000000000000003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.7799999999999998
 TINTA,0.96,3.45,1.04,1.8599999999999999,1.01,-0.05999999999999994,0.3400000000000001,1.3800000000000001,-1.0899999999999999,-0.5599999999999999,0.49,-1.8,3.21,1.1099999999999999
 REVESTIMENTO DE PISO E PAREDE,0.9699999999999999,-1.05,-2.07,2.12,4.87,1.54,3.25,-1.0699999999999998,-2.3000000000000003,-0.020000000000000018,-0.3500000000000001,-3.77,-3.99,1.24
 CIMENTO,-2.86,2.21,-6.2700000000000005,3.0,-2.89,0.6200000000000001,0.4899999999999999,3.9999999999999996,-1.21,-3.3699999999999997,2.88,-0.69,4.83,-1.5399999999999998
 TIJOLO,0.0,0.46,1.1400000000000001,-0.26999999999999996,0.5399999999999999,0.5700000000000001,2.81,-1.19,-4.92,-0.38,0.36999999999999994,1.8900000000000001,0.0,0.17
 MATERIAL HIDRÁULICO,0.0,0.0,-0.4,0.0,1.29,0.0,-0.89,0.0,1.35,-3.1,0.0,-0.66,0.0,0.1999999999999999
 MÃO DE OBRA,1.56,1.56,1.56,1.56,1.56,1.56,1.56,1.56,1.56,1.56,1.56,1.56,1.56,1.56
 AREIA ,-0.44000000000000006,0.0,-0.22999999999999998,0.0,0.0,0.0,0.0,1.86,0.5999999999999996,-1.5499999999999998,2.6099999999999994,1.8699999999999999,0.0,0.08999999999999997
 TELHA,0.8300000000000001,0.0,-1.2,0.0,0.0,0.0,1.3199999999999998,1.8699999999999999,3.62,-1.1099999999999999,-1.62,0.08000000000000007,0.0,-0.07000000000000006
 ARTIGOS DE LIMPEZA,-3.1799999999999997,0.21000000000000002,-0.15000000000000002,-0.6200000000000001,-1.89,1.03,-4.3,-0.69,0.51,-0.010000000000000009,-0.08999999999999998,0.07999999999999999,0.8500000000000002,-1.1
 ÁGUA SANITÁRIA,-4.1899999999999995,0.0,0.15000000000000002,-1.48,5.01,-0.7,-3.8999999999999995,-3.49,1.45,2.3699999999999997,0.0,0.0,0.0,1.23
 DETERGENTE,-2.12,-4.93,-2.5,-1.9500000000000002,-3.1799999999999997,-0.5900000000000001,-3.8600000000000003,-0.3799999999999999,0.2599999999999999,1.04,0.7399999999999998,-1.6300000000000001,-2.02,-2.2699999999999996
 SABÃO EM PÓ,-5.3,2.8600000000000003,-2.1,-1.3299999999999996,-3.0500000000000003,1.3800000000000001,-6.699999999999999,0.45,0.3899999999999999,0.06999999999999984,-1.26,1.92,1.4500000000000002,-1.79
 DESINFETANTE,-1.68,-1.08,0.15999999999999998,-1.9899999999999998,0.0,-0.3999999999999999,-6.61,-1.5,9.59,-0.44000000000000017,-2.24,-1.3399999999999999,-1.4000000000000001,-0.04000000000000001
 INSETICIDA,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25
 SABÃO EM BARRA,-2.37,1.1600000000000001,2.88,1.7199999999999998,-1.0900000000000003,-0.9299999999999997,-1.59,-3.5,-6.32,-1.3099999999999996,1.26,-1.0,1.17,-0.9599999999999999
 ESPONJA DE LIMPEZA,0.0,-2.64,1.1199999999999999,2.8000000000000003,2.2700000000000005,0.0,-1.9,1.7499999999999998,0.0,-1.5099999999999996,2.2200000000000006,1.5599999999999996,1.1800000000000002,0.79
 AMACIANTE,0.13000000000000034,-1.3599999999999999,3.84,0.0,-2.68,3.97,-0.62,3.21,2.16,-0.06999999999999984,0.8899999999999999,-1.96,2.4400000000000004,-0.44000000000000006
 COMBUSTÍVEIS E ENERGIA,2.4699999999999998,3.13,5.09,3.4199999999999995,7.109999999999999,0.9999999999999998,10.32,2.1499999999999995,2.11,9.280000000000001,1.13,9.48,1.52,5.14
 COMBUSTÍVEIS (DOMÉSTICOS),0.75,4.949999999999999,8.26,14.990000000000002,5.88,0.4200000000000004,5.34,1.9099999999999997,-2.7,1.08,8.33,3.5500000000000003,3.6999999999999997,4.4799999999999995
 CARVÃO VEGETAL,0.0,-1.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.08
 GÁS DE BOTIJÃO,0.6699999999999999,5.330000000000001,8.26,14.990000000000002,6.46,0.4200000000000004,5.34,1.9099999999999997,-2.7,1.17,8.33,3.5500000000000003,3.6999999999999997,4.75
 GÁS ENCANADO,1.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.54
 ENERGIA ELÉTRICA RESIDENCIAL,3.03,2.61,3.8999999999999995,-1.700000000000001,7.66,1.25,12.6,2.33,5.380000000000001,11.91,-1.9300000000000006,11.4,0.7599999999999998,5.49
 ENERGIA ELÉTRICA RESIDENCIAL,3.03,2.61,3.8999999999999995,-1.700000000000001,7.66,1.25,12.6,2.33,5.380000000000001,11.91,-1.9300000000000006,11.4,0.7599999999999998,5.49
 ARTIGOS DE RESIDÊNCIA,0.31,0.12,0.31000000000000005,-0.51,0.7300000000000001,-1.2,0.030000000000000027,-0.64,-1.17,-1.03,2.3200000000000003,-0.03,0.4700000000000001,0.1
 MÓVEIS E UTENSÍLIOS,-0.95,0.30999999999999994,0.38,0.44999999999999996,0.5700000000000001,-0.7499999999999998,-0.18,-0.69,-0.5900000000000001,0.04999999999999993,1.56,1.23,0.9299999999999999,0.16999999999999998
 MOBILIÁRIO,-0.87,-0.27,0.52,0.5099999999999999,0.8700000000000001,-2.41,-2.64,-0.8800000000000001,-1.4300000000000002,0.8600000000000001,1.6500000000000001,1.8499999999999999,0.6799999999999999,0.050000000000000044
 MÓVEL PARA SALA,-1.3877787807814457e-17,-1.03,0.74,-0.7500000000000001,1.9300000000000002,-2.69,-1.7400000000000002,0.43000000000000016,-3.04,1.5,3.55,-0.56,-1.7400000000000002,0.11
 MÓVEL PARA QUARTO,-2.61,1.27,-1.1500000000000001,0.54,1.26,-2.63,-6.01,-1.54,-1.09,1.12,-0.6200000000000002,3.98,2.37,-0.1200000000000001
 MÓVEL PARA COPA E COZINHA,-3.6300000000000003,-3.5700000000000003,1.38,-0.02000000000000024,-3.3,1.49,-4.38,-3.36,-3.4099999999999997,-0.17000000000000004,0.9799999999999999,1.6100000000000003,2.27,-1.85
 MÓVEL INFANTIL,0.0,0.0,0.0,-0.6100000000000001,0.0,0.0,2.1700000000000004,-1.2799999999999998,0.0,0.0,-6.159999999999999,0.0,0.0,-0.5
 COLCHÃO,3.68,3.94,4.82,7.15,1.9100000000000001,-1.9900000000000002,3.2399999999999998,2.0599999999999996,8.280000000000001,0.23999999999999977,2.3199999999999994,-0.31,1.5899999999999999,3.37
 UTENSÍLIOS E ENFEITES,-1.3,1.15,-0.64,1.28,1.2599999999999998,2.27,3.14,-2.45,0.46999999999999986,0.9400000000000001,2.32,1.56,1.62,0.74
 TAPETE,3.2000000000000006,1.14,-0.3899999999999999,1.9100000000000001,6.379999999999999,-0.7900000000000003,1.9,0.0,6.25,-1.9499999999999997,3.81,0.8900000000000001,0.6000000000000001,1.78
 CORTINA,3.3899999999999997,2.9000000000000004,0.3999999999999999,2.3299999999999996,-2.25,9.56,-0.68,2.3699999999999997,-1.3399999999999999,4.62,5.28,3.75,0.2599999999999998,1.08
 UTENSÍLIOS DE METAL,-1.21,0.27,-3.34,-4.470000000000001,2.1700000000000004,0.2499999999999999,3.5600000000000005,-3.21,-5.62,2.4099999999999997,-0.41999999999999993,-3.62,-0.8899999999999998,-0.1499999999999999
 UTENSÍLIOS DE VIDRO E LOUÇA,-5.1,2.7,1.4100000000000001,2.79,1.5699999999999998,-2.43,2.9,3.12,0.54,-2.6100000000000003,0.4299999999999997,5.04,6.66,1.02
 UTENSÍLIOS DE PLÁSTICO,4.67,1.19,0.0,-0.6499999999999999,-1.3199999999999998,-1.07,3.4099999999999997,0.0,6.65,1.77,-0.79,0.3999999999999999,-2.11,0.8900000000000001
 FLORES NATURAIS,0.0,-6.43,0.0,0.0,0.009999999999999787,0.0,0.0,0.0,-0.3799999999999999,3.62,0.0,0.0,1.0899999999999999,-0.7400000000000002
 UTENSÍLIOS DIVERSOS,-3.7300000000000004,1.8900000000000001,-1.62,4.12,1.97,3.95,3.73,-4.84,2.99,-0.9699999999999999,2.76,1.63,5.0200000000000005,0.69
" CAMA, MESA E BANHO",-0.7,1.0199999999999998,1.8299999999999996,-0.65,-2.4000000000000004,1.97,1.58,3.17,1.2000000000000002,-4.66,0.16999999999999993,-1.9600000000000002,1.09,-0.33999999999999997
 ROUPA DE CAMA,-0.10999999999999999,1.27,2.55,-2.84,-1.0599999999999998,1.97,2.23,3.7,1.4000000000000001,-6.949999999999999,0.16999999999999993,-1.8199999999999998,1.39,-0.06000000000000002
