Variacoes - OUTUBRO - DEZEMBRO,RJ,POA,BH,REC,SP,DF,BEL,FOR,SAL,CUR,GOI,VIT,CG,NACIONAL
 CONSERTO DE REFRIGERADOR,0.0,4.65,0.85,7.800000000000001,4.7299999999999995,-0.26,2.1399999999999997,0.0,-0.3700000000000001,-3.06,3.7800000000000002,2.51,3.8100000000000005,2.58
 CONSERTO DE TELEVISOR,1.96,0.76,3.13,7.24,-5.32,3.05,3.7,-0.6699999999999999,0.2099999999999999,0.0,0.72,-3.3199999999999994,0.0,-0.019999999999999907
 CONSERTO DE APARELHO DE SOM,0.0,0.0,6.75,0.0,0.0,0.0,0.0,0.0,0.5900000000000001,0.0,0.0,0.0,0.0,5.1
 CONSERTO DE MÁQUINA DE LAVAR ROUPA,-2.93,2.74,0.0,0.0,6.03,-5.5600000000000005,4.72,0.0,0.0,-1.4,0.0,0.0,6.55,2.83
 REFORMA DE ESTOFADO,-0.86,-1.29,0.47000000000000003,0.16999999999999998,0.09000000000000002,1.6199999999999999,-2.43,-1.6099999999999999,-4.32,-1.26,1.15,-1.6,-1.84,-0.6699999999999999
 MANUTENÇÃO DE MICROCOMPUTADOR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.77,1.0299999999999998,0.8899999999999999
 VESTUÁRIO,2.65,1.74,0.25,1.31,1.73,2.43,1.67,3.3200000000000003,1.7799999999999998,1.44,2.23,0.44,0.65,1.65
 ROUPAS,3.34,2.9699999999999998,0.1,1.3599999999999999,1.35,2.46,0.81,3.9,1.63,1.48,2.33,0.8,0.25,1.6600000000000001
 ROUPA MASCULINA,3.66,4.86,2.4899999999999998,1.5899999999999999,1.79,3.25,1.67,3.94,2.19,3.3699999999999997,1.1099999999999999,2.33,0.7500000000000002,2.52
 CALÇA COMPRIDA MASCULINA,5.77,3.64,1.23,-0.33000000000000007,3.17,3.28,4.29,2.33,-0.2400000000000002,5.54,-0.7600000000000002,1.1099999999999999,1.85,2.79
 TERNO,-0.020000000000000018,3.3200000000000003,-1.75,-1.9300000000000004,0.0,0.0,0.0,0.0,0.0,2.79,1.27,-1.25,0.0,0.24
 AGASALHO MASCULINO,0.0,4.86,2.4899999999999998,0.0,1.79,3.1,0.0,0.0,0.0,1.13,0.0,2.33,0.7500000000000002,2.59
 SHORT E BERMUDA MASCULINA,3.25,5.8100000000000005,3.6700000000000004,-1.3099999999999998,3.41,0.5200000000000002,-0.7700000000000001,4.830000000000001,1.23,2.89,1.97,4.49,-0.7600000000000002,2.22
 CUECA,0.0,-1.77,0.0,0.0800000000000003,0.0,0.0,0.87,-0.6400000000000001,2.17,0.0,0.0,0.0,0.0,0.16000000000000003
 CAMISA / CAMISETA MASCULINA,3.55,6.92,4.42,4.7,0.5,4.0600000000000005,1.6999999999999997,4.8100000000000005,4.11,2.33,2.94,2.68,0.3200000000000003,2.74
 ROUPA FEMININA,4.02,1.8900000000000001,-2.24,0.13,1.4699999999999998,2.4299999999999997,-0.37,4.95,0.27,-0.6,3.37,-0.21999999999999986,-1.1800000000000002,1.02
 CALÇA COMPRIDA FEMININA,2.83,3.71,-1.52,-2.91,2.11,-1.1,-0.75,4.71,0.68,1.06,3.57,-1.04,-1.87,1.06
 AGASALHO FEMININO,0.0,1.8900000000000001,-2.24,0.0,1.4699999999999998,0.0,0.0,0.0,0.0,-0.6,0.0,0.0,-1.1800000000000002,0.6
 SAIA,0.0,0.0,0.0,3.77,0.0,0.0,5.95,1.25,1.99,0.0,2.92,0.08000000000000007,0.0,3.16
 VESTIDO,4.06,-2.87,-0.7,1.17,1.1,5.58,0.1199999999999998,1.81,0.6700000000000002,0.039999999999999925,2.01,1.24,-0.6699999999999999,0.98
 BLUSA,5.4,1.44,-4.45,1.6699999999999997,1.0399999999999998,4.390000000000001,-3.93,7.279999999999999,-1.9999999999999998,-1.4600000000000002,4.58,0.26,-1.4300000000000002,0.72
 LINGERIE,1.08,2.76,0.8,1.13,2.12,-0.9600000000000002,4.78,6.3,0.74,-3.6799999999999997,0.36,-1.66,-4.39,1.3399999999999999
 BERMUDA E SHORT FEMININO,4.28,4.61,-2.6,0.7500000000000001,0.0,1.6199999999999999,3.01,2.06,5.1499999999999995,-0.5499999999999998,5.23,-3.6599999999999997,6.75,2.37
 ROUPA INFANTIL,0.6299999999999999,1.85,1.4300000000000002,3.96,0.21999999999999997,0.73,1.7899999999999998,0.35,3.9,2.27,2.12,0.28000000000000025,2.4,1.4700000000000002
 UNIFORME ESCOLAR,3.6000000000000005,0.0,0.0,0.0,2.52,0.0,4.6499999999999995,0.0,0.72,0.47,0.0,0.0,0.0,2.4299999999999997
 CALÇA COMPRIDA INFANTIL,0.62,1.3299999999999998,2.94,5.79,-1.7900000000000003,2.15,2.0300000000000002,4.550000000000001,-2.54,3.19,2.02,0.43999999999999995,0.22000000000000006,0.9000000000000001
 AGASALHO INFANTIL,0.0,1.85,1.4300000000000002,0.0,0.21999999999999997,2.5700000000000003,0.0,0.0,0.0,2.27,0.0,0.28000000000000025,2.4,1.21
 VESTIDO INFANTIL,3.09,0.0,0.22000000000000008,3.3699999999999997,-0.61,1.05,1.25,0.3999999999999999,2.4600000000000004,1.5699999999999998,0.16999999999999948,-1.46,6.65,1.0
 BERMUDA E SHORT INFANTIL,0.6300000000000003,-1.4100000000000001,1.98,1.06,4.38,1.8699999999999999,-0.6900000000000002,2.2100000000000004,4.75,6.35,3.4000000000000004,0.4099999999999997,2.4199999999999995,2.37
 CAMISA / CAMISETA INFANTIL,-0.22999999999999993,3.1,0.73,5.62,0.7400000000000004,1.2599999999999998,2.21,-1.53,6.3999999999999995,1.44,3.08,1.3900000000000001,2.66,1.81
 CONJUNTO INFANTIL,0.0,0.0,1.09,1.4699999999999998,-4.02,-3.3200000000000003,3.45,0.6599999999999999,0.0,0.0,-1.2400000000000002,-1.7300000000000002,0.0,-0.8500000000000001
 CALÇADOS E ACESSÓRIOS,1.48,-0.44,0.8300000000000001,1.56,2.92,2.97,2.79,2.77,3.21,1.53,2.29,-0.59,1.4000000000000001,1.91
 CALÇADOS E ACESSÓRIOS,1.48,-0.44,0.8300000000000001,1.56,2.92,2.97,2.79,2.77,3.21,1.53,2.29,-0.59,1.4000000000000001,1.91
 SAPATO MASCULINO,3.8099999999999996,1.28,2.07,-0.5900000000000002,-0.009999999999999787,1.0899999999999999,1.34,3.1000000000000005,5.71,0.7899999999999998,1.81,1.27,1.0599999999999998,1.49
 SAPATO FEMININO,0.78,-1.46,3.65,-2.9299999999999997,2.51,0.8300000000000001,6.5,5.7299999999999995,4.11,1.43,3.8699999999999997,-1.31,4.4799999999999995,1.8800000000000001
 SAPATO INFANTIL,0.0,0.0,0.0,-0.5,0.0,0.0,4.65,0.0,0.18999999999999995,0.0,0.0,0.0,0.0,1.22
 SANDÁLIA / CHINELO MASCULINO,0.0,0.0,0.0,1.8399999999999999,0.0,0.0,-3.38,0.0,1.8199999999999998,0.0,0.0,0.0,0.0,-0.26
 SANDÁLIA / CHINELO FEMININO,3.76,5.07,2.09,4.470000000000001,4.68,4.18,5.01,3.0300000000000002,5.38,3.4299999999999997,3.38,0.9600000000000002,9.82,4.04
 SANDÁLIA / CHINELO INFANTIL,0.0,0.0,0.0,1.87,0.0,3.7800000000000002,2.23,1.45,6.6899999999999995,0.0,0.05999999999999994,2.73,4.9,2.96
 BOLSA,-1.8900000000000001,0.3699999999999999,0.29000000000000004,9.040000000000001,4.67,2.5200000000000005,4.1,1.45,-3.51,5.129999999999999,0.8500000000000001,2.6100000000000003,-4.76,2.4000000000000004
 TÊNIS,1.31,-1.46,-1.74,-1.44,2.48,3.7,1.6,2.35,1.4300000000000002,0.28,1.8499999999999999,-3.66,-2.06,0.71
 JOIAS E BIJUTERIAS,1.96,1.71,-0.73,0.15999999999999992,-0.3400000000000001,-0.06999999999999995,4.15,-1.46,-1.76,1.0999999999999999,1.37,1.2200000000000002,0.39,0.6100000000000001
 JOIAS E BIJUTERIAS,1.96,1.71,-0.73,0.15999999999999992,-0.3400000000000001,-0.06999999999999995,4.15,-1.46,-1.76,1.0999999999999999,1.37,1.2200000000000002,0.39,0.6100000000000001
 BIJUTERIA,0.8,4.41,-1.05,0.22999999999999998,-0.20999999999999996,2.23,3.68,-0.1299999999999999,-2.19,2.88,-0.35,3.9,-0.83,0.71
 JOIA,2.61,0.039999999999999813,-0.49,0.51,-0.44999999999999996,-1.16,4.55,0.0,-1.23,0.13000000000000012,2.8200000000000003,-0.30000000000000027,1.3900000000000001,0.53
 RELÓGIO DE PULSO,0.0,0.0,0.0,-0.3899999999999999,0.0,0.0,4.12,-2.8699999999999997,0.0,0.0,0.0,0.0,0.0,0.59
 TECIDOS E ARMARINHO,-0.24,1.85,-0.78,-0.41999999999999993,-0.12000000000000005,1.94,1.66,-1.6199999999999999,-0.29999999999999993,-0.15999999999999992,-0.5599999999999999,2.5999999999999996,0.57,-0.04999999999999999
 TECIDOS E ARMARINHO,-0.24,1.85,-0.78,-0.41999999999999993,-0.12000000000000005,1.94,1.66,-1.6199999999999999,-0.29999999999999993,-0.15999999999999992,-0.5599999999999999,2.5999999999999996,0.57,-0.04999999999999999
 TECIDO,0.9099999999999998,0.6699999999999999,-2.1799999999999997,-0.41999999999999993,1.5899999999999999,2.91,2.12,-1.4,0.13,-0.99,-1.5899999999999999,1.3800000000000001,0.44999999999999984,-0.06
 ARTIGOS DE ARMARINHO,0.0,2.42,1.4999999999999996,0.0,-0.41,0.61,1.0099999999999998,0.0,0.0,2.1799999999999997,2.58,4.78,0.8699999999999997,1.12
 ACORTINADO (MOSQUITEIRO),-2.4699999999999998,2.9899999999999998,0.0,0.0,-1.74,0.0,0.0,-2.12,-2.3699999999999997,0.0,0.0,0.0,0.0,-1.6500000000000001
 TRANSPORTES,0.31000000000000005,2.78,1.16,0.9399999999999998,3.39,3.03,1.33,1.37,1.35,2.3000000000000003,4.96,0.4900000000000001,1.52,2.24
 TRANSPORTES,0.31000000000000005,2.78,1.16,0.9399999999999998,3.39,3.03,1.33,1.37,1.35,2.3000000000000003,4.96,0.4900000000000001,1.52,2.24
 TRANSPORTE PÚBLICO,-2.49,2.8,0.69,0.61,2.1500000000000004,5.07,1.4000000000000001,1.37,0.57,1.74,1.8100000000000003,2.29,3.35,0.93
 ÔNIBUS URBANO,-6.1899999999999995,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.66,-1.1800000000000002
 TÁXI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
 TREM,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
 ÔNIBUS INTERMUNICIPAL,-0.27,6.97,-1.09,-2.55,-0.18,0.0,-0.26,0.0,0.13,0.33,-1.35,0.0,-0.65,0.24999999999999997
 ÔNIBUS INTERESTADUAL,0.0,1.71,-0.22,8.02,-4.58,-0.5599999999999999,3.01,9.46,0.24,0.39,6.819999999999999,2.94,2.33,0.2899999999999999
 PASSAGEM AÉREA,16.79,22.33,23.930000000000003,11.61,25.669999999999998,16.270000000000003,23.19,38.42,10.740000000000002,15.39,16.299999999999997,10.35,19.490000000000002,19.44
 METRÔ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
 TRANSPORTE HIDROVIÁRIO,0.0,0.0,0.0,0.0,0.0,0.0,9.870000000000001,0.0,0.0,0.0,0.0,0.0,0.0,9.870000000000001
 TRANSPORTE ESCOLAR,0.0,-0.92,0.51,0.0,0.27,2.25,0.0,0.0,0.0,-2.04,0.0,12.41,0.0,0.21000000000000002
 VEÍCULO PRÓPRIO,0.56,0.9600000000000001,0.1,1.09,0.6799999999999999,1.01,0.19,-0.24,0.99,0.5900000000000001,0.48000000000000004,-0.23000000000000004,-1.9900000000000002,0.55
 AUTOMÓVEL NOVO,-1.49,-0.26,0.55,-0.11000000000000004,0.7,0.55,1.3899999999999997,-0.7000000000000001,1.75,-0.04999999999999993,-0.51,0.78,-3.33,0.23
 EMPLACAMENTO E LICENÇA,1.03,1.02,0.75,1.02,1.1099999999999999,1.02,1.17,2.52,1.02,0.99,0.99,0.99,1.04,1.0499999999999998
 SEGURO VOLUNTÁRIO DE VEÍCULO,3.0500000000000007,-0.79,-9.74,3.2499999999999996,-1.07,-0.9200000000000013,0.0,-2.950000000000001,3.5300000000000002,-3.3199999999999985,-0.04,3.64,6.4,-1.2700000000000002
 MULTA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
 ÓLEO LUBRIFICANTE,-0.17999999999999994,-0.79,-1.4700000000000002,-0.3700000000000001,3.65,2.83,-0.3999999999999999,3.63,0.8399999999999997,-1.64,-0.08000000000000007,0.0,1.1400000000000003,1.22
 ACESSÓRIOS E PEÇAS,-1.21,1.44,0.97,4.13,-1.45,0.22000000000000008,-0.3600000000000001,0.30999999999999983,1.8199999999999998,0.61,-0.07000000000000006,-2.16,2.31,0.20000000000000004
 PNEU,2.47,1.0799999999999998,2.0300000000000002,2.7199999999999998,1.1099999999999999,-2.2799999999999994,-3.0599999999999996,-1.66,2.0599999999999996,0.3699999999999999,3.13,-4.35,-1.7299999999999998,0.9400000000000001
 CONSERTO DE AUTOMÓVEL,3.35,1.5400000000000003,-0.09999999999999998,2.26,0.5299999999999999,1.82,0.47,-4.95,1.82,1.41,0.09999999999999998,-1.82,-3.1100000000000003,0.71
 ESTACIONAMENTO,-0.55,-0.6699999999999999,0.010000000000000009,0.0,1.56,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.22999999999999995
 PEDÁGIO,0.73,16.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.75,0.0,0.0,0.0,2.37
 LUBRIFICAÇÃO E LAVAGEM,0.0,0.0,0.0,4.819999999999999,0.16000000000000014,0.0,0.0,0.0,0.0,3.0700000000000003,0.0,0.0,-3.59,1.16
 AUTOMÓVEL USADO,-0.9200000000000002,3.55,1.03,0.0,2.08,3.3099999999999996,-4.66,5.31,-0.56,0.98,3.1,-1.02,-1.75,1.27
 PINTURA DE VEÍCULO,0.0,0.0,0.0,8.290000000000001,4.28,0.9400000000000001,0.0,0.0,-1.9899999999999998,0.35999999999999993,0.0,0.6500000000000001,0.0,3.05
 ALUGUEL DE VEÍCULO,-2.3899999999999997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.3899999999999997
 MOTOCICLETA,2.08,-1.0899999999999999,-0.27999999999999997,-0.22999999999999998,-0.79,0.35,0.47,4.16,-1.6799999999999997,0.8,0.2899999999999998,-0.9299999999999999,0.20999999999999996,0.12
 COMBUSTÍVEIS (VEÍCULOS),5.24,5.41,3.0900000000000003,1.2599999999999993,8.48,4.41,2.74,4.34,2.9299999999999997,5.7,12.05,0.51,6.72,6.01
 GASOLINA,5.699999999999999,5.12,2.75,2.8000000000000003,7.12,4.27,2.69,4.069999999999999,3.0599999999999996,5.119999999999999,12.88,0.31000000000000005,7.16,5.42
 ETANOL,6.119999999999999,9.23,7.460000000000001,-5.129999999999999,12.349999999999998,6.1,0.0,5.44,2.45,8.42,9.600000000000001,3.94,6.1899999999999995,9.64
 ÓLEO DIESEL,0.0,4.99,1.9899999999999998,0.0,3.7800000000000002,0.0,3.34,5.640000000000001,3.0100000000000002,2.5299999999999994,5.5,1.35,4.48,3.62
 GÁS VEICULAR,1.73,0.0,0.0,2.66,-0.28000000000000014,0.0,0.0,0.0,1.7599999999999998,0.0,0.0,-0.44,0.0,0.97
 SAÚDE E CUIDADOS PESSOAIS,2.06,1.08,0.9099999999999999,1.24,1.59,1.25,0.33999999999999997,1.22,0.8899999999999999,0.43000000000000005,0.59,0.8500000000000001,0.5399999999999999,1.26
 PRODUTOS FARMACÊUTICOS E ÓTICOS,1.28,-5.551115123125783e-17,0.27,0.21,0.78,0.7100000000000001,0.039999999999999994,0.3400000000000001,-0.18000000000000002,-0.8599999999999999,-0.2800000000000001,-0.35,0.010000000000000009,0.34
 PRODUTOS FARMACÊUTICOS,1.29,0.030000000000000027,0.41000000000000003,0.48,0.79,0.71,0.04999999999999999,0.5,-0.19,-0.8999999999999999,-0.18000000000000002,-0.33,0.13000000000000012,0.39
 ANTI-INFECCIOSO E ANTIBIÓTICO,-0.5900000000000001,-0.4800000000000001,-1.53,-3.7800000000000002,-2.57,-0.7899999999999999,-2.93,0.9100000000000001,-1.6500000000000001,-3.3600000000000003,-2.7600000000000002,1.44,1.2,-1.8900000000000001
 ANALGÉSICO E ANTITÉRMICO,4.3,1.25,1.03,0.4700000000000001,1.13,0.5099999999999999,0.22,1.24,0.9299999999999999,0.88,1.8699999999999999,1.9900000000000002,0.56,1.33
 ANTI-INFLAMATÓRIO E ANTIRREUMÁTICO,0.87,1.01,-4.0200000000000005,-1.57,-1.8499999999999999,-0.39,-0.09999999999999998,-1.6800000000000002,-1.9300000000000002,-3.71,-2.4699999999999998,-1.18,1.3599999999999999,-1.52
 ANTIGRIPAL E ANTITUSSÍGENO,1.61,0.75,-0.17999999999999994,0.97,0.82,1.75,0.42,0.009999999999999787,1.1,0.5199999999999999,0.12,-2.89,1.25,0.6799999999999999
 DERMATOLÓGICO,-0.08000000000000007,2.4699999999999998,1.09,-0.3799999999999999,1.5699999999999998,0.0,0.5900000000000001,0.10000000000000009,2.1100000000000003,-0.31999999999999995,0.45,-0.6699999999999999,1.9700000000000002,0.9600000000000001
 ANTIALÉRGICO E BRONCODILATADOR,-2.7,0.76,1.21,0.35,0.62,1.4700000000000002,0.11,0.8200000000000001,0.8,1.35,1.3900000000000001,-0.97,-1.1600000000000001,0.39
 GASTROPROTETOR,0.8399999999999999,-4.07,-0.5900000000000001,2.4699999999999998,4.1,1.11,-0.5299999999999998,0.71,-2.15,0.6800000000000002,-0.3400000000000001,2.49,1.52,0.97
 VITAMINA E FORTIFICANTE,2.88,-0.9200000000000002,-0.32999999999999996,-0.87,-0.30999999999999983,1.02,1.26,1.1900000000000002,1.7399999999999998,-1.1600000000000001,0.22000000000000003,-0.35,-2.2199999999999998,0.36000000000000004
 HORMÔNIO,-1.29,-0.56,-1.5,-0.3800000000000001,2.42,0.75,0.05,-0.54,-1.4400000000000004,0.5599999999999998,0.010000000000000037,-1.35,-0.16999999999999998,0.28
 PSICOTRÓPICO E ANOREXÍGENO,2.94,0.6099999999999999,1.7,0.9900000000000001,2.7199999999999998,0.36,0.5599999999999999,0.47,-1.71,-0.9600000000000001,0.17999999999999994,-1.8399999999999999,0.010000000000000231,1.3099999999999998
 HIPOTENSOR E HIPOCOLESTEROLÊMICO,1.4,-0.27,3.04,2.42,0.15000000000000013,0.9100000000000001,0.5399999999999999,1.6500000000000001,1.01,-1.9100000000000001,-0.45999999999999996,-0.9800000000000001,-0.6500000000000004,0.56
 OFTALMOLÓGICO,0.73,-0.6499999999999999,0.62,0.06999999999999992,3.8400000000000003,0.0,0.24,-0.9600000000000001,-1.25,0.5799999999999998,0.13,1.2699999999999998,-0.97,1.0
 PRODUTOS ÓTICOS,1.2,-0.3599999999999999,-2.38,-1.7600000000000002,0.79,0.5700000000000001,-0.10999999999999999,-0.5399999999999998,-0.029999999999999916,-0.010000000000000009,-1.7199999999999998,-0.65,-1.5699999999999998,-0.22
 ARMAÇÃO DE ÓCULOS,0.0,0.8100000000000003,0.0,0.0,-0.38000000000000034,0.0,0.0,1.7300000000000002,-0.4199999999999997,0.8899999999999997,0.0,0.0,0.0,0.010000000000000009
 ÓCULOS SEM GRAU,2.8600000000000003,1.17,-3.99,2.1100000000000003,-3.5100000000000002,0.0,2.2199999999999998,-2.5700000000000003,1.7300000000000002,-2.37,-1.7499999999999998,0.33999999999999997,-2.6999999999999997,-0.64
 LENTES DE ÓCULOS E DE CONTATO,0.020000000000000018,-1.4600000000000002,-1.32,-5.16,4.84,0.5700000000000001,-1.74,-0.8200000000000001,-1.01,1.01,-1.7000000000000002,-1.0899999999999999,-1.03,-0.030000000000000006
 SERVIÇOS DE SAÚDE,2.76,2.08,1.9500000000000002,2.61,2.55,2.91,2.3000000000000003,2.42,2.1,1.79,1.4700000000000002,1.9100000000000001,1.9,2.3600000000000003
 SERVIÇOS MÉDICOS E DENTÁRIOS,0.6599999999999999,0.4099999999999999,0.64,0.48,0.5700000000000001,3.82,0.030000000000000027,1.0499999999999998,0.65,-0.17,-0.27,-0.41000000000000003,-1.4000000000000001,0.51
 MÉDICO,0.51,0.84,1.19,-0.84,0.0,4.69,0.22000000000000008,1.05,0.0,-2.51,0.0,-0.12,-1.91,0.27
 DENTISTA,0.9199999999999999,-1.12,0.18000000000000016,0.75,0.5599999999999999,2.37,-0.29,1.4899999999999998,1.3599999999999999,0.88,-0.6500000000000001,-1.13,-0.81,0.54
 APARELHO ORTODÔNTICO,0.0,1.2,0.0,0.0,0.8800000000000001,0.0,0.0,0.0,0.0,1.42,0.0,0.0,-1.67,1.06
 ARTIGOS ORTOPÉDICOS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.22999999999999998,0.0,0.0,0.22999999999999998
 FISIOTERAPEUTA,1.57,0.0,0.0,0.0,-0.08999999999999986,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2
 PSICÓLOGO,0.0,0.33,-1.08,5.6,2.64,0.0,0.0,-1.7600000000000002,0.0,0.0,0.0,0.0,0.0,1.42
 SERVIÇOS LABORATORIAIS E HOSPITALARES,1.84,0.33999999999999997,0.07999999999999996,0.24000000000000002,0.8300000000000001,0.36000000000000004,0.78,-0.5700000000000001,0.49,1.29,-0.18,-0.09,-0.04000000000000001,0.63
 EXAME DE LABORATÓRIO,0.05000000000000002,-0.36,1.0,0.13,0.0,-0.06,0.2,-0.32999999999999996,0.49,0.25,-0.17,0.83,-0.54,0.19999999999999998
 HOSPITALIZAÇÃO E CIRURGIA,3.17,0.38999999999999996,-0.11000000000000004,1.51,1.0199999999999998,1.03,2.4000000000000004,0.15,0.7,1.46,-0.32,-0.05,0.0,0.9099999999999999
 EXAME DE IMAGEM,0.6,0.96,-0.7799999999999999,-0.64,-0.4499999999999999,0.0,0.32,-1.29,0.060000000000000005,1.02,0.21,-0.77,0.14000000000000004,-0.020000000000000018
 PLANO DE SAÚDE,3.21,3.0300000000000002,3.1500000000000004,3.21,3.21,3.21,3.21,3.21,3.12,3.21,3.21,3.1500000000000004,3.12,3.18
 PLANO DE SAÚDE,3.21,3.0300000000000002,3.1500000000000004,3.21,3.21,3.21,3.21,3.21,3.12,3.21,3.21,3.1500000000000004,3.12,3.18
 CUIDADOS PESSOAIS,1.25,1.0,-0.19,-0.0699999999999999,0.03000000000000001,-0.6300000000000001,-0.89,0.82,0.42,0.08,0.39,0.69,-1.35,0.19
 HIGIENE PESSOAL,1.25,1.0,-0.19,-0.0699999999999999,0.03000000000000001,-0.6300000000000001,-0.89,0.82,0.42,0.08,0.39,0.69,-1.35,0.19
 PRODUTO PARA CABELO,2.13,0.92,0.76,-0.33999999999999986,2.32,-2.2,0.5199999999999999,-0.89,-1.1399999999999997,1.66,0.29000000000000004,-0.7,-0.42,1.0
 FRALDA DESCARTÁVEL,0.0,5.94,0.32,-0.5399999999999998,0.0,-2.83,1.2799999999999998,0.0,5.53,4.97,3.1799999999999997,0.0,-0.71,2.42
 PRODUTO PARA BARBA,0.0,0.2699999999999996,0.0,0.0,0.0,0.0,0.02999999999999936,0.0,0.0,0.0,0.0,0.16000000000000003,0.0,0.0799999999999999
 PRODUTO PARA PELE,3.0100000000000002,2.2700000000000005,0.28,0.050000000000000266,0.8,-0.19,-3.06,2.84,-0.5,1.3699999999999999,0.91,3.0500000000000003,0.07000000000000002,0.8700000000000001
 PRODUTO PARA HIGIENE BUCAL,-0.1299999999999998,0.55,-4.2,-2.81,-0.1399999999999999,-2.39,-5.760000000000001,-0.7999999999999999,5.040000000000001,-0.81,0.29000000000000004,0.31,-0.96,-0.88
 PRODUTO PARA UNHA,1.4700000000000006,-6.02,1.6400000000000001,-2.7199999999999998,-5.13,0.0,0.7600000000000002,0.3899999999999999,0.8700000000000001,0.0,0.28,0.0,1.3200000000000003,-1.9700000000000002
 PERFUME,0.03,0.98,0.45,0.9000000000000001,-0.07,0.029999999999999888,-0.8600000000000001,1.31,0.2500000000000001,-2.1,-0.2999999999999998,0.78,-3.08,2.7755575615628914e-17
 DESODORANTE,0.20999999999999996,2.37,-2.3999999999999995,-2.7600000000000002,-2.57,-3.31,-4.449999999999999,2.0,-2.55,-3.81,-1.9100000000000001,-3.99,-1.79,-1.9699999999999998
 ABSORVENTE HIGIÊNICO,0.0,0.0,0.0,1.2099999999999995,0.0,0.0,-2.09,1.4100000000000001,0.0,0.0,0.0,0.0,0.0,-0.09000000000000008
 SABONETE,6.04,-2.59,-1.84,-3.05,0.22,1.69,2.26,-3.11,-1.3399999999999999,0.98,0.12,3.8,-0.41000000000000014,0.2
 PAPEL HIGIÊNICO,0.6099999999999999,1.33,0.24,-2.2199999999999998,1.0999999999999999,0.6499999999999999,1.6400000000000001,3.42,2.23,3.59,1.27,-1.22,-1.05,1.13
 ARTIGOS DE MAQUIAGEM,2.73,3.7,0.5900000000000001,4.95,-1.4100000000000001,-0.7999999999999998,2.02,0.6200000000000001,1.82,-1.15,2.6900000000000004,-0.03999999999999959,1.7899999999999996,0.8699999999999997
 DESPESAS PESSOAIS,1.9300000000000002,1.18,0.61,1.61,1.19,0.93,1.1,0.15000000000000002,1.15,0.9299999999999999,1.23,0.82,0.9299999999999999,1.16
 SERVIÇOS PESSOAIS,1.9,1.7799999999999998,0.96,1.75,1.1400000000000001,1.27,2.13,0.9199999999999999,1.6600000000000001,1.2,1.77,0.99,1.25,1.38
 SERVIÇOS PESSOAIS,1.9,1.7799999999999998,0.96,1.75,1.1400000000000001,1.27,2.13,0.9199999999999999,1.6600000000000001,1.2,1.77,0.99,1.25,1.38
 COSTUREIRA,0.0,0.0,0.56,4.8100000000000005,0.0,0.0,-4.470000000000001,2.44,2.76,-0.40000000000000013,0.0,0.0,0.0,0.62
 MANICURE,3.040000000000001,1.6,-0.10999999999999999,0.39,0.93,2.39,5.72,1.25,0.77,0.8200000000000002,3.84,-0.24000000000000002,1.1,1.4899999999999998
 CABELEIREIRO,3.58,2.17,-0.48,2.65,0.9300000000000002,-0.6499999999999999,3.48,-0.9199999999999999,2.6100000000000003,0.3600000000000003,2.3899999999999997,-0.46,0.09999999999999998,1.3699999999999999
 EMPREGADO DOMÉSTICO,1.56,1.56,1.56,1.56,1.56,1.56,1.56,1.56,1.56,1.56,1.56,1.56,1.56,1.56
 DEPILAÇÃO,0.0,0.0,1.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.17,1.3800000000000001
 DESPACHANTE,0.0,10.32,-2.57,0.0,-3.86,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.7
 SERVIÇO BANCÁRIO,0.56,0.56,0.56,0.62,0.56,0.56,0.62,0.62,0.62,0.56,0.62,0.62,0.62,0.5700000000000001
 CONSELHO DE CLASSE,0.0,0.0,0.0,2.19,0.0,0.0,0.0,0.0,0.0,2.16,0.0,0.0,2.1399999999999997,2.16
" RECREAÇÃO, FUMO E FOTOGRAFIA",1.95,0.41000000000000003,-0.019999999999999962,1.3599999999999999,1.27,0.12000000000000002,-0.5900000000000001,-1.08,0.13,0.6199999999999999,-0.01999999999999999,0.47,0.01999999999999999,0.79
 RECREAÇÃO,2.71,-0.94,0.29,2.1100000000000003,0.6,0.52,-0.2,0.36000000000000004,0.43000000000000005,0.13,0.18000000000000005,0.99,0.2,0.6900000000000001
