Variacoes - OUTUBRO - DEZEMBRO,RJ,POA,BH,REC,SP,DF,BEL,FOR,SAL,CUR,GOI,VIT,CG,NACIONAL
 ERVILHA EM CONSERVA,0.8500000000000001,1.9300000000000002,0.0,0.0,0.0,-1.87,0.0,0.0,-0.0700000000000001,0.0,0.0,0.0,0.10999999999999999,1.02
 PALMITO EM CONSERVA,2.59,0.0,0.7500000000000002,0.0,2.78,0.0,0.0,0.0,0.0,6.62,-0.43000000000000005,1.71,0.0,2.91
 PEPINO EM CONSERVA,0.0,2.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13999999999999999,0.0,0.0,1.47,1.8599999999999999
 SARDINHA EM CONSERVA,3.2300000000000004,2.7699999999999996,-0.01000000000000012,4.6899999999999995,5.73,0.0,-1.73,5.38,-3.0,3.27,2.4,4.07,4.35,3.0199999999999996
 SALSICHA EM CONSERVA,0.0,0.0,0.0,-1.0000000000000002,0.0,1.71,-2.1100000000000003,1.7700000000000005,0.0,0.0,0.0,0.0,0.0,-0.6900000000000001
 CARNE EM CONSERVA,0.0,0.0,0.0,2.17,0.0,0.0,-1.89,-0.39,0.0,0.0,0.0,0.0,0.0,0.2400000000000001
 PATÊ,3.59,0.49000000000000005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.81
 SOPA DESIDRATADA,0.0,1.77,0.18999999999999995,0.0,1.66,1.9100000000000001,0.0,0.0,0.0,0.0,0.8400000000000001,1.28,0.0,1.26
 AZEITONA,-1.96,0.0,-1.12,-0.8300000000000001,0.95,-0.30000000000000027,-0.71,0.0,-2.1399999999999997,0.5,-2.8899999999999997,-0.029999999999999805,-6.09,-0.3499999999999999
 MILHO-VERDE EM CONSERVA,0.6200000000000001,3.87,1.99,-3.28,-2.03,-1.6199999999999997,-0.7300000000000001,-3.54,-1.38,-5.58,0.2200000000000002,-0.16000000000000014,2.0700000000000003,-0.9
 ATUM EM CONSERVA,-0.6099999999999997,2.9099999999999997,0.06,0.0,5.21,3.3800000000000003,0.0,1.1600000000000001,4.24,3.49,0.0,0.0,0.0,3.0300000000000002
 SAL E CONDIMENTOS,-5.9,-0.63,-2.5,-3.5,-4.21,-0.95,-4.550000000000001,-6.88,-7.82,-2.54,-1.4300000000000002,-5.06,-5.53,-3.97
 LEITE DE COCO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.5700000000000007,0.0,0.0,0.0,0.0,3.5700000000000007
 ATOMATADO,-0.14000000000000012,-0.54,-2.8899999999999997,-7.77,-1.03,-0.7600000000000001,-2.52,-1.35,-8.670000000000002,-2.5,0.16999999999999993,-3.06,-4.25,-2.3
 ALHO,-13.190000000000001,0.0,-0.40000000000000036,-16.97,-12.74,-5.6899999999999995,-10.92,-16.33,-23.27,-3.49,-4.11,-10.809999999999999,-16.59,-11.4
 SAL,0.0,0.0,0.0,0.0,0.0,-0.8799999999999999,4.3999999999999995,2.99,0.0,0.0,-2.14,0.0,1.77,1.59
 FERMENTO,0.0,-0.29000000000000004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.1599999999999997,0.0,0.8300000000000001,0.0,-1.05
 MAIONESE,-1.2900000000000003,-4.659999999999999,-4.3,0.12999999999999945,-2.97,-3.4,-7.72,-0.45999999999999996,0.0,-5.04,-3.4000000000000004,-3.08,-1.92,-3.58
 VINAGRE,0.0,0.0,0.0,7.8,0.0,0.0,-3.8099999999999996,0.0,0.0,0.0,0.0,0.0,0.0,1.92
 CALDO CONCENTRADO,2.36,1.8,-5.26,4.17,0.48999999999999977,0.5399999999999999,0.0,1.52,0.5800000000000001,0.0,0.0,0.6699999999999999,0.0,0.26
 TEMPERO MISTO,0.0,3.03,-0.73,4.6000000000000005,-1.45,3.81,-1.1999999999999997,1.31,3.04,0.5700000000000003,0.6600000000000001,0.8299999999999998,1.16,0.4099999999999999
 ALIMENTAÇÃO FORA DO DOMICÍLIO,0.52,0.29000000000000004,-0.31000000000000005,0.9,1.95,3.05,2.96,0.010000000000000009,0.010000000000000009,1.2200000000000002,1.0499999999999998,0.59,1.7000000000000002,1.1099999999999999
 ALIMENTAÇÃO FORA DO DOMICÍLIO,0.52,0.29000000000000004,-0.31000000000000005,0.9,1.95,3.05,2.96,0.010000000000000009,0.010000000000000009,1.2200000000000002,1.0499999999999998,0.59,1.7000000000000002,1.1099999999999999
 REFEIÇÃO,0.4700000000000002,-0.14,-0.4600000000000001,1.75,2.33,4.87,5.76,0.42000000000000004,-0.47999999999999987,1.8600000000000003,0.9799999999999999,0.15999999999999998,3.7399999999999998,1.42
 LANCHE,0.050000000000000044,0.8500000000000001,-0.49000000000000005,-0.24000000000000005,1.2999999999999998,-0.26,0.29000000000000004,-1.3599999999999999,0.79,-0.83,0.7599999999999999,0.22000000000000003,-0.3400000000000001,0.35
 CAFÉ DA MANHÃ,0.20999999999999996,2.6599999999999997,-1.4200000000000002,3.05,-3.01,5.48,0.3599999999999999,0.0,-2.46,0.0,0.0,1.3599999999999999,0.0,-0.95
 REFRIGERANTE E ÁGUA MINERAL,0.3700000000000001,0.5800000000000002,-0.38,1.75,1.39,0.0,1.0499999999999998,-0.23,0.96,3.56,1.08,1.1800000000000002,3.58,1.1199999999999999
 CAFEZINHO,3.5199999999999996,6.32,0.0,0.0,-1.4999999999999998,0.0,0.0,0.0,0.0,0.0,1.46,0.0,0.0,0.9199999999999998
 CERVEJA,1.23,-0.15000000000000002,0.19999999999999996,-0.17999999999999994,2.2,-3.25,2.79,1.91,0.51,2.9299999999999997,1.51,1.3900000000000001,-3.54,1.3199999999999998
 OUTRAS BEBIDAS ALCOÓLICAS,2.08,0.0,0.76,2.99,0.0,-0.08999999999999993,8.700000000000001,0.93,3.34,0.0,0.0,2.15,0.0,2.51
 DOCES,2.2,1.52,1.76,-2.12,3.71,1.93,3.6,-0.1399999999999999,-1.2999999999999998,-1.2999999999999998,3.2399999999999998,7.319999999999999,-0.22999999999999998,1.5699999999999998
 HABITAÇÃO,1.05,1.6999999999999997,1.6099999999999999,2.93,3.05,1.8599999999999999,0.9800000000000002,2.38,0.7899999999999998,1.35,8.9,-0.1700000000000001,1.72,2.2
