Variacoes - JANEIRO - MARÇO,RJ,POA,BH,REC,SP,DF,BEL,FOR,SAL,CUR,GOI,VIT,CG,NACIONAL
 MICROCOMPUTADOR,-4.1899999999999995,-7.74,-2.9399999999999995,2.84,-6.4,-4.170000000000001,-2.1399999999999997,-4.09,-6.029999999999999,-4.6,2.1799999999999997,-4.31,-6.17,-4.54
 CONSERTOS  E  MANUTENÇÃO,1.7000000000000002,0.44,0.050000000000000044,1.83,-0.3,2.6500000000000004,0.48000000000000004,-4.56,2.3200000000000003,-1.1,-3.83,1.48,0.42999999999999994,0.1
 CONSERTOS E MANUTENÇÃO,1.7000000000000002,0.44,0.050000000000000044,1.83,-0.3,2.6500000000000004,0.48000000000000004,-4.56,2.3200000000000003,-1.1,-3.83,1.48,0.42999999999999994,0.1
 CONSERTO DE REFRIGERADOR,6.24,0.2800000000000001,-3.18,0.5800000000000005,2.6199999999999997,0.39,0.57,0.0,0.5700000000000001,3.9000000000000004,2.72,0.0,1.18,1.89
 CONSERTO DE TELEVISOR,1.17,4.0600000000000005,-0.13000000000000012,4.81,-1.2,-5.210000000000001,0.0,0.93,1.3599999999999999,0.0,6.16,7.890000000000001,-5.23,0.8300000000000001
 CONSERTO DE APARELHO DE SOM,0.0,0.0,-1.0799999999999998,0.0,0.0,0.0,0.0,0.0,1.66,0.0,0.0,0.0,0.0,-0.4099999999999999
 CONSERTO DE MÁQUINA DE LAVAR ROUPA ,-1.06,-1.7800000000000002,0.0,0.0,0.64,15.610000000000001,2.74,0.0,0.0,-4.15,0.0,0.0,10.93,0.040000000000000036
 REFORMA DE ESTOFADO,0.0,1.8099999999999998,2.38,1.15,-1.8299999999999996,1.7999999999999998,-0.6200000000000001,-7.08,3.81,-1.35,-9.82,-0.43,2.1900000000000004,-1.16
 MANUTENÇÃO DE MICROCOMPUTADOR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8999999999999999,-5.99,-2.7299999999999995
 VESTUÁRIO,-0.45999999999999996,-2.56,-0.85,-1.42,0.11,0.47,-0.9100000000000001,-1.6400000000000001,-0.7,0.010000000000000009,-0.41000000000000014,-0.010000000000000009,-0.94,-0.61
 ROUPAS,-0.7600000000000001,-3.31,-1.2200000000000002,-1.71,-0.49,0.5,-0.8200000000000001,-1.9100000000000001,-0.5299999999999998,-0.30000000000000004,0.56,0.19000000000000006,-0.2599999999999999,-0.8999999999999999
 ROUPA MASCULINA,0.4099999999999999,-3.7,-0.19999999999999996,0.2699999999999999,-0.49,1.8699999999999999,0.64,-0.87,0.8800000000000001,-0.8899999999999999,-0.47,-2.2399999999999998,0.54,-0.42999999999999994
 CALÇA COMPRIDA MASCULINA ,-0.52,-1.87,-1.1400000000000001,2.05,-0.6500000000000004,0.62,-1.4699999999999993,-1.66,2.04,0.61,-0.09999999999999987,1.0899999999999999,-0.2799999999999998,-0.33999999999999997
 TERNO,4.26,1.67,1.81,3.4399999999999995,0.0,0.0,0.0,0.0,0.0,-0.74,2.8,4.74,0.0,1.9700000000000002
 AGASALHO MASCULINO,0.0,-4.78,-0.56,0.0,0.6299999999999999,1.8699999999999999,0.0,0.0,0.0,-0.8899999999999999,0.0,-2.2399999999999998,0.54,-1.1
 SHORT E BERMUDA MASCULINA,0.76,-5.2,-4.029999999999999,-0.44000000000000006,-2.230000000000001,-1.9500000000000002,2.8,-2.63,-0.5299999999999999,-3.34,1.2199999999999998,-3.17,-3.41,-1.25
 CUECA,0.0,-3.58,0.0,1.17,0.0,0.0,2.3,4.01,0.95,0.0,0.0,0.0,0.0,0.42000000000000004
 CAMISA / CAMISETA MASCULINA,-0.20000000000000018,-5.25,1.24,-0.9500000000000002,-0.050000000000000044,3.88,0.43000000000000016,0.17999999999999977,1.08,-1.8399999999999999,-1.8200000000000003,-4.67,2.54,-0.39999999999999997
 ROUPA FEMININA,-1.52,-3.25,-2.28,-3.81,-0.08999999999999997,-0.2200000000000002,-2.18,-2.54,-0.6499999999999999,-0.69,0.8899999999999999,1.7,0.11000000000000007,-1.25
 CALÇA COMPRIDA FEMININA,-0.48,-3.4699999999999998,-1.84,-2.1799999999999997,1.1900000000000002,-1.4500000000000002,-5.050000000000001,-2.6500000000000004,-3.33,0.6799999999999997,4.069999999999999,-2.36,-0.9500000000000002,-0.89
 AGASALHO FEMININO,0.0,-3.25,-2.28,0.0,-0.08999999999999997,0.0,0.0,0.0,0.0,-0.69,0.0,0.0,0.11000000000000007,-1.58
