Variacoes - JANEIRO - MARÇO,RJ,POA,BH,REC,SP,DF,BEL,FOR,SAL,CUR,GOI,VIT,CG,NACIONAL
 ÍNDICE GERAL,1.26,0.8700000000000001,0.92,-0.009999999999999981,0.72,0.05000000000000002,0.6799999999999999,0.5700000000000001,0.63,0.46,0.14,0.57,-0.04999999999999996,0.7
 ALIMENTAÇÃO E BEBIDAS,1.1500000000000001,0.88,0.42000000000000004,-0.16999999999999993,0.45,1.08,0.6499999999999999,-0.2799999999999999,-0.16999999999999993,0.9300000000000002,-0.30000000000000004,0.9599999999999999,-0.53,0.48
 ALIMENTAÇÃO NO DOMICÍLIO,0.29000000000000004,2.2800000000000002,0.44,-0.19000000000000017,0.41000000000000003,1.24,0.39999999999999997,-0.6099999999999999,-0.77,0.36,-0.75,0.53,-1.47,0.33000000000000007
" CEREAIS, LEGUMINOSAS E OLEAGINOSAS",-3.08,-1.1600000000000001,-4.57,-3.73,-3.66,-6.84,-5.23,-3.8,-5.6899999999999995,-5.249999999999999,-4.62,-2.64,0.2999999999999998,-4.01
 ARROZ,-2.85,-0.7700000000000005,-3.64,-1.9500000000000002,-0.6,-6.01,-4.77,-2.4,-3.71,-2.81,-3.76,-0.88,0.039999999999999813,-2.4499999999999997
 FEIJÃO-MULATINHO,0.0,0.0,0.0,-2.5300000000000002,0.0,0.0,0.0,-0.020000000000000018,2.49,0.0,0.0,0.0,0.0,-0.5599999999999998
 FEIJÃO-PRETO,-3.4400000000000004,-2.11,0.0,0.0,0.0,0.0,-4.46,0.0,0.0,-10.0,0.0,-4.76,0.25,-4.050000000000001
 FEIJÃO-MACASSAR (FRADINHO),0.0,0.0,0.0,-8.58,0.0,0.0,0.0,-6.959999999999999,-16.28,0.0,0.0,0.0,0.0,-9.75
 FEIJÃO-CARIOCA (RAJADO),0.0,0.0,-7.19,-6.239999999999999,-11.89,-8.35,-6.960000000000001,-10.969999999999999,-7.67,-11.870000000000001,-7.16,-8.28,1.41,-9.09
" FARINHAS, FÉCULAS E MASSAS",-0.5499999999999999,-0.91,-1.0100000000000002,-2.8999999999999995,-2.87,2.7199999999999998,0.73,-4.45,-0.03999999999999998,3.5700000000000003,-1.33,0.2899999999999999,0.43999999999999995,-0.8999999999999999
 FARINHA DE ARROZ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5700000000000003,4.62,0.0,0.0,0.0,0.0,3.88
 MACARRÃO,-0.98,-1.23,-2.84,-0.9200000000000002,-1.7399999999999998,3.47,0.019999999999999907,-1.79,1.29,7.35,-0.64,1.4,3.04,-0.3
 FUBÁ DE MILHO,0.0,0.0,-1.3599999999999999,-4.0600000000000005,0.0,0.0,0.0,0.0,0.95,0.0,0.16999999999999993,0.0,0.0,-1.83
 AMIDO DE MILHO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.04999999999999993,0.0,0.0,0.0,0.0,0.0,-0.04999999999999993
