Variacoes - JANEIRO - MARÇO,RJ,POA,BH,REC,SP,DF,BEL,FOR,SAL,CUR,GOI,VIT,CG,NACIONAL
 FLOCOS DE MILHO,0.0,0.0,0.0,-2.06,0.0,-4.58,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.4800000000000004
 FARINHA DE TRIGO,-5.140000000000001,-1.71,-1.1400000000000001,0.0,-1.3400000000000003,0.0,-1.32,0.0,0.0,-2.58,-3.75,-2.8499999999999996,-2.63,-2.09
 FARINHA VITAMINADA,0.0,0.0,0.0,0.040000000000000036,0.0,0.0,0.0,1.25,0.0,0.0,0.0,0.0,0.0,0.61
 FARINHA DE MANDIOCA,4.74,0.0,0.0,-5.38,0.0,9.7,1.0299999999999998,-11.83,-1.1199999999999999,0.0,0.0,-0.73,0.0,-1.25
 MASSA SEMIPREPARADA,-0.47999999999999965,0.20999999999999996,3.3499999999999996,0.0,-5.95,-0.21999999999999975,0.0,0.0,0.0,4.0600000000000005,-1.93,1.0999999999999999,-1.5699999999999998,-1.47
" TUBÉRCULOS, RAÍZES E LEGUMES",22.689999999999998,7.750000000000002,21.67,17.25,16.74,23.759999999999998,20.11,18.39,29.51,17.68,18.42,25.73,14.740000000000002,18.87
 BATATA-INGLESA,5.26,-6.109999999999999,5.120000000000001,13.120000000000001,10.75,-6.679999999999998,-2.18,-3.0199999999999996,3.59,0.34999999999999987,3.37,12.25,3.1999999999999997,3.789999999999999
 INHAME,0.0,0.0,0.0,12.78,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.78
 MANDIOCA (AIPIM),0.0,-6.83,0.0,-1.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.8499999999999996,-6.119999999999999,-4.2
 ABÓBORA,7.359999999999999,0.0,25.759999999999998,0.0,0.0,12.75,0.0,0.0,0.0,0.0,7.22,0.0,0.0,13.56
 PIMENTÃO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.709999999999997,0.0,0.0,0.0,0.0,25.699999999999996
 QUIABO,0.0,0.0,-9.919999999999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-9.919999999999998
 TOMATE,54.410000000000004,23.939999999999998,44.49,24.64,35.620000000000005,45.449999999999996,28.65,35.68,52.660000000000004,34.059999999999995,28.669999999999995,76.76,23.189999999999998,37.11
 CEBOLA,19.48,21.68,25.5,36.86,8.27,30.28,27.619999999999997,32.75,41.26,25.970000000000002,32.64,11.809999999999999,37.9,22.259999999999998
 CENOURA,20.630000000000003,0.0,28.39,0.0,7.200000000000001,25.259999999999998,0.0,18.79,17.939999999999998,13.98,30.21,-2.8099999999999996,0.0,16.009999999999998
 MANDIOQUINHA (BATATA-BAROA),0.0,0.0,0.0,0.0,-4.72,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.72
 AÇÚCARES E DERIVADOS,-1.86,-3.76,-8.51,-5.27,-3.17,-5.73,-1.97,-5.76,-5.33,-6.430000000000001,-3.41,-5.9799999999999995,-4.75,-4.449999999999999
 AÇÚCAR REFINADO,-4.53,-9.74,0.0,0.0,-6.7700000000000005,0.0,-0.8000000000000002,-5.41,0.0,-10.5,0.0,0.0,0.0,-5.93
 AÇÚCAR CRISTAL,2.1199999999999997,-4.720000000000001,-15.200000000000001,-6.97,1.65,-10.059999999999999,-1.9900000000000002,-6.42,-6.04,-12.26,-4.29,-9.38,-4.87,-6.24
 BALAS,0.0,2.7800000000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.12,0.0,0.0,0.0,-0.40000000000000013
 CHOCOLATE EM BARRA E BOMBOM,-5.159999999999999,-5.18,-1.62,-9.0,-10.530000000000001,-6.61,-3.51,0.0,-10.68,-9.629999999999999,-4.53,-2.0,-5.109999999999999,-7.49
 SORVETE,-0.9,-5.19,-1.6500000000000004,-2.7099999999999995,-1.21,-1.1,0.0,-6.39,-1.3299999999999998,-4.25,-3.59,-1.1700000000000002,-2.91,-2.25
 CHOCOLATE E ACHOCOLATADO EM PÓ,1.4,0.36,-0.11999999999999994,-1.35,0.69,-0.15000000000000002,-2.74,-4.24,-0.6000000000000001,2.66,-0.1100000000000001,0.76,-6.0200000000000005,0.16000000000000003
 DOCE DE FRUTAS EM PASTA,0.0,0.0,0.0,5.85,0.0,1.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.5999999999999996
 HORTALIÇAS E VERDURAS,10.8,12.8,7.84,4.59,2.280000000000001,6.91,2.35,2.6,4.66,16.0,4.779999999999999,9.71,7.51,5.93
 ALFACE,7.59,15.339999999999998,6.529999999999999,8.28,0.7199999999999989,5.96,3.7,2.46,12.78,13.799999999999999,6.31,8.459999999999999,7.829999999999999,5.61
 COENTRO,0.0,0.0,0.0,2.0899999999999994,0.0,0.0,0.0,0.0,-2.9499999999999997,0.0,0.0,0.0,0.0,-0.2899999999999998
 COUVE,8.06,0.0,0.04999999999999982,0.0,8.05,1.5899999999999999,0.0,0.0,0.0,9.01,-0.5699999999999998,5.69,0.0,5.040000000000001
 COUVE-FLOR,18.56,15.139999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.89,0.0,16.85
 REPOLHO,21.21,-2.380000000000001,28.759999999999998,8.66,10.92,-0.24999999999999978,1.08,0.0,3.6499999999999995,16.84,6.700000000000001,17.229999999999997,-0.5399999999999996,8.93
 CHEIRO-VERDE,10.59,0.0,0.0,0.0,-3.1699999999999995,14.34,2.12,2.64,4.79,0.0,0.0,7.009999999999999,16.49,2.6100000000000003
 AGRIÃO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.04,6.04
 BRÓCOLIS,10.95,30.43,5.87,0.0,8.22,11.55,0.0,0.0,0.0,32.89,0.0,0.0,0.0,14.2
 FRUTAS,8.219999999999999,14.5,15.58,1.05,8.39,13.98,-1.48,11.91,-0.9300000000000002,9.899999999999999,2.75,5.0,14.700000000000001,8.27
 BANANA-DA-TERRA,0.0,0.0,0.0,-10.68,0.0,0.0,0.0,0.0,-18.29,0.0,0.0,-16.79,0.0,-14.989999999999998
 ABACAXI,27.42,6.550000000000001,11.6,9.91,-3.7,0.0,0.0,0.0,0.0,9.18,6.770000000000001,0.0,16.490000000000002,7.3500000000000005
 ABACATE,0.0,0.0,0.0,0.0,0.0,0.0,-50.42,0.0,0.0,0.0,0.0,0.0,0.0,-50.42
 BANANA-D'ÁGUA,6.27,6.78,0.0,0.0,3.47,13.239999999999998,0.0,0.0,0.0,24.68,0.0,0.0,17.13,7.27
 BANANA-MAÇÃ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-10.850000000000001,0.0,-2.2200000000000006,-9.0
 BANANA-PRATA,13.85,3.0000000000000004,25.36,7.0600000000000005,8.280000000000001,31.85,3.88,24.259999999999998,11.719999999999999,18.03,9.91,13.440000000000001,0.0,13.2
 LARANJA-BAÍA,0.0,22.130000000000003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.130000000000003
 LIMÃO,0.0,0.0,0.0,0.0,0.0,0.0,-54.260000000000005,0.0,0.0,0.0,0.0,0.0,0.0,-54.260000000000005
 MAÇÃ,0.54,22.5,-5.889999999999999,-2.36,3.31,7.67,4.82,-1.9099999999999997,-4.079999999999999,5.73,-6.2,-3.33,19.14,2.7199999999999998
 MAMÃO,23.83,26.599999999999998,47.01,13.31,30.54,25.069999999999997,6.3500000000000005,12.32,7.860000000000001,5.380000000000001,0.0,31.17,29.369999999999997,23.41
 MANGA,2.4799999999999995,0.0,0.0,2.4799999999999995,0.0,1.870000000000001,0.0,0.0,0.0,0.0,0.0,20.82,0.0,3.4699999999999998
 MARACUJÁ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-7.34,4.510000000000002,0.0,0.0,0.0,0.0,-0.03999999999999915
 MELANCIA,0.0,0.0,10.91,-1.6500000000000001,5.3100000000000005,13.43,-4.09,9.78,-4.97,12.139999999999999,5.58,0.0,10.5,3.23
 PÊRA,-2.75,0.0,0.0,0.0,-12.42,12.71,0.0,0.0,0.0,0.0,-0.71,-9.02,0.0,-6.959999999999999
 TANGERINA,0.0,14.5,0.0,0.0,8.39,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,14.040000000000001
 UVA,5.3,0.0,3.18,-0.7000000000000002,6.539999999999999,-0.43999999999999995,9.06,6.3500000000000005,4.119999999999999,7.839999999999998,-2.7399999999999984,-1.1899999999999995,-0.7400000000000004,4.83
 LARANJA-PERA,4.8,0.0,21.68,-3.1499999999999995,18.2,3.3999999999999986,1.91,-0.3799999999999999,-10.77,6.66,16.44,6.5600000000000005,21.0,8.61
 MORANGO,0.0,6.220000000000001,3.4600000000000004,0.0,0.0,0.0,0.0,0.0,0.0,-8.05,0.0,0.0,0.0,0.09999999999999964
 GOIABA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.8900000000000006,0.0,0.0,0.0,0.0,0.0,-3.8900000000000006
 CARNES,-5.42,-0.06000000000000005,0.32000000000000006,-1.9899999999999998,-2.16,-0.7600000000000002,0.53,-1.22,-0.92,-3.55,-3.7600000000000002,0.18999999999999995,-6.949999999999999,-1.81
 FÍGADO,0.0,0.0,0.0,1.38,0.0,0.0,0.31999999999999984,-1.7700000000000005,-5.84,0.0,0.0,0.0,0.0,-1.4599999999999997
 CARNE DE PORCO,2.1500000000000004,0.3099999999999997,1.83,-6.119999999999999,-3.4800000000000004,1.2300000000000004,2.14,-1.97,0.99,-4.27,-3.1500000000000004,-3.42,-2.1199999999999997,-1.27
 CARNE DE CARNEIRO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.15,2.2300000000000004,0.0,0.0,0.0,0.0,0.31
 CONTRAFILÉ,-7.250000000000001,-0.8299999999999998,1.3199999999999998,1.6100000000000003,-4.96,3.26,4.26,-0.2599999999999998,-1.25,-11.149999999999999,-3.75,-0.28000000000000025,-3.0399999999999996,-3.119999999999999
 FILÉ-MIGNON,-4.8,0.0,0.0,7.069999999999999,0.0,0.0,-0.9000000000000001,0.0,-3.28,-4.140000000000001,-0.8600000000000003,0.0,1.58,-1.9400000000000004
 CHÃ DE DENTRO,-4.8100000000000005,2.94,2.26,-4.17,-4.17,-1.21,4.82,-1.46,-1.9099999999999997,-3.9799999999999995,-4.24,-1.35,-10.44,-2.0999999999999996
 ALCATRA,-10.95,2.24,-0.9500000000000002,-5.22,-3.99,-3.1799999999999993,3.8600000000000003,-0.9299999999999997,1.5699999999999998,-9.86,-2.9299999999999993,0.5099999999999998,-7.279999999999999,-2.9399999999999995
 PATINHO,-2.48,2.0100000000000002,1.4900000000000002,-0.9800000000000004,-2.7700000000000005,-0.7999999999999998,2.7100000000000004,-2.56,-0.47999999999999954,0.27,-3.41,1.25,-10.78,-1.4300000000000002
 LAGARTO REDONDO,0.0,0.0,0.0,0.0,0.0,0.0,2.84,0.0,-1.9999999999999998,0.0,0.0,0.0,0.0,1.2100000000000002
 LAGARTO COMUM,0.0,0.0,0.0,0.0,-2.77,-4.21,0.0,-0.42000000000000015,-3.2300000000000004,0.0,-2.04,0.0,-5.37,-2.9
 MÚSCULO,-2.3799999999999994,3.19,-3.41,6.379999999999999,2.82,0.0,2.6799999999999997,0.0,1.5599999999999996,0.8499999999999999,-3.0100000000000002,2.8200000000000003,-3.94,0.65
 PÁ,0.0,-0.06999999999999984,0.0,-8.14,2.3899999999999997,-1.8000000000000003,-2.1799999999999997,0.0,-1.79,-1.0199999999999998,0.0,0.0,-8.11,-1.33
 ACÉM,-4.28,3.9399999999999995,1.2000000000000002,-0.5299999999999999,-0.12999999999999998,2.0,-2.82,-1.6599999999999997,-4.22,8.43,-4.38,0.1399999999999999,-8.870000000000001,-0.8200000000000001
 PEITO,0.0,0.0,0.0,0.0,0.0,0.0,-1.5900000000000003,-2.67,-1.1099999999999994,0.0,0.6199999999999997,0.0,-3.96,-1.4299999999999997
 CAPA DE FILÉ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.949999999999999,-4.949999999999999
 COSTELA,-1.85,-2.41,1.2399999999999998,-2.9000000000000004,0.09999999999999998,0.8600000000000001,-6.84,2.29,-0.22000000000000003,2.6300000000000003,-6.42,1.7800000000000002,-8.46,-1.45
 PESCADOS,7.11,2.4300000000000006,1.17,0.48000000000000026,-0.06999999999999984,-6.29,7.050000000000001,2.99,7.1,-1.45,-0.5199999999999996,4.79,-2.51,3.99
 PEIXE-ANCHOVA,18.939999999999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.939999999999998
 PEIXE-BADEJO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.6700000000000004,0.0,-0.6700000000000004
 PEIXE-CORVINA,14.41,0.0,0.0,-1.21,0.0,0.0,0.0,0.0,10.73,0.0,0.0,0.0,0.0,8.7
 PEIXE-CAVALINHA,0.0,0.0,0.0,4.5600000000000005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.5600000000000005
 PEIXE,0.0,2.4300000000000006,1.17,0.0,0.0,-6.29,0.0,0.0,0.0,-1.45,-0.5199999999999996,0.0,0.0,-0.26
 PEIXE-SARDINHA,0.0,0.0,0.0,3.0,2.57,0.0,0.0,0.0,4.58,0.0,0.0,0.0,-7.590000000000001,2.64
 CAMARÃO,0.4300000000000004,0.0,0.0,1.75,0.0,0.0,-1.6300000000000001,0.0,3.0199999999999996,0.0,0.0,10.87,2.8899999999999997,1.2000000000000002
 PEIXE-VERMELHO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.4699999999999998,0.0,0.0,0.0,0.0,3.4699999999999998
 PEIXE-CAVALA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.9399999999999995,9.5,0.0,0.0,0.0,0.0,7.2
 PEIXE-PACU,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-7.21,-7.21
 PEIXE-DOURADO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.629999999999999,0.0,12.62
 PEIXE-CAÇÃO,-4.2299999999999995,0.0,0.0,0.0,8.65,0.0,0.0,0.0,0.0,0.0,0.0,1.3399999999999999,0.0,2.7399999999999998
 PEIXE-MERLUZA,19.17,0.0,0.0,-3.89,-0.06999999999999984,0.0,0.0,0.0,15.790000000000001,0.0,0.0,0.0,1.33,8.03
 PEIXE-SERRA,0.0,0.0,0.0,0.0,0.0,0.0,2.5,-1.0300000000000002,0.0,0.0,0.0,0.0,0.0,1.1300000000000003
 PEIXE-PESCADA,3.3499999999999996,0.0,0.0,2.8500000000000014,-1.7000000000000002,0.0,11.47,0.0,8.18,0.0,0.0,5.16,0.0,6.16
 CARANGUEJO,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.5
 PEIXE-CASTANHA,0.0,0.0,0.0,0.22999999999999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.22999999999999998
 PEIXE-SALMÃO,0.0,0.0,0.0,0.0,-6.29,0.0,0.0,2.99,0.0,0.0,0.0,0.0,-2.51,-4.41
 PEIXE-TILÁPIA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.45,0.0,0.0,0.0,0.0,0.0,3.45
 PEIXE-TUCUNARÉ,0.0,0.0,0.0,0.0,0.0,0.0,7.050000000000001,0.0,0.0,0.0,0.0,0.0,0.0,7.050000000000001
 PEIXE-DOURADA,0.0,0.0,0.0,0.0,0.0,0.0,7.550000000000001,0.0,0.0,0.0,0.0,0.0,0.0,7.550000000000001
 PEIXE-PEROÁ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5.9399999999999995,0.0,-5.9399999999999995
 PEIXE-PINTADO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5.99,-5.99
 CARNES E PEIXES INDUSTRIALIZADOS,-0.75,1.21,-7.26,-0.31000000000000005,0.6599999999999999,-5.51,0.7299999999999999,0.77,-3.75,-1.35,0.050000000000000044,-3.5399999999999996,-1.66,-1.07
 PRESUNTO,-1.87,4.1,-7.42,0.0,-1.27,-2.89,-0.31999999999999995,-3.19,-7.209999999999999,-3.8200000000000003,-1.6099999999999999,-7.24,1.19,-2.41
 SALSICHA,-3.72,-2.75,-4.35,-5.6499999999999995,4.54,-0.18999999999999995,2.49,0.0,0.0,3.5700000000000003,-1.1099999999999999,-9.44,-6.6,0.42999999999999994
 LINGUIÇA,3.8200000000000003,5.41,-9.15,1.8199999999999998,-0.73,-8.92,-1.74,1.85,-4.48,-0.53,1.4700000000000002,-0.39,-1.1,-1.14
 MORTADELA,-1.7000000000000002,0.16000000000000003,-3.2600000000000002,-3.7700000000000005,2.84,0.0,-0.1499999999999999,-0.28,0.0,-2.7600000000000007,0.0,-1.63,-2.42,-0.23999999999999994
 SALAME,0.0,0.3399999999999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3399999999999998
 CARNE-SECA E DE SOL,-4.83,0.0,0.0,0.5800000000000001,0.0,0.0,1.82,0.96,-3.9,0.0,0.0,-6.960000000000001,0.0,-1.62
 CARNE DE PORCO SALGADA E DEFUMADA,0.0,0.0,-4.29,0.0,0.0,0.0,0.0,0.0,2.21,0.0,0.0,0.0,0.0,-0.8300000000000001
 HAMBÚRGUER,0.0,0.0,0.0,0.0,0.0,-2.8200000000000003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.8200000000000003
 AVES E OVOS,-1.6400000000000001,-1.2800000000000002,1.2500000000000002,-4.43,-0.55,0.4400000000000001,-4.01,-3.46,-3.25,1.12,-1.14,-3.67,-3.1000000000000005,-1.82
 FRANGO INTEIRO,-4.28,-0.38,1.67,-6.99,-4.07,-1.06,-4.9399999999999995,-4.91,-3.16,-2.02,-2.34,-9.120000000000001,-3.0400000000000005,-3.9099999999999997
 FRANGO EM PEDAÇOS,-2.06,-1.46,-0.83,-2.09,-3.07,-1.94,-2.01,-2.64,-5.7299999999999995,-0.47000000000000003,-1.3299999999999998,-1.28,-5.630000000000001,-2.38
 OVO DE GALINHA,1.9899999999999998,-1.4899999999999998,3.4899999999999998,0.74,7.890000000000001,6.88,-1.9100000000000001,0.7000000000000001,1.37,7.77,2.91,4.22,1.4000000000000001,3.16
 LEITE E DERIVADOS,1.42,6.58,-0.43999999999999995,0.53,2.07,1.1799999999999995,-2.52,-1.91,-1.3299999999999996,2.0699999999999994,0.8699999999999999,0.89,-2.7600000000000002,1.1400000000000001
 LEITE LONGA VIDA,4.36,9.45,-0.8100000000000005,-2.7,4.67,2.12,-0.6699999999999997,-2.1399999999999997,-1.0300000000000002,3.3499999999999996,1.6000000000000005,0.1499999999999999,-4.470000000000001,2.9
 LEITE CONDENSADO,0.0,0.9199999999999999,0.0,0.0,0.0,0.0,-6.29,-6.4799999999999995,0.0,0.0,0.0,0.0,-4.41,-3.3099999999999996
 LEITE EM PÓ,1.6699999999999995,-2.76,0.0,-1.46,-5.4799999999999995,0.0,-2.98,-4.119999999999999,-3.63,-1.6399999999999997,-5.6,-3.9800000000000004,0.5099999999999996,-2.74
 QUEIJO,-1.81,4.95,-0.05999999999999998,2.68,0.9099999999999999,-1.0499999999999998,-4.18,-0.4099999999999997,0.5099999999999998,-0.9099999999999997,-0.32000000000000006,1.16,-0.8000000000000003,0.48
 CREME DE LEITE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.02999999999999997,0.0,0.0,0.0,0.0,0.0,-0.02999999999999997
 IOGURTE E BEBIDAS LÁCTEAS,1.0,3.6900000000000004,0.6099999999999999,4.34,-2.09,1.94,1.63,3.59,0.38,3.4800000000000004,4.45,0.4,0.06999999999999995,0.75
 MANTEIGA,0.0,0.0,0.0,-1.3900000000000001,0.0,0.0,-4.22,0.6100000000000001,-1.1199999999999999,0.0,0.0,9.61,0.0,-0.55
 PANIFICADOS,0.43999999999999995,1.45,0.020000000000000018,1.4600000000000002,-0.10999999999999988,1.0699999999999998,0.10000000000000003,0.38,-1.9,-0.17000000000000004,-0.24,-0.07999999999999997,-0.39999999999999997,0.09
 BISCOITO,-0.5899999999999999,0.5,-1.19,3.11,-1.66,-0.11999999999999988,-0.5,-0.31000000000000005,-4.630000000000001,-0.8400000000000001,-0.3899999999999999,-0.2599999999999998,-2.51,-0.9700000000000002
 PÃO FRANCÊS,0.73,0.7499999999999998,1.04,0.78,0.48,1.1800000000000002,0.16999999999999998,0.75,-0.8199999999999998,-1.44,-0.5399999999999998,-0.07000000000000003,0.76,0.3400000000000001
 PÃO DOCE,-3.08,2.74,-2.9499999999999993,0.0,1.2699999999999998,1.3599999999999999,0.7899999999999999,-1.1199999999999997,-0.6400000000000006,-0.31000000000000005,0.0,-0.5400000000000001,-0.28,0.0
 PÃO DE FORMA,3.4000000000000004,0.13000000000000034,-1.5500000000000003,0.0,-2.14,-2.0999999999999996,0.0,0.0,0.0,4.300000000000001,0.10000000000000009,0.2400000000000002,-1.62,-0.050000000000000266
 BOLO,-2.75,10.27,-0.31000000000000005,-0.13000000000000012,1.66,3.9699999999999998,1.64,0.20999999999999996,2.3099999999999996,4.67,0.89,0.75,-1.79,2.1900000000000004
 PÃO DE QUEIJO,0.0,0.0,0.20999999999999996,0.0,0.0,4.109999999999999,0.0,0.0,0.0,0.0,1.69,0.0,0.0,1.1099999999999999
 ÓLEOS E GORDURAS,-3.2199999999999998,-7.04,0.0,-1.44,-3.1500000000000004,-2.0500000000000003,-0.79,-2.56,-5.74,-3.02,-2.5300000000000002,-2.6500000000000004,-5.39,-3.03
 ÓLEO DE SOJA,-6.27,-9.35,-1.04,-5.5200000000000005,-4.71,-4.37,-2.6,-3.81,-10.209999999999999,-4.97,-2.9299999999999997,-5.5600000000000005,-6.25,-5.04
 AZEITE DE OLIVA,-2.3,0.0,0.0,0.0,-1.0199999999999998,0.0,0.0,0.0,0.0,0.0,0.0,0.9500000000000001,0.0,-1.4000000000000001
 MARGARINA,-0.55,-2.51,3.03,1.74,-1.32,0.7999999999999998,2.23,-1.17,0.75,1.03,-0.98,2.48,-3.0900000000000003,0.06999999999999995
 BEBIDAS E INFUSÕES,-2.1,0.41000000000000003,-0.18000000000000008,1.13,-0.66,0.14000000000000012,2.3200000000000003,-1.73,-2.1,0.64,-0.5,-0.44000000000000006,-1.01,-0.36000000000000004
 SUCO DE FRUTAS,-1.3800000000000001,1.2199999999999998,-0.06999999999999995,0.24,-3.17,0.1800000000000001,3.18,2.2399999999999998,1.2,3.16,0.9500000000000002,-5.4399999999999995,-2.99,-0.76
 AÇAÍ (EMULSÃO),0.0,0.0,0.0,0.0,0.0,0.0,10.57,0.0,0.0,0.0,0.0,0.0,0.0,10.57
 CAFÉ MOÍDO,-1.0499999999999998,-1.52,-4.61,-3.19,-1.54,-3.85,-0.8199999999999998,-5.57,-4.12,0.6500000000000001,-1.5,0.029999999999999805,-1.45,-2.21
 CAFÉ SOLÚVEL,0.0,2.9699999999999998,0.0,0.55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.12
 CHÁ,0.0,0.6199999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.07999999999999999,0.0,0.0,-0.99,0.4099999999999999
 REFRIGERANTE E ÁGUA MINERAL,-3.28,0.32999999999999996,1.2200000000000002,3.99,0.6000000000000001,2.35,-1.75,0.039999999999999925,0.3699999999999999,2.1199999999999997,-0.55,-0.06999999999999984,-0.6,0.31
 CERVEJA,-2.85,0.98,2.75,-1.8900000000000001,-1.5199999999999996,0.6100000000000002,-0.38999999999999996,-0.72,-5.68,-2.69,-0.18,-0.56,-0.4799999999999999,-1.17
 OUTRAS BEBIDAS ALCOÓLICAS,0.9299999999999999,-0.8,0.42999999999999994,0.26,2.04,0.5800000000000001,0.15,-1.73,0.5399999999999999,1.3599999999999999,1.6099999999999999,2.42,0.0,0.95
 ENLATADOS E CONSERVAS,0.3400000000000001,1.0,-0.06000000000000005,1.54,0.039999999999999925,1.13,-0.30000000000000004,0.29999999999999993,-0.19999999999999998,1.19,1.0,0.8800000000000001,-0.22999999999999995,0.4
 COCO RALADO,0.0,0.0,0.0,0.0,-1.87,0.17999999999999994,0.0,0.0,0.0,0.75,0.0,0.0,-1.6800000000000002,-0.9999999999999999
 ERVILHA EM CONSERVA,1.52,3.08,0.0,0.0,0.0,2.84,0.0,0.0,1.83,0.0,0.0,0.0,2.24,2.42
 PALMITO EM CONSERVA,-1.2000000000000002,0.0,3.83,0.0,-0.47,0.0,0.0,0.0,0.0,-0.32999999999999996,1.26,-3.2300000000000004,0.0,0.029999999999999805
