Variacoes - ABRIL - JUNHO,RJ,POA,BH,REC,SP,DF,BEL,FOR,SAL,CUR,GOI,VIT,CG,RB,SL,AJU,NACIONAL
 ÍNDICE GERAL,1.78,2.5799999999999996,2.2600000000000002,2.55,1.4000000000000001,1.75,1.3199999999999998,1.77,2.31,2.08,1.6,2.12,2.62,1.17,2.19,1.6800000000000002,1.8800000000000001
 ALIMENTAÇÃO E BEBIDAS,2.3800000000000003,3.05,2.62,2.51,2.23,2.51,0.7500000000000001,2.02,2.8,3.58,1.69,3.0599999999999996,2.95,1.77,2.38,2.2199999999999998,2.4399999999999995
 ALIMENTAÇÃO NO DOMICÍLIO,3.8299999999999996,3.3,4.13,3.37,4.34,3.8099999999999996,1.21,2.45,3.16,5.609999999999999,2.5400000000000005,4.97,3.8599999999999994,2.67,3.0500000000000003,3.41,3.7199999999999998
" CEREAIS, LEGUMINOSAS E OLEAGINOSAS",-1.6300000000000003,-1.88,5.03,-0.19999999999999996,3.7200000000000006,1.9199999999999997,0.7799999999999998,-1.1900000000000002,0.4800000000000002,2.95,2.13,3.71,1.6800000000000002,0.64,-0.85,3.66,1.4700000000000002
 ARROZ,0.13999999999999968,-1.22,4.75,-4.130000000000001,1.87,-0.009999999999999787,1.36,0.13000000000000012,-2.92,2.2300000000000004,0.5399999999999999,4.38,-0.56,-1.0299999999999998,-1.27,1.06,0.8299999999999998
 FEIJÃO-MULATINHO,0.0,0.0,0.0,3.46,0.0,0.0,0.0,-1.88,-7.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.82
 FEIJÃO-PRETO,-4.24,-3.7199999999999998,0.0,0.0,0.0,0.0,-2.9799999999999995,0.0,0.0,3.61,0.0,2.95,5.99,0.0,2.19,0.0,-2.5700000000000003
 FEIJÃO-MACASSAR (FRADINHO),0.0,0.0,0.0,3.08,0.0,0.0,0.0,-4.85,-5.95,0.0,0.0,0.0,0.0,0.0,-0.85,-2.37,-3.46
 FEIJÃO-CARIOCA (RAJADO),0.0,0.0,5.9799999999999995,3.16,8.969999999999999,6.01,0.9000000000000004,2.74,11.58,5.82,7.220000000000001,1.3599999999999999,9.54,5.26,-0.5800000000000001,9.04,7.140000000000001
 FEIJÃO-BRANCO,0.44,0.15,0.37,0.65,-1.31,-0.31,0.35,-0.43,0.48,-1.15,0.33,-0.05,0.98,0.0,5.65,0.0,5.58
" FARINHAS, FÉCULAS E MASSAS",2.19,6.27,1.03,1.54,2.69,0.5500000000000003,0.18999999999999995,-1.9700000000000002,6.86,5.22,5.68,5.27,2.5399999999999996,-3.14,3.0,-0.37,2.8800000000000003
 FARINHA DE ARROZ,0.93,-0.95,2.71,1.8,0.11,-2.49,-0.01,-2.87,0.039999999999999966,-2.14,0.58,0.59,1.11,0.0,1.57,1.52,-0.009999999999999981
 MACARRÃO,2.4699999999999998,4.38,0.09000000000000008,3.08,1.9,-0.9000000000000004,2.2,0.94,-0.6200000000000001,2.4299999999999997,5.15,6.53,-0.24,0.16000000000000003,2.38,-0.6,1.88
 FUBÁ DE MILHO,0.0,0.0,-1.71,4.739999999999999,0.0,0.0,0.0,0.48,2.9899999999999998,0.0,5.02,0.0,0.0,0.0,7.959999999999999,2.08,3.01
 AMIDO DE MILHO,0.0,0.0,0.0,0.05,0.0,-0.63,0.0,1.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.95
 FLOCOS DE MILHO,-1.82,1.56,-2.54,-1.1699999999999997,-2.27,1.67,-0.29,0.0,0.0,0.06,0.35,1.01,-0.76,0.0,0.0,1.13,-1.15
 FARINHA DE TRIGO,8.219999999999999,14.41,3.7800000000000002,1.33,5.6499999999999995,0.0,2.09,2.09,0.0,12.209999999999999,8.27,16.009999999999998,9.49,0.0,0.0,0.0,10.549999999999999
 FARINHA VITAMINADA,-1.42,0.0,0.0,-0.6,0.0,7.13,0.48,0.7899999999999999,0.76,0.0,0.0,-1.27,0.0,0.0,0.0,-0.8500000000000001,1.17
 FARINHA DE MANDIOCA,-4.159999999999999,0.54,-1.85,0.2300000000000001,-3.56,2.2800000000000002,-0.45999999999999996,-2.5500000000000003,8.79,-0.42,0.39,-0.4100000000000001,2.63,-4.5,2.66,-2.96,0.8500000000000001
 MASSA SEMIPREPARADA,8.329999999999998,1.45,7.02,-2.89,1.97,0.6499999999999999,1.15,6.0,4.5,2.7199999999999998,8.219999999999999,9.07,3.1,0.0,0.0,7.29,4.08
" TUBÉRCULOS, RAÍZES E LEGUMES",12.47,29.24,7.709999999999999,19.88,7.34,10.53,28.54,29.15,13.7,17.4,4.51,10.25,20.44,26.66,16.43,23.39,13.690000000000001
 BATATA-INGLESA,39.75,56.06,28.46,37.25,28.55,30.08,34.769999999999996,35.63,22.29,45.43,28.39,38.08,37.3,39.94,17.060000000000002,30.09,29.94
 INHAME,0.0,-9.85,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.8,3.53,0.0,0.0,-4.67,-2.92
 MANDIOCA (AIPIM),0.46,-12.09,11.74,-6.56,0.0,6.84,0.0,0.0,0.0,0.0,8.99,1.46,8.870000000000001,0.0,0.0,-1.0599999999999996,2.13
 ABÓBORA,28.47,0.0,-3.03,0.0,0.0,-1.35,0.0,0.0,1.2,0.0,-9.0,0.0,0.0,0.0,0.0,0.0,7.64
 PIMENTÃO,0.0,0.0,5.59,0.0,0.0,0.0,0.0,0.0,-7.95,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.3600000000000003
 QUIABO,6.57,-5.23,17.890000000000004,-11.84,-3.77,-8.33,-5.78,-2.86,-3.52,-1.2,7.0,5.79,-3.4,0.0,0.0,0.0,10.650000000000002
 TOMATE,9.709999999999997,61.07,-0.620000000000001,39.81,22.65,17.87,27.17,43.54,18.06,34.75,18.18,-16.990000000000002,24.29,5.84,10.02,36.839999999999996,23.240000000000002
 CEBOLA,53.510000000000005,51.36,37.919999999999995,35.89,26.22,43.67,32.29,21.68,20.359999999999996,47.76,24.479999999999997,14.99,43.39,47.230000000000004,32.04,31.93,35.18
 CENOURA,-9.610000000000001,0.0,-4.550000000000001,0.0,3.75,-7.370000000000001,0.0,11.379999999999999,10.11,17.42,-2.3999999999999995,2.6,0.0,0.0,0.0,13.739999999999998,3.0700000000000003
 MANDIOQUINHA (BATATA-BAROA),-2.55,0.91,-3.65,-0.7,7.630000000000001,1.62,-1.2,-2.02,-1.02,0.69,-1.57,0.18,-0.66,0.0,0.0,0.0,6.250000000000001
 AÇÚCARES E DERIVADOS,-1.63,-1.1199999999999999,0.5299999999999999,-1.45,-3.37,1.17,-1.83,-2.84,-3.0799999999999996,0.63,0.9899999999999998,5.260000000000001,1.33,-0.7400000000000002,0.9099999999999999,1.88,-2.5300000000000002
 AÇÚCAR REFINADO,0.08000000000000007,-2.71,-5.86,-2.67,-1.62,1.79,-8.09,-4.82,-2.55,-3.3500000000000005,-3.45,0.32,-2.6,1.0300000000000002,1.83,2.0300000000000002,-2.1499999999999995
 AÇÚCAR CRISTAL,3.3099999999999996,-2.77,-0.020000000000000018,-3.9000000000000004,-2.8199999999999994,3.9,0.3600000000000003,-1.6400000000000001,-5.04,-1.6099999999999997,2.69,9.16,2.84,-0.5900000000000001,-0.73,1.03,0.16000000000000036
 BALAS,0.64,1.71,-0.96,6.95,6.23,3.47,1.09,0.0,7.43,3.3200000000000003,0.61,1.7,1.46,0.0,0.0,0.0,3.3200000000000003
 CHOCOLATE EM BARRA E BOMBOM,0.6399999999999998,0.6499999999999997,0.5799999999999998,0.93,0.20999999999999996,-1.7999999999999998,1.1800000000000002,0.48,1.6300000000000001,5.12,3.51,-1.27,2.7800000000000002,1.6099999999999999,0.0,2.5599999999999996,0.8799999999999999
 SORVETE,-1.1099999999999997,1.6099999999999999,1.2600000000000002,1.6400000000000001,1.5,-1.6199999999999999,-0.33,-1.14,1.83,-0.01000000000000019,-1.69,-2.92,-1.6800000000000002,0.0,3.67,2.48,0.62
 CHOCOLATE E ACHOCOLATADO EM PÓ,-0.76,-0.9099999999999999,-1.7,2.0100000000000002,-1.69,1.4,-0.24,-0.65,1.74,-0.9899999999999999,-1.8699999999999999,0.32000000000000006,1.24,-4.02,2.29,4.07,0.07999999999999985
 DOCE DE FRUTAS EM PASTA,7.88,5.55,4.52,12.21,10.1,-0.08000000000000002,1.33,3.43,3.13,3.28,2.65,7.12,5.47,0.0,0.0,0.0,7.96
 HORTALIÇAS E VERDURAS,8.95,16.32,-0.3200000000000003,-4.899999999999999,17.29,2.49,9.51,0.29000000000000004,8.39,3.1300000000000003,0.85,1.5700000000000003,10.95,15.42,9.13,9.14,10.48
 ALFACE,8.43,6.369999999999999,-0.96,5.07,8.889999999999999,-1.2,7.07,3.79,-2.17,-8.9,-1.24,3.38,1.2799999999999998,25.189999999999998,-1.19,9.18,10.93
 COENTRO,6.32,0.0,6.12,-15.510000000000002,1.81,5.77,0.0,0.0,4.46,11.92,5.42,5.26,0.0,0.0,0.0,8.319999999999999,-0.9900000000000002
 COUVE,6.800000000000001,11.07,1.5099999999999998,0.0,9.55,-1.3900000000000001,0.0,0.0,0.0,3.3,-3.4399999999999995,22.349999999999998,0.0,0.0,0.0,0.0,13.89
 COUVE-FLOR,13.89,-4.6499999999999995,9.77,-2.21,5.49,1.38,-0.13,0.0,11.48,-6.41,4.81,11.88,5.1,0.0,0.0,0.0,3.03
 REPOLHO,16.25,23.060000000000002,-10.05,7.8100000000000005,26.54,10.18,34.02,4.11,27.869999999999997,8.450000000000001,9.28,-1.4499999999999993,27.76,23.93,0.0,12.23,18.95
 CHEIRO-VERDE,-0.20000000000000018,0.0,0.0,0.0,-1.4700000000000002,7.49,6.01,0.85,-4.0,0.0,0.0,13.42,-0.8400000000000001,6.37,15.21,0.0,3.0
 AGRIÃO,9.69,15.04,6.26,0.0,5.39,-1.17,0.0,0.0,0.0,-4.62,0.0,0.0,0.14,0.0,0.0,0.0,6.819999999999999
 BRÓCOLIS,1.9299999999999993,-3.84,-3.130000000000001,7.35,1.7899999999999994,4.67,2.02,3.48,5.73,8.96,0.05,2.16,-2.17,0.0,0.0,0.0,0.9200000000000004
 FRUTAS,4.3,-8.26,-0.07000000000000028,0.3799999999999999,-0.41000000000000014,3.08,1.9,3.65,3.12,-2.95,2.06,3.35,-1.790000000000001,-0.7599999999999998,6.779999999999999,-1.3199999999999998,0.25
 BANANA-DA-TERRA,-2.35,-2.61,-1.41,20.240000000000002,1.5,0.0,0.0,0.0,0.6600000000000001,1.58,-4.49,17.560000000000002,-1.99,-2.62,0.0,0.0,9.219999999999999
 ABACAXI,6.59,2.0300000000000002,-5.8,-6.5600000000000005,5.97,0.0,-4.01,0.0,0.0,-6.91,-0.9499999999999993,0.0,-4.039999999999999,0.0,0.0,2.35,-3.3999999999999995
