Variacoes - ABRIL - JUNHO,RJ,POA,BH,REC,SP,DF,BEL,FOR,SAL,CUR,GOI,VIT,CG,RB,SL,AJU,NACIONAL
 ABACATE,1.35,-2.89,0.0,0.0,-4.11,-8.05,18.25,0.0,0.0,-9.85,0.0,0.0,-14.66,0.0,0.0,0.0,13.5
 BANANA-D'ÁGUA,0.33999999999999986,-10.58,0.0,0.0,-4.9799999999999995,7.959999999999999,0.0,0.0,0.0,-6.42,-8.78,0.0,-22.34,0.0,0.0,0.0,-15.19
 BANANA-MAÇÃ,-6.53,-4.46,4.27,11.52,0.53,-3.05,1.02,5.13,2.39,3.75,6.1899999999999995,-4.78,-17.71,0.0,0.0,0.0,1.5599999999999998
 BANANA-PRATA,3.8599999999999994,3.6499999999999995,-4.09,-4.41,1.3900000000000001,4.5,0.5099999999999999,-4.3199999999999985,-4.71,-0.5299999999999998,-0.9399999999999995,5.9,0.0,0.08000000000000007,7.83,-7.92,-4.8999999999999995
 LARANJA-BAÍA,0.0,-16.28,0.0,0.0,0.0,0.0,-7.99,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-24.270000000000003
 LIMÃO,2.16,1.09,2.89,11.63,0.97,4.33,20.409999999999997,0.87,10.54,-1.34,3.32,1.3,-1.25,0.0,15.93,0.0,22.509999999999998
 MAÇÃ,33.730000000000004,8.370000000000001,30.509999999999998,9.370000000000001,25.779999999999998,26.470000000000002,29.82,24.49,29.54,39.260000000000005,-0.21999999999999997,20.529999999999998,31.67,21.759999999999998,5.430000000000001,2.84,24.730000000000004
 MAMÃO,3.34,-20.05,-25.62,-0.95,-13.82,-9.99,-16.02,15.1,-14.49,-26.9,0.0,-13.379999999999999,-29.55,0.0,2.3600000000000003,-7.99,-8.790000000000003
 MANGA,7.04,0.0,0.0,2.84,0.0,10.39,0.0,-3.69,-0.26,0.0,0.0,0.96,0.0,0.0,0.0,5.8100000000000005,4.39
 MARACUJÁ,0.0,0.0,-5.04,10.43,-5.15,13.85,2.37,26.49,15.469999999999999,-12.73,-6.96,0.0,-2.54,0.0,0.0,2.6899999999999995,9.690000000000001
 MELANCIA,1.47,0.0,19.64,6.999999999999999,9.910000000000002,0.7099999999999995,8.35,15.74,6.32,35.44,10.68,1.6,10.47,-15.16,6.859999999999999,0.1499999999999999,10.43
 PÊRA,1.73,1.26,0.0,0.0,11.85,1.2700000000000005,0.0,0.0,0.0,0.0,-0.47,14.49,0.0,0.0,0.0,0.0,7.879999999999999
 TANGERINA,5.84,-8.26,3.65,0.51,-2.8200000000000003,0.1,2.4,-5.87,-6.73,12.4,4.47,15.52,2.06,0.0,0.0,0.0,-7.28
 UVA,8.440000000000001,0.0,11.46,8.95,0.7599999999999998,8.55,-3.1399999999999997,10.78,12.18,0.02000000000000135,-0.09999999999999876,4.87,-3.3900000000000006,-0.7599999999999998,6.64,2.5700000000000003,5.01
 LARANJA-PERA,11.76,9.96,24.580000000000002,-2.1400000000000006,0.42999999999999994,18.02,4.73,3.35,3.41,14.18,6.29,9.42,11.49,-8.84,6.33,2.3,18.72
 MORANGO,0.0,19.18,-8.95,0.0,0.0,0.0,0.0,-3.46,0.0,13.870000000000001,0.0,0.0,0.0,0.0,0.0,0.0,1.75
 GOIABA,-1.1,0.71,-1.31,0.12,-0.79,0.68,0.19,11.32,0.95,-0.99,-0.57,-1.42,0.86,0.0,0.0,0.0,10.35
 CARNES,9.33,2.45,2.39,2.8800000000000003,6.35,2.62,0.48999999999999977,0.3599999999999999,0.06999999999999984,5.2,1.43,2.92,3.79,2.02,1.48,3.42,2.5999999999999996
 FÍGADO,2.91,0.11,-3.79,4.0,-2.03,-1.4,-4.77,3.7499999999999996,8.94,-0.69,-1.84,-0.78,0.01,0.0,4.89,1.3800000000000001,0.45999999999999996
 CARNE DE PORCO,1.54,-1.53,2.6999999999999997,0.6699999999999999,7.329999999999999,-3.11,-3.29,4.82,0.48999999999999977,2.02,2.2100000000000004,1.4600000000000004,1.63,3.73,3.8499999999999996,2.75,3.39
 CARNE DE CARNEIRO,-3.47,0.33,-0.04,-2.53,-2.2,0.06,-1.5,2.4400000000000004,4.32,1.63,-0.6,2.16,2.54,0.0,0.0,0.0,0.36
 CONTRAFILÉ,3.83,2.46,3.75,0.35999999999999943,5.86,2.7699999999999996,5.68,1.5000000000000002,9.22,1.0,-0.44000000000000006,-0.1200000000000001,1.15,8.5,-4.819999999999999,1.97,2.96
 FILÉ-MIGNON,3.5,-3.66,-0.95,4.529999999999999,0.84,-2.41,0.31000000000000005,1.03,3.43,3.12,-1.7,-3.81,6.51,0.0,0.0,0.0,2.75
 CHÃ DE DENTRO,10.58,4.17,5.68,4.92,6.24,8.120000000000001,0.81,2.63,3.09,10.469999999999999,0.1200000000000001,5.8100000000000005,6.119999999999999,-2.12,2.72,4.98,5.220000000000001
 ALCATRA,10.649999999999999,-0.1200000000000001,0.6099999999999998,-3.68,3.47,5.51,0.2200000000000002,3.5,4.48,-5.4399999999999995,0.19000000000000017,-0.9500000000000002,-1.71,1.77,0.78,3.0300000000000002,2.1700000000000004
 PATINHO,8.98,4.720000000000001,0.18999999999999995,4.21,7.08,4.65,3.46,4.37,1.2299999999999998,11.74,1.2999999999999998,5.87,10.46,1.86,4.12,3.08,5.2299999999999995
 LAGARTO REDONDO,0.0,0.0,0.0,0.0,-1.62,2.02,1.26,-2.15,7.989999999999999,0.0,-2.36,0.0,1.87,0.0,0.0,0.0,2.23
 LAGARTO COMUM,-0.5,2.41,-2.65,-4.07,6.199999999999999,6.390000000000001,-0.89,0.38,3.9199999999999995,-3.25,1.5300000000000002,1.65,5.15,0.019999999999999907,0.0,2.63,4.48
 MÚSCULO,9.27,-1.65,3.71,11.51,3.39,0.33,2.49,0.0,6.52,-0.6800000000000006,1.92,0.6600000000000001,7.909999999999999,2.64,3.0700000000000003,-1.7700000000000005,4.12
 PÁ,-1.68,2.6500000000000004,-4.91,3.6399999999999997,5.11,4.37,0.6299999999999998,-0.15,6.26,10.43,0.72,-1.45,4.44,0.43,3.29,2.73,3.6199999999999997
 ACÉM,13.059999999999999,0.5799999999999996,3.8099999999999996,3.5600000000000005,8.1,0.8500000000000001,1.08,4.129999999999999,6.250000000000001,6.25,0.7700000000000005,4.27,4.63,2.02,2.5,5.57,6.34
 PEITO,0.0,0.0,0.0,0.0,0.0,0.0,3.1500000000000004,6.44,2.2,0.0,1.31,0.0,0.2599999999999998,-3.0,1.8800000000000003,-0.9400000000000001,-0.3799999999999999
 CAPA DE FILÉ,1.18,2.17,-0.47,1.81,0.3,0.77,2.62,0.01,3.09,-5.81,-0.06,-2.64,13.169999999999998,2.02,0.0,0.0,12.13
 COSTELA,2.8899999999999997,5.1,3.65,4.33,5.38,2.7600000000000002,-0.3400000000000001,3.01,3.5900000000000007,11.729999999999999,3.59,0.43999999999999995,7.67,0.25,2.3899999999999997,3.7299999999999995,3.5399999999999996
 PESCADOS,-1.8199999999999994,-7.49,-0.029999999999999805,2.27,3.29,4.62,-6.56,-0.05999999999999983,-7.51,1.8199999999999998,1.08,-4.37,-4.79,7.199999999999999,-2.4299999999999997,1.27,-7.38
 PEIXE-ANCHOVA,6.86,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,5.85
 PEIXE-BADEJO,1.29,0.0,0.0,-5.68,0.0,0.0,0.0,0.0,0.92,0.0,0.0,-1.97,0.0,0.0,0.0,0.0,-2.46
 PEIXE-CORVINA,-9.25,0.0,0.0,3.1800000000000006,0.0,0.0,0.0,0.0,-3.9699999999999998,0.0,0.0,0.0,0.0,0.0,0.0,4.99,-7.510000000000001
 PEIXE-CAVALINHA,0.0,1.41,3.14,5.2,0.0,4.7,0.0,0.0,0.0,0.28,0.61,0.0,0.0,0.0,0.0,0.0,7.16
 PEIXE,0.0,-7.49,-0.029999999999999805,0.56,-5.18,4.62,0.0,0.0,1.8,1.8199999999999998,1.08,0.0,1.92,0.0,0.0,0.0,-3.54
 PEIXE-PESCADINHA,-9.09,0.0,0.0,0.87,0.0,0.0,6.35,0.0,-1.33,0.0,0.0,-4.14,5.42,0.0,-5.9399999999999995,0.0,-8.6
 PEIXE-TAINHA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5.15,0.0,0.0,0.0,0.0,0.0,0.0,-4.12,-9.27
 PEIXE-SARDINHA,0.0,0.0,0.0,1.57,3.8299999999999996,0.0,0.0,-3.52,-16.52,0.0,0.0,0.0,-1.3699999999999999,0.0,0.0,0.7199999999999998,-6.700000000000001
 CAMARÃO,4.609999999999999,0.0,0.0,-4.5200000000000005,0.0,0.0,2.2800000000000002,0.0,-19.27,0.0,0.0,-8.06,9.79,0.0,-11.68,1.48,10.47
 PEIXE-VERMELHO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.68,0.0,0.0,-1.43,0.0,0.0,0.0,0.0,-5.11
 PEIXE-CAVALA,0.18,0.0,0.0,0.0,0.16,0.0,0.0,-1.26,1.46,0.0,0.0,-2.49,0.0,0.0,0.0,0.0,0.31000000000000005
 PEIXE-PACU,-3.39,0.0,0.0,-0.14,-0.45,0.0,0.0,0.0,-8.24,0.0,0.0,0.0,-8.8,0.0,0.0,0.0,-9.96
 PEIXE-DOURADO,0.0,0.0,0.0,0.0,0.0,0.0,-9.43,0.11,0.0,0.0,0.0,-3.46,0.0,0.0,0.0,0.0,-9.280000000000001
 PEIXE-CAÇÃO,3.7199999999999998,0.0,0.0,2.4,1.29,0.0,0.62,0.0,-2.67,0.0,0.0,1.1699999999999995,0.0,0.0,0.0,0.0,2.3600000000000003
 PEIXE-MERLUZA,11.649999999999999,0.0,0.0,3.96,3.29,0.0,-2.07,0.0,3.29,0.0,0.0,0.0,-2.8099999999999996,0.0,0.0,0.0,4.529999999999999
 PEIXE-SERRA,0.0,0.0,0.0,9.12,0.0,0.0,-1.01,-4.08,0.0,0.0,0.0,0.0,0.0,0.0,-3.22,0.0,6.68
 PEIXE-PESCADA,6.3100000000000005,0.0,0.0,0.47,7.87,0.0,-6.49,-0.26,-0.06000000000000005,0.0,0.0,-4.359999999999999,5.42,0.0,-3.55,1.27,2.02
 CARANGUEJO,0.0,0.0,0.0,0.0,0.0,0.0,3.35,0.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.5300000000000002
 PEIXE-CASTANHA,0.0,0.0,0.0,-3.56,0.0,0.0,-0.27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.83
 PEIXE-PIAU,0.0,0.0,0.0,0.0,0.0,0.0,-2.17,0.0,0.0,0.0,0.0,0.0,0.0,10.84,0.0,0.0,8.67
 PEIXE-SURUBIM,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.82,0.0,7.199999999999999,0.0,0.0,4.379999999999999
 SURURU,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.99,0.0,0.0,1.27,3.26
 PEIXE-CURIMATÃ,-0.77,-0.78,-0.71,0.72,-1.15,-0.84,-0.44,-1.52,0.55,-1.43,-2.69,-0.57,-1.03,7.199999999999999,11.57,0.0,9.97
 PEIXE-SALMÃO,-4.03,3.78,2.27,0.0,4.48,-2.3,1.43,0.9500000000000002,3.97,0.19,-2.87,-4.71,-3.92,0.0,0.0,0.0,3.7099999999999995
 PEIXE-TILÁPIA,2.71,-1.41,-6.0,2.55,-1.87,-1.25,-2.98,0.6699999999999997,0.0,-1.28,-0.78,1.72,1.22,0.0,0.0,1.27,-0.55
 PEIXE-TUCUNARÉ,-1.67,-4.46,-0.65,-2.02,0.42,0.44,-5.39,-1.62,0.48,-1.74,-2.99,-0.72,-1.44,0.0,0.0,0.0,-7.199999999999999
 PEIXE-TAMBAQUI,-0.81,0.7,-0.46,2.36,-4.88,0.0,0.19,-0.84,0.0,-2.46,0.0,1.34,-4.25,5.210000000000001,2.37,0.0,0.7300000000000002
 PEIXE-DOURADA,0.0,2.29,0.0,0.0,0.0,0.0,-14.66,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-12.370000000000001
 PEIXE-PEROÁ,1.6,0.0,0.0,0.79,0.0,0.0,-1.02,-2.99,0.82,0.0,0.0,3.7399999999999998,0.0,0.0,0.0,0.0,1.5699999999999996
 PEIXE-PINTADO,0.0,0.0,-2.47,0.0,0.0,0.0,0.0,0.0,-3.7,0.0,0.0,0.0,-5.33,0.0,0.0,0.0,-8.47
 PEIXE-MANDI,0.0,0.0,0.0,0.0,0.0,-2.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.199999999999999,0.0,0.0,5.159999999999999
 CARNES E PEIXES INDUSTRIALIZADOS,-1.9900000000000002,-0.6099999999999999,1.1899999999999995,2.48,-2.9699999999999998,-2.55,-2.44,-0.99,-2.1300000000000003,0.2699999999999996,-4.199999999999999,2.36,-0.59,2.2600000000000002,1.46,1.4200000000000002,-1.08
 PRESUNTO,1.5900000000000003,-4.05,0.9800000000000002,3.48,-6.720000000000001,0.23999999999999977,-4.18,2.8099999999999996,-3.46,-1.87,-3.7799999999999994,8.36,1.7799999999999998,0.3800000000000001,0.0,3.64,-1.4600000000000002
 SALSICHA,-6.11,-0.18000000000000005,2.35,7.72,-1.29,0.95,1.43,-0.03,-3.72,1.6100000000000003,1.79,1.2800000000000002,-8.07,3.82,2.54,7.79,-0.34999999999999987
 LINGUIÇA,-1.9300000000000002,3.04,2.09,1.5499999999999998,-0.2500000000000002,-6.609999999999999,0.049999999999999996,-1.94,0.56,-0.54,-5.1499999999999995,-0.06000000000000005,2.3000000000000003,2.09,2.04,-3.35,-0.3399999999999999
 MORTADELA,-0.16999999999999993,3.08,10.05,-5.12,6.4799999999999995,2.28,2.17,2.9,0.81,10.18,0.95,7.96,2.75,4.1,0.0,4.18,4.48
 SALAME,2.68,-1.97,9.82,0.39,6.89,3.36,-0.17,-0.81,0.65,5.76,3.09,8.59,5.47,0.0,0.0,0.0,0.9800000000000004
 CARNE-SECA E DE SOL,-1.61,0.63,0.0,-0.18999999999999995,0.0,0.0,-5.21,0.009999999999999953,3.4400000000000004,0.0,0.0,-0.6800000000000002,-0.33,0.81,0.16000000000000003,1.5,0.21000000000000002
 CARNE DE PORCO SALGADA E DEFUMADA,-1.13,-1.94,1.58,-2.0,-1.29,0.0,-1.77,1.55,-1.81,4.69,-0.68,-1.54,-0.08,0.0,0.0,0.0,-0.4800000000000001
 HAMBÚRGUER,0.56,4.68,1.12,-2.37,-0.52,6.5600000000000005,-2.7,0.16,3.9,3.05,-3.96,0.97,-1.92,0.0,0.0,0.0,5.82
 AVES E OVOS,3.3200000000000003,4.88,1.6600000000000001,3.7699999999999996,5.8,1.8800000000000001,0.7100000000000001,-0.2699999999999998,14.459999999999999,7.1899999999999995,8.53,4.96,1.41,2.26,5.26,4.3,3.0200000000000005
 FRANGO INTEIRO,4.41,7.83,7.33,4.44,12.43,8.99,-1.5599999999999998,0.8500000000000001,17.73,19.29,10.52,13.44,4.11,2.64,7.54,6.51,7.989999999999999
 FRANGO EM PEDAÇOS,2.0899999999999994,3.4899999999999998,-1.5499999999999998,5.27,4.34,-2.66,-5.84,1.3500000000000003,13.58,5.220000000000001,2.29,-0.23999999999999977,0.66,1.1900000000000002,-0.63,2.2800000000000002,3.2500000000000004
 OVO DE GALINHA,5.489999999999999,6.82,2.7300000000000004,2.48,1.7200000000000004,-1.7900000000000003,1.4300000000000002,0.8,5.06,-1.17,3.0,-0.35999999999999976,1.4500000000000002,2.09,1.8399999999999999,3.7800000000000002,2.4299999999999997
 LEITE E DERIVADOS,6.66,6.73,15.059999999999999,1.8900000000000001,10.33,9.5,3.9500000000000006,2.8400000000000003,1.2199999999999998,16.03,11.290000000000001,13.690000000000001,8.75,4.75,7.88,5.0200000000000005,8.82
 LEITE LONGA VIDA,11.79,14.32,25.82,14.82,20.570000000000004,19.42,8.559999999999999,6.510000000000001,3.3699999999999997,27.720000000000002,14.030000000000001,22.77,15.309999999999999,8.22,12.389999999999999,11.04,18.27
 LEITE CONDENSADO,0.68,-1.71,1.42,0.0,-1.45,-2.47,9.45,-1.0899999999999999,-3.48,-0.66,0.0,-1.59,-0.20999999999999996,3.15,0.0,0.0,1.2000000000000002
 LEITE EM PÓ,0.17000000000000037,0.8599999999999999,0.17,3.28,-3.8099999999999996,0.04,6.27,-0.51,2.8200000000000003,-2.3,0.09000000000000008,4.51,-0.36999999999999966,3.1500000000000004,6.960000000000001,2.35,1.2899999999999998
 QUEIJO,3.7800000000000002,-2.35,1.32,-2.06,3.33,-0.019999999999999907,0.7599999999999999,-2.27,-2.3899999999999997,-0.5499999999999998,7.969999999999999,3.79,3.1599999999999997,-2.44,1.71,3.8000000000000007,1.3699999999999999
 CREME DE LEITE,0.0,0.0,0.6,0.0,0.0,3.1,0.0,3.7800000000000002,0.0,0.0,0.75,0.0,0.0,0.0,0.0,0.0,4.83
