Variacoes - JULHO - SETEMBRO,RJ,POA,BH,REC,SP,DF,BEL,FOR,SAL,CUR,GOI,VIT,CG,RB,SL,AJU,NACIONAL
 ÍNDICE GERAL,0.59,0.52,0.44,-0.010000000000000009,1.3599999999999999,0.92,-0.06,-0.09,0.31999999999999995,0.6499999999999999,0.74,1.03,-0.08999999999999997,1.19,-0.07000000000000006,0.05,0.72
 ALIMENTAÇÃO E BEBIDAS,-1.3,-0.33999999999999997,-0.6799999999999999,-0.8099999999999999,1.25,-0.68,-1.94,-0.4600000000000001,-1.63,-1.1,-0.050000000000000044,-0.8999999999999999,-1.12,0.30000000000000004,-2.96,-1.3199999999999998,-0.36
 ALIMENTAÇÃO NO DOMICÍLIO,-3.1399999999999997,-0.050000000000000044,-1.8,-1.4100000000000001,0.56,-1.9,-2.7699999999999996,-1.39,-2.75,-2.85,-0.75,-1.6,-1.67,0.19,-2.88,-2.73,-1.31
" CEREAIS, LEGUMINOSAS E OLEAGINOSAS",0.73,2.87,2.6,3.5,6.51,3.67,3.76,2.31,3.06,4.54,5.6899999999999995,6.029999999999999,-0.19000000000000017,2.48,4.82,3.81,3.8800000000000003
 ARROZ,1.02,4.859999999999999,5.34,8.22,9.629999999999999,7.41,6.050000000000001,5.87,8.81,6.82,9.08,7.3100000000000005,3.3299999999999996,3.9800000000000004,6.05,8.280000000000001,6.6899999999999995
 FEIJÃO-MULATINHO,0.0,0.0,0.0,-1.6199999999999999,0.0,0.0,0.0,0.18999999999999995,2.0999999999999996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.20999999999999996
 FEIJÃO-PRETO,0.4399999999999995,-3.17,0.0,0.0,0.0,0.0,-0.77,0.0,0.0,2.220446049250313e-16,0.0,5.37,-2.86,0.0,7.199999999999999,0.0,-0.13000000000000012
 FEIJÃO-MACASSAR (FRADINHO),0.0,0.0,0.0,7.33,0.0,0.0,0.0,-6.329999999999999,-5.8,0.0,0.0,0.0,0.0,0.0,-1.15,-9.91,-3.05
 FEIJÃO-CARIOCA (RAJADO),0.0,0.0,-5.72,-7.1899999999999995,-2.24,-4.11,-1.14,-1.1800000000000002,-2.9199999999999995,-2.2,-4.35,-1.3299999999999998,-13.21,-1.54,-0.15000000000000002,0.46,-3.39
 FEIJÃO-BRANCO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.090000000000001,0.0,-4.1000000000000005
" FARINHAS, FÉCULAS E MASSAS",4.82,2.63,4.51,-1.7999999999999998,11.780000000000001,2.5700000000000003,-3.62,1.31,-11.36,6.95,5.790000000000001,2.28,5.640000000000001,-1.11,-5.91,-3.2600000000000002,1.53
 FARINHA DE ARROZ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.13,-0.07,0.0,0.0,0.0,0.0,0.0,3.66,-5.08,0.7500000000000001
 MACARRÃO,4.0600000000000005,-2.61,6.82,3.2399999999999993,10.400000000000002,4.62,4.220000000000001,3.69,5.35,5.5,8.04,4.4,6.08,6.03,-0.36000000000000004,-0.8199999999999998,5.61
 FUBÁ DE MILHO,0.0,0.0,-0.5700000000000001,1.1399999999999997,0.0,0.0,0.0,0.0,7.17,0.0,-3.61,0.0,0.0,0.0,1.3800000000000003,1.7500000000000002,1.5000000000000004
 AMIDO DE MILHO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.71,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.71
 FLOCOS DE MILHO,0.0,0.0,0.0,5.15,0.0,7.699999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.95,4.97
 FARINHA DE TRIGO,10.05,10.489999999999998,10.9,0.0,16.13,0.0,9.98,0.0,0.0,9.36,4.92,15.77,9.57,0.0,0.0,0.0,11.74
 FARINHA VITAMINADA,0.0,0.0,0.0,5.73,0.0,0.0,0.0,2.74,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.5900000000000003,3.69
 FARINHA DE MANDIOCA,4.1,0.0,0.0,-15.65,0.0,-7.799999999999999,-6.63,-3.0599999999999996,-20.67,0.0,0.0,-7.84,0.0,-4.2700000000000005,-9.43,-7.970000000000001,-11.23
 MASSA SEMIPREPARADA,4.63,2.48,-1.2999999999999998,0.0,11.99,4.92,0.0,0.0,0.0,6.61,5.91,0.7200000000000002,0.030000000000000027,0.0,0.0,0.7499999999999999,5.95
" TUBÉRCULOS, RAÍZES E LEGUMES",-48.589999999999996,-45.47,-39.39,-44.0,-28.82,-35.82,-48.9,-50.42999999999999,-48.29,-54.4,-43.25,-36.7,-42.36,-45.980000000000004,-43.120000000000005,-40.31,-41.58
 BATATA-INGLESA,-55.76,-37.519999999999996,-55.03,-51.519999999999996,-40.75,-42.1,-43.400000000000006,-46.81,-52.129999999999995,-55.2,-58.47,-52.03,-51.04,-39.13,-34.96,-46.269999999999996,-48.14
 INHAME,0.0,0.0,0.0,-10.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-11.25,-10.520000000000001
 MANDIOCA (AIPIM),0.0,-13.66,0.0,-10.719999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-13.73,-7.11,0.0,0.0,-4.35,-10.809999999999999
 ABÓBORA,-24.13,0.0,-15.43,0.0,0.0,-5.07,0.0,0.0,0.0,0.0,-13.969999999999999,0.0,0.0,0.0,0.0,0.0,-18.01
 PIMENTÃO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-24.45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-24.46
 QUIABO,0.0,0.0,-18.71,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-18.71
 TOMATE,-30.169999999999998,-33.769999999999996,-22.119999999999997,-44.57,-25.16,-34.83,-38.71,-48.620000000000005,-39.6,-33.660000000000004,-34.22,-17.5,-33.26,-29.79,-36.85,-47.65,-32.54
