Variacoes - OUTUBRO - DEZEMBRO,RJ,POA,BH,REC,SP,DF,BEL,FOR,SAL,CUR,GOI,VIT,CG,RB,SL,AJU,NACIONAL
 ÍNDICE GERAL,0.59,0.56,0.32999999999999996,0.27999999999999997,0.13999999999999996,0.3,1.02,0.63,0.7100000000000001,0.1499999999999999,0.64,0.38999999999999996,0.45999999999999996,1.03,0.51,0.8800000000000001,0.39
 ALIMENTAÇÃO E BEBIDAS,1.13,2.37,1.3900000000000001,1.6300000000000001,0.43,1.22,2.18,1.5599999999999998,3.77,1.04,2.33,1.77,2.09,2.29,1.83,1.15,1.42
 ALIMENTAÇÃO NO DOMICÍLIO,1.55,2.44,1.7999999999999998,2.34,0.07000000000000006,2.02,2.92,2.2,4.6,1.5999999999999999,3.37,1.78,2.74,1.8900000000000001,2.04,1.69,1.75
" CEREAIS, LEGUMINOSAS E OLEAGINOSAS",3.9800000000000004,0.8800000000000003,1.52,2.6900000000000004,-0.6199999999999999,5.930000000000001,10.41,-0.37,1.42,4.47,3.08,1.12,6.0,4.73,-0.10999999999999999,0.31000000000000005,2.18
 ARROZ,5.26,0.8400000000000001,-1.71,0.39,-4.4799999999999995,1.3800000000000001,8.95,-0.09999999999999987,2.99,3.3,-1.26,-0.7400000000000001,3.24,3.1500000000000004,0.32999999999999996,-2.05,0.2500000000000001
 FEIJÃO-MULATINHO,0.0,0.0,0.0,5.2700000000000005,0.0,0.0,0.0,2.27,3.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.13
 FEIJÃO-PRETO,1.9299999999999997,1.2500000000000009,0.0,0.0,0.0,0.0,10.66,0.0,0.0,6.869999999999999,0.0,2.3,3.4299999999999997,0.0,4.5,0.0,3.17
 FEIJÃO-MACASSAR (FRADINHO),0.0,0.0,0.0,-3.5100000000000002,0.0,0.0,0.0,-3.8299999999999996,3.48,0.0,0.0,0.0,0.0,0.0,0.9299999999999998,0.22999999999999998,-1.74
 FEIJÃO-CARIOCA (RAJADO),0.0,0.0,12.55,14.26,11.620000000000001,16.65,16.23,14.42,-2.59,8.16,17.28,11.620000000000001,19.179999999999996,9.670000000000002,-2.0,4.050000000000001,10.88
 FEIJÃO-BRANCO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-13.55,0.0,-13.55
" FARINHAS, FÉCULAS E MASSAS",2.04,-1.4500000000000002,3.65,-0.05999999999999983,-0.25,0.3699999999999999,1.6600000000000001,0.85,-0.9199999999999999,-0.77,-1.3199999999999998,-0.1399999999999999,-0.18000000000000016,-0.6100000000000001,-4.98,-4.39,0.06000000000000005
 FARINHA DE ARROZ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.41000000000000014,3.6100000000000003,0.0,0.0,0.0,0.0,0.0,2.7899999999999996,4.19,2.4000000000000004
 MACARRÃO,3.9,-0.71,2.39,1.38,1.3800000000000001,2.01,7.300000000000001,4.68,6.49,2.0500000000000003,-2.56,0.77,-1.5299999999999998,2.38,3.26,-0.16000000000000014,2.5100000000000002
 FUBÁ DE MILHO,0.0,0.0,0.98,-0.5700000000000001,0.0,0.0,0.0,0.0,-2.4300000000000006,0.0,3.609999999999999,0.0,0.0,0.0,2.92,-0.97,-0.10999999999999988
 AMIDO DE MILHO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.9099999999999997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.9099999999999997
 FLOCOS DE MILHO,0.0,0.0,0.0,4.08,0.0,1.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5099999999999998,3.1499999999999995
 FARINHA DE TRIGO,1.17,-2.88,3.9699999999999998,0.0,-0.8500000000000001,0.0,2.7,0.0,0.0,-2.6899999999999995,-0.3500000000000001,4.7700000000000005,2.19,0.0,0.0,0.0,-0.5999999999999999
 FARINHA VITAMINADA,0.0,0.0,0.0,2.9799999999999995,0.0,0.0,0.0,3.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.29000000000000004,2.63
 FARINHA DE MANDIOCA,-4.79,0.0,0.0,-4.29,0.0,0.36,-0.18000000000000005,-5.8999999999999995,-4.550000000000001,0.0,0.0,-4.25,0.0,-2.06,-9.5,-12.13,-3.8000000000000007
 MASSA SEMIPREPARADA,1.6999999999999997,-1.0,8.21,0.0,-3.1500000000000004,-2.3,0.0,0.0,0.0,-4.99,-1.2100000000000002,-1.3399999999999999,-0.14000000000000012,0.0,0.0,-0.42000000000000004,-0.6399999999999999
" TUBÉRCULOS, RAÍZES E LEGUMES",59.81999999999999,53.42,56.06,39.51,32.86,50.53,41.75,59.0,71.78,57.41,64.58000000000001,49.26,55.8,38.56,35.39,28.869999999999997,48.26
 BATATA-INGLESA,58.02,43.67,57.86,35.4,37.47,51.449999999999996,17.97,52.89,85.57,55.879999999999995,68.53,45.239999999999995,49.57,15.41,35.660000000000004,42.26,48.410000000000004
 INHAME,0.0,0.0,0.0,10.55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6900000000000013,8.989999999999998
 MANDIOCA (AIPIM),0.0,11.65,0.0,19.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.97,3.8600000000000003,0.0,0.0,-1.9600000000000002,12.0
 ABÓBORA,14.88,0.0,0.10999999999999943,0.0,0.0,-1.9500000000000006,0.0,0.0,0.0,0.0,3.9399999999999995,0.0,0.0,0.0,0.0,0.0,5.829999999999999
 PIMENTÃO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.71,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.71
 QUIABO,0.0,0.0,5.31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.31
 TOMATE,98.00999999999999,82.98,102.9,44.21,57.25,92.88,56.39,81.17999999999999,79.91,79.12,100.03,101.33,85.5,53.379999999999995,40.71,39.4,72.74000000000001
 CEBOLA,67.39,37.6,56.38,91.58,13.469999999999999,46.79,39.949999999999996,106.03,114.42,69.03,66.05,30.72,46.769999999999996,31.57,31.289999999999996,52.53,47.43000000000001
 CENOURA,8.41,0.0,9.12,0.0,1.1300000000000008,-3.46,0.0,8.69,12.24,2.2,6.039999999999999,2.8900000000000006,0.0,0.0,0.0,2.14,4.8
 MANDIOQUINHA (BATATA-BAROA),0.0,0.0,0.0,0.0,-2.2700000000000005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.2700000000000005
