Variacoes - JANEIRO - FEVEREIRO,RJ,POA,BH,REC,SP,DF,BEL,FOR,SAL,CUR,GOI,VIT,CG,RB,SL,AJU,NACIONAL
 AÇÚCAR REFINADO,-0.18999999999999995,7.7,0.0,11.89,1.89,4.29,2.7699999999999996,2.25,4.5,1.7299999999999998,0.0,0.0,0.0,1.34,2.9400000000000004,0.0,2.16
 AÇÚCAR CRISTAL,0.0,-5.720000000000001,1.57,12.43,0.0,-2.41,-3.57,-0.16000000000000003,-1.28,0.58,1.3399999999999999,-0.6400000000000001,-2.29,-0.72,-0.7,-0.12,0.64
 BALAS,0.0,2.19,0.0,0.0,0.0,2.17,0.0,0.0,0.0,-3.23,-0.3999999999999999,0.0,-4.82,0.0,0.0,0.0,-0.3999999999999999
 CHOCOLATE EM BARRA E BOMBOM,-2.8199999999999994,0.08000000000000007,0.14000000000000012,1.8200000000000003,1.52,3.5999999999999996,1.89,5.5200000000000005,2.69,-2.77,0.92,0.26000000000000006,0.9800000000000001,-1.4300000000000002,-0.6,0.74,0.56
 SORVETE,0.5,-0.6299999999999999,-4.12,0.8,-4.1899999999999995,2.6599999999999997,2.7,3.29,3.73,2.6,2.1,0.1599999999999997,-7.699999999999999,0.0,0.0,2.24,-1.62
 CHOCOLATE E ACHOCOLATADO EM PÓ,1.26,1.4,1.47,0.73,-0.25,4.800000000000001,-1.63,5.1,4.0,-1.51,0.06999999999999998,5.49,3.23,3.76,0.4600000000000001,-0.9400000000000001,0.75
 DOCE DE FRUTAS EM PASTA,0.0,0.0,0.0,-6.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-6.15
 AÇÚCAR DEMERARA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5,2.5
 HORTALIÇAS E VERDURAS,4.99,-2.13,3.86,9.42,4.01,2.12,9.84,5.44,13.74,1.6600000000000001,3.87,2.63,12.32,0.5400000000000001,7.859999999999999,13.26,4.16
 ALFACE,3.46,-8.620000000000001,4.25,4.0600000000000005,3.6500000000000004,2.7800000000000002,8.07,-0.09000000000000008,9.829999999999998,-0.52,2.25,3.51,11.39,-0.59,9.17,9.370000000000001,2.19
 COENTRO,0.0,0.0,0.0,16.529999999999998,0.0,0.0,0.0,0.0,19.85,0.0,0.0,0.0,0.0,0.0,0.0,19.73,18.810000000000002
 COUVE,2.33,0.0,6.62,0.0,1.5299999999999998,0.0,0.0,0.0,0.0,0.0,0.0,-1.06,0.0,0.76,0.0,2.75,2.68
 COUVE-FLOR,13.43,0.0,0.0,0.0,0.0,6.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.21
 REPOLHO,0.0,9.43,0.0,0.0,16.21,0.0,0.0,0.0,25.51,16.29,13.310000000000002,0.0,27.909999999999997,0.0,15.89,0.0,15.02
 CHEIRO-VERDE,-1.11,6.12,1.02,2.9000000000000004,2.93,2.2299999999999995,11.530000000000001,7.0600000000000005,4.03,-1.39,5.4399999999999995,1.7,9.51,1.2,2.68,0.0,4.05
