MÊS,PRODUTO,REGIÃO,PREÇO MÉDIO REVENDA
02-01-2016,ETANOL HIDRATADO,CENTRO OESTE,2.9523939393939393
02-01-2016,ETANOL HIDRATADO,NORDESTE,3.1032702702702704
02-01-2016,ETANOL HIDRATADO,NORTE,3.4472424242424244
02-01-2016,ETANOL HIDRATADO,SUDESTE,2.911191964285714
02-01-2016,ETANOL HIDRATADO,SUL,3.2538695652173915
02-01-2016,GASOLINA COMUM,CENTRO OESTE,3.828030303030303
02-01-2016,GASOLINA COMUM,NORDESTE,3.8023124999999998
02-01-2016,GASOLINA COMUM,NORTE,4.010949999999999
02-01-2016,GASOLINA COMUM,SUDESTE,3.722008928571429
02-01-2016,GASOLINA COMUM,SUL,3.7875
02-01-2016,GLP,CENTRO OESTE,61.35590909090909
02-01-2016,GLP,NORDESTE,52.22082727272728
02-01-2016,GLP,NORTE,61.819589743589745
02-01-2016,GLP,SUDESTE,53.02134375000001
02-01-2016,GLP,SUL,55.3008695652174
02-01-2016,GNV,CENTRO OESTE,2.4818333333333333
02-01-2016,GNV,NORDESTE,2.4032285714285715
02-01-2016,GNV,NORTE,2.85
02-01-2016,GNV,SUDESTE,2.2066835443037975
02-01-2016,GNV,SUL,2.4392666666666667
02-01-2016,OLEO DIESEL,CENTRO OESTE,3.1648181818181818
02-01-2016,OLEO DIESEL,NORDESTE,3.0454700000000003
02-01-2016,OLEO DIESEL,NORTE,3.2911891891891893
02-01-2016,OLEO DIESEL,SUDESTE,2.9811785714285715
02-01-2016,OLEO DIESEL,SUL,2.9294130434782613
02-01-2016,OLEO DIESEL S10,CENTRO OESTE,3.322848484848485
02-01-2016,OLEO DIESEL S10,NORDESTE,3.1676607142857143
02-01-2016,OLEO DIESEL S10,NORTE,3.4204
02-01-2016,OLEO DIESEL S10,SUDESTE,3.1054285714285714
02-01-2016,OLEO DIESEL S10,SUL,3.0708241758241757
02-01-2017,ETANOL HIDRATADO,CENTRO OESTE,3.017757575757576
02-01-2017,ETANOL HIDRATADO,NORDESTE,3.1919279279279276
02-01-2017,ETANOL HIDRATADO,NORTE,3.7195757575757575
02-01-2017,ETANOL HIDRATADO,SUDESTE,3.00259375
02-01-2017,ETANOL HIDRATADO,SUL,3.4725384615384614
02-01-2017,GASOLINA COMUM,CENTRO OESTE,3.868727272727273
02-01-2017,GASOLINA COMUM,NORDESTE,3.7812410714285716
02-01-2017,GASOLINA COMUM,NORTE,4.1103499999999995
02-01-2017,GASOLINA COMUM,SUDESTE,3.81059375
02-01-2017,GASOLINA COMUM,SUL,3.8442065217391304
02-01-2017,GLP,CENTRO OESTE,62.62442424242423
02-01-2017,GLP,NORDESTE,53.51947272727273
02-01-2017,GLP,NORTE,64.40661538461539
02-01-2017,GLP,SUDESTE,54.42527354260089
02-01-2017,GLP,SUL,57.33840217391304
02-01-2017,GNV,CENTRO OESTE,2.4503333333333335
02-01-2017,GNV,NORDESTE,2.4137567567567566
02-01-2017,GNV,NORTE,2.85
02-01-2017,GNV,SUDESTE,2.289890410958904
02-01-2017,GNV,SUL,2.430925925925926
02-01-2017,OLEO DIESEL,CENTRO OESTE,3.286
02-01-2017,OLEO DIESEL,NORDESTE,3.1034747474747477
02-01-2017,OLEO DIESEL,NORTE,3.4184722222222224
02-01-2017,OLEO DIESEL,SUDESTE,3.0891919642857144
02-01-2017,OLEO DIESEL,SUL,3.013108695652174
02-01-2017,OLEO DIESEL S10,CENTRO OESTE,3.4385757575757574
02-01-2017,OLEO DIESEL S10,NORDESTE,3.1987142857142854
02-01-2017,OLEO DIESEL S10,NORTE,3.5229
02-01-2017,OLEO DIESEL S10,SUDESTE,3.2144196428571425
02-01-2017,OLEO DIESEL S10,SUL,3.144478260869565
02-01-2018,ETANOL HIDRATADO,CENTRO OESTE,3.0805625
02-01-2018,ETANOL HIDRATADO,NORDESTE,3.326473684210526
02-01-2018,ETANOL HIDRATADO,NORTE,3.6929655172413796
02-01-2018,ETANOL HIDRATADO,SUDESTE,3.1567692307692305
02-01-2018,ETANOL HIDRATADO,SUL,3.5986627906976745
02-01-2018,GASOLINA COMUM,CENTRO OESTE,4.3414375
02-01-2018,GASOLINA COMUM,NORDESTE,4.197291666666667
02-01-2018,GASOLINA COMUM,NORTE,4.433513513513513
02-01-2018,GASOLINA COMUM,SUDESTE,4.291245192307692
02-01-2018,GASOLINA COMUM,SUL,4.242837209302325
02-01-2018,GLP,CENTRO OESTE,77.44784375
02-01-2018,GLP,NORDESTE,65.03310416666666
02-01-2018,GLP,NORTE,79.1627027027027
02-01-2018,GLP,SUDESTE,65.3843574879227
02-01-2018,GLP,SUL,68.5269534883721
02-01-2018,GNV,CENTRO OESTE,2.5816666666666666
02-01-2018,GNV,NORDESTE,2.7469259259259258
02-01-2018,GNV,NORTE,2.95
02-01-2018,GNV,SUDESTE,2.5211973684210527
02-01-2018,GNV,SUL,2.5432083333333333
02-01-2018,OLEO DIESEL,CENTRO OESTE,3.60121875
02-01-2018,OLEO DIESEL,NORDESTE,3.401702380952381
02-01-2018,OLEO DIESEL,NORTE,3.613235294117647
02-01-2018,OLEO DIESEL,SUDESTE,3.400347826086956
02-01-2018,OLEO DIESEL,SUL,3.2655697674418604
02-01-2018,OLEO DIESEL S10,CENTRO OESTE,3.71615625
02-01-2018,OLEO DIESEL S10,NORDESTE,3.4816354166666668
02-01-2018,OLEO DIESEL S10,NORTE,3.725216216216216
02-01-2018,OLEO DIESEL S10,SUDESTE,3.5151730769230767
02-01-2018,OLEO DIESEL S10,SUL,3.3727093023255814
03-01-2016,ETANOL HIDRATADO,CENTRO OESTE,3.0055151515151515
03-01-2016,ETANOL HIDRATADO,NORDESTE,3.204468468468469
03-01-2016,ETANOL HIDRATADO,NORTE,3.5152121212121212
03-01-2016,ETANOL HIDRATADO,SUDESTE,2.9633705357142857
03-01-2016,ETANOL HIDRATADO,SUL,3.3249782608695653
03-01-2016,GASOLINA COMUM,CENTRO OESTE,3.8471515151515154
03-01-2016,GASOLINA COMUM,NORDESTE,3.8281517857142857
