,MÊS,PRODUTO,PREÇO MÉDIO REVENDA
493,01-01-2016,GASOLINA COMUM,4.026
494,01-01-2016,GASOLINA COMUM,3.672
495,01-01-2016,GASOLINA COMUM,3.793
496,01-01-2016,GASOLINA COMUM,3.575
497,01-01-2016,GASOLINA COMUM,3.779
498,01-01-2016,GASOLINA COMUM,3.698
499,01-01-2016,GASOLINA COMUM,4.118
500,01-01-2016,GASOLINA COMUM,4.219
501,01-01-2016,GASOLINA COMUM,3.902
502,01-01-2016,GASOLINA COMUM,4.115
503,01-01-2016,GASOLINA COMUM,4.097
504,01-01-2016,GASOLINA COMUM,3.971
505,01-01-2016,GASOLINA COMUM,3.519
506,01-01-2016,GASOLINA COMUM,3.612
507,01-01-2016,GASOLINA COMUM,3.784
508,01-01-2016,GASOLINA COMUM,3.78
509,01-01-2016,GASOLINA COMUM,4.257
510,01-01-2016,GASOLINA COMUM,3.59
511,01-01-2016,GASOLINA COMUM,3.773
512,01-01-2016,GASOLINA COMUM,3.727
513,01-01-2016,GASOLINA COMUM,3.777
514,01-01-2016,GASOLINA COMUM,3.74
515,01-01-2016,GASOLINA COMUM,3.884
516,01-01-2016,GASOLINA COMUM,3.77
517,01-01-2016,GASOLINA COMUM,3.798
518,01-01-2016,GASOLINA COMUM,3.731
519,01-01-2016,GASOLINA COMUM,3.561
520,01-01-2016,GASOLINA COMUM,3.528
521,01-01-2016,GASOLINA COMUM,3.489
522,01-01-2016,GASOLINA COMUM,4.098
523,01-01-2016,GASOLINA COMUM,3.875
524,01-01-2016,GASOLINA COMUM,3.577
525,01-01-2016,GASOLINA COMUM,3.913
526,01-01-2016,GASOLINA COMUM,3.794
527,01-01-2016,GASOLINA COMUM,3.867
528,01-01-2016,GASOLINA COMUM,3.636
529,01-01-2016,GASOLINA COMUM,3.792
530,01-01-2016,GASOLINA COMUM,3.559
531,01-01-2016,GASOLINA COMUM,3.689
532,01-01-2016,GASOLINA COMUM,3.689
533,01-01-2016,GASOLINA COMUM,4.186
534,01-01-2016,GASOLINA COMUM,3.519
535,01-01-2016,GASOLINA COMUM,3.925
536,01-01-2016,GASOLINA COMUM,3.867
537,01-01-2016,GASOLINA COMUM,3.725
538,01-01-2016,GASOLINA COMUM,3.723
539,01-01-2016,GASOLINA COMUM,3.967
540,01-01-2016,GASOLINA COMUM,3.952
541,01-01-2016,GASOLINA COMUM,3.88
542,01-01-2016,GASOLINA COMUM,3.607
543,01-01-2016,GASOLINA COMUM,3.544
544,01-01-2016,GASOLINA COMUM,3.5
545,01-01-2016,GASOLINA COMUM,3.654
546,01-01-2016,GASOLINA COMUM,3.643
547,01-01-2016,GASOLINA COMUM,3.866
548,01-01-2016,GASOLINA COMUM,3.783
549,01-01-2016,GASOLINA COMUM,3.8
550,01-01-2016,GASOLINA COMUM,3.571
551,01-01-2016,GASOLINA COMUM,3.8
552,01-01-2016,GASOLINA COMUM,3.681
553,01-01-2016,GASOLINA COMUM,3.658
554,01-01-2016,GASOLINA COMUM,3.376
555,01-01-2016,GASOLINA COMUM,3.776
556,01-01-2016,GASOLINA COMUM,3.548
557,01-01-2016,GASOLINA COMUM,3.861
558,01-01-2016,GASOLINA COMUM,3.897
559,01-01-2016,GASOLINA COMUM,3.637
560,01-01-2016,GASOLINA COMUM,3.911
561,01-01-2016,GASOLINA COMUM,3.459
562,01-01-2016,GASOLINA COMUM,3.919
563,01-01-2016,GASOLINA COMUM,3.864
564,01-01-2016,GASOLINA COMUM,3.584
565,01-01-2016,GASOLINA COMUM,3.549
566,01-01-2016,GASOLINA COMUM,3.711
567,01-01-2016,GASOLINA COMUM,4.089
568,01-01-2016,GASOLINA COMUM,3.773
569,01-01-2016,GASOLINA COMUM,3.438
570,01-01-2016,GASOLINA COMUM,4.198
571,01-01-2016,GASOLINA COMUM,3.805
572,01-01-2016,GASOLINA COMUM,3.839
573,01-01-2016,GASOLINA COMUM,3.913
574,01-01-2016,GASOLINA COMUM,3.822
575,01-01-2016,GASOLINA COMUM,3.928
576,01-01-2016,GASOLINA COMUM,3.939
577,01-01-2016,GASOLINA COMUM,3.738
578,01-01-2016,GASOLINA COMUM,3.853
579,01-01-2016,GASOLINA COMUM,3.724
580,01-01-2016,GASOLINA COMUM,3.706
581,01-01-2016,GASOLINA COMUM,3.601
582,01-01-2016,GASOLINA COMUM,4.1
583,01-01-2016,GASOLINA COMUM,3.753
584,01-01-2016,GASOLINA COMUM,3.582
585,01-01-2016,GASOLINA COMUM,3.836
586,01-01-2016,GASOLINA COMUM,3.433
587,01-01-2016,GASOLINA COMUM,3.646
588,01-01-2016,GASOLINA COMUM,3.704
589,01-01-2016,GASOLINA COMUM,3.685
590,01-01-2016,GASOLINA COMUM,3.612
591,01-01-2016,GASOLINA COMUM,3.879
592,01-01-2016,GASOLINA COMUM,3.774
593,01-01-2016,GASOLINA COMUM,3.962
594,01-01-2016,GASOLINA COMUM,3.789
595,01-01-2016,GASOLINA COMUM,3.434
596,01-01-2016,GASOLINA COMUM,3.65
597,01-01-2016,GASOLINA COMUM,3.504
598,01-01-2016,GASOLINA COMUM,3.729
599,01-01-2016,GASOLINA COMUM,3.612
600,01-01-2016,GASOLINA COMUM,3.717
601,01-01-2016,GASOLINA COMUM,3.809
602,01-01-2016,GASOLINA COMUM,3.786
603,01-01-2016,GASOLINA COMUM,3.823
604,01-01-2016,GASOLINA COMUM,3.908
605,01-01-2016,GASOLINA COMUM,3.83
606,01-01-2016,GASOLINA COMUM,3.693
607,01-01-2016,GASOLINA COMUM,3.857
608,01-01-2016,GASOLINA COMUM,3.668
609,01-01-2016,GASOLINA COMUM,3.963
610,01-01-2016,GASOLINA COMUM,3.626
611,01-01-2016,GASOLINA COMUM,3.755
612,01-01-2016,GASOLINA COMUM,3.833
613,01-01-2016,GASOLINA COMUM,3.783
614,01-01-2016,GASOLINA COMUM,3.554
615,01-01-2016,GASOLINA COMUM,4.279
616,01-01-2016,GASOLINA COMUM,3.71
617,01-01-2016,GASOLINA COMUM,3.702
618,01-01-2016,GASOLINA COMUM,3.717
619,01-01-2016,GASOLINA COMUM,3.739
620,01-01-2016,GASOLINA COMUM,3.605
621,01-01-2016,GASOLINA COMUM,3.764
622,01-01-2016,GASOLINA COMUM,3.66
623,01-01-2016,GASOLINA COMUM,3.839
624,01-01-2016,GASOLINA COMUM,3.44
625,01-01-2016,GASOLINA COMUM,3.514
626,01-01-2016,GASOLINA COMUM,3.8
627,01-01-2016,GASOLINA COMUM,3.929
628,01-01-2016,GASOLINA COMUM,3.84
629,01-01-2016,GASOLINA COMUM,3.556
630,01-01-2016,GASOLINA COMUM,3.81
631,01-01-2016,GASOLINA COMUM,3.523
632,01-01-2016,GASOLINA COMUM,4.321
633,01-01-2016,GASOLINA COMUM,3.742
634,01-01-2016,GASOLINA COMUM,3.769
635,01-01-2016,GASOLINA COMUM,3.508
636,01-01-2016,GASOLINA COMUM,3.8
637,01-01-2016,GASOLINA COMUM,4.062
638,01-01-2016,GASOLINA COMUM,3.438
639,01-01-2016,GASOLINA COMUM,3.951
640,01-01-2016,GASOLINA COMUM,3.728
641,01-01-2016,GASOLINA COMUM,3.788
642,01-01-2016,GASOLINA COMUM,3.551
643,01-01-2016,GASOLINA COMUM,3.845
644,01-01-2016,GASOLINA COMUM,3.531
645,01-01-2016,GASOLINA COMUM,3.998
646,01-01-2016,GASOLINA COMUM,3.843
647,01-01-2016,GASOLINA COMUM,3.782
648,01-01-2016,GASOLINA COMUM,3.654
649,01-01-2016,GASOLINA COMUM,3.507
650,01-01-2016,GASOLINA COMUM,3.924
651,01-01-2016,GASOLINA COMUM,3.83
652,01-01-2016,GASOLINA COMUM,3.876
653,01-01-2016,GASOLINA COMUM,3.727
654,01-01-2016,GASOLINA COMUM,3.602
655,01-01-2016,GASOLINA COMUM,3.735
656,01-01-2016,GASOLINA COMUM,3.794
657,01-01-2016,GASOLINA COMUM,3.632
658,01-01-2016,GASOLINA COMUM,3.669
659,01-01-2016,GASOLINA COMUM,3.736
660,01-01-2016,GASOLINA COMUM,3.65
661,01-01-2016,GASOLINA COMUM,3.799
662,01-01-2016,GASOLINA COMUM,3.815
663,01-01-2016,GASOLINA COMUM,3.932
664,01-01-2016,GASOLINA COMUM,3.71
665,01-01-2016,GASOLINA COMUM,3.922
666,01-01-2016,GASOLINA COMUM,3.749
667,01-01-2016,GASOLINA COMUM,3.848
668,01-01-2016,GASOLINA COMUM,3.913
669,01-01-2016,GASOLINA COMUM,3.832
670,01-01-2016,GASOLINA COMUM,3.651
671,01-01-2016,GASOLINA COMUM,3.532
672,01-01-2016,GASOLINA COMUM,3.605
673,01-01-2016,GASOLINA COMUM,3.47
674,01-01-2016,GASOLINA COMUM,3.799
675,01-01-2016,GASOLINA COMUM,3.846
676,01-01-2016,GASOLINA COMUM,3.553
677,01-01-2016,GASOLINA COMUM,4.062
678,01-01-2016,GASOLINA COMUM,3.468
