,MÊS,PRODUTO,PREÇO MÉDIO REVENDA
452,01-01-2019,GASOLINA COMUM,4.942
453,01-01-2019,GASOLINA COMUM,4.141
454,01-01-2019,GASOLINA COMUM,4.078
455,01-01-2019,GASOLINA COMUM,4.314
456,01-01-2019,GASOLINA COMUM,4.354
457,01-01-2019,GASOLINA COMUM,4.629
458,01-01-2019,GASOLINA COMUM,4.534
459,01-01-2019,GASOLINA COMUM,4.636
460,01-01-2019,GASOLINA COMUM,4.741
461,01-01-2019,GASOLINA COMUM,4.95
462,01-01-2019,GASOLINA COMUM,4.421
463,01-01-2019,GASOLINA COMUM,3.891
464,01-01-2019,GASOLINA COMUM,4.175
465,01-01-2019,GASOLINA COMUM,4.098
466,01-01-2019,GASOLINA COMUM,4.118
467,01-01-2019,GASOLINA COMUM,5.054
468,01-01-2019,GASOLINA COMUM,4.45
469,01-01-2019,GASOLINA COMUM,4.339
470,01-01-2019,GASOLINA COMUM,4.254
471,01-01-2019,GASOLINA COMUM,4.019
472,01-01-2019,GASOLINA COMUM,4.537
473,01-01-2019,GASOLINA COMUM,4.548
474,01-01-2019,GASOLINA COMUM,4.576
475,01-01-2019,GASOLINA COMUM,4.629
476,01-01-2019,GASOLINA COMUM,4.268
477,01-01-2019,GASOLINA COMUM,3.916
478,01-01-2019,GASOLINA COMUM,4.272
479,01-01-2019,GASOLINA COMUM,3.979
480,01-01-2019,GASOLINA COMUM,4.617
481,01-01-2019,GASOLINA COMUM,4.678
482,01-01-2019,GASOLINA COMUM,4.032
483,01-01-2019,GASOLINA COMUM,4.754
484,01-01-2019,GASOLINA COMUM,4.333
485,01-01-2019,GASOLINA COMUM,4.413
486,01-01-2019,GASOLINA COMUM,4.235
487,01-01-2019,GASOLINA COMUM,4.237
488,01-01-2019,GASOLINA COMUM,4.179
489,01-01-2019,GASOLINA COMUM,4.029
490,01-01-2019,GASOLINA COMUM,4.336
491,01-01-2019,GASOLINA COMUM,4.965
492,01-01-2019,GASOLINA COMUM,4.181
493,01-01-2019,GASOLINA COMUM,4.409
494,01-01-2019,GASOLINA COMUM,4.539
495,01-01-2019,GASOLINA COMUM,4.387
496,01-01-2019,GASOLINA COMUM,4.898
497,01-01-2019,GASOLINA COMUM,4.877
498,01-01-2019,GASOLINA COMUM,4.545
