,MÊS,PRODUTO,PREÇO MÉDIO REVENDA
890,01-01-2022,GASOLINA COMUM,6.284
891,01-01-2022,GASOLINA COMUM,6.872
892,01-01-2022,GASOLINA COMUM,6.374
893,01-01-2022,GASOLINA COMUM,6.451
894,01-01-2022,GASOLINA COMUM,7.109
895,01-01-2022,GASOLINA COMUM,6.466
896,01-01-2022,GASOLINA COMUM,6.596
897,01-01-2022,GASOLINA COMUM,6.421
898,01-01-2022,GASOLINA COMUM,7.335
899,01-01-2022,GASOLINA COMUM,6.652
900,01-01-2022,GASOLINA COMUM,6.588
901,01-01-2022,GASOLINA COMUM,6.995
902,01-01-2022,GASOLINA COMUM,7.138
903,01-01-2022,GASOLINA COMUM,6.595
904,01-01-2022,GASOLINA COMUM,6.604
905,01-01-2022,GASOLINA COMUM,6.429
906,01-01-2022,GASOLINA COMUM,6.519
907,01-01-2022,GASOLINA COMUM,6.361
908,01-01-2022,GASOLINA COMUM,6.159
909,01-01-2022,GASOLINA COMUM,6.471
910,01-01-2022,GASOLINA COMUM,7.101
911,01-01-2022,GASOLINA COMUM,6.921
912,01-01-2022,GASOLINA COMUM,6.355
913,01-01-2022,GASOLINA COMUM,6.543
914,01-01-2022,GASOLINA COMUM,7.054
915,01-01-2022,GASOLINA COMUM,6.806
916,01-01-2022,GASOLINA COMUM,6.413
917,01-01-2022,GASOLINA COMUM,6.32
918,01-01-2022,GASOLINA COMUM,6.761
919,01-01-2022,GASOLINA COMUM,6.323
920,01-01-2022,GASOLINA COMUM,7.023
921,01-01-2022,GASOLINA COMUM,6.919
922,01-01-2022,GASOLINA COMUM,6.254
923,01-01-2022,GASOLINA COMUM,6.506
924,01-01-2022,GASOLINA COMUM,6.493
925,01-01-2022,GASOLINA COMUM,6.963
926,01-01-2022,GASOLINA COMUM,6.605
927,01-01-2022,GASOLINA COMUM,7.067
928,01-01-2022,GASOLINA COMUM,6.549
929,01-01-2022,GASOLINA COMUM,6.36
930,01-01-2022,GASOLINA COMUM,7.023
931,01-01-2022,GASOLINA COMUM,6.85
932,01-01-2022,GASOLINA COMUM,6.491
933,01-01-2022,GASOLINA COMUM,6.966
934,01-01-2022,GASOLINA COMUM,6.928
935,01-01-2022,GASOLINA COMUM,7.138
936,01-01-2022,GASOLINA COMUM,6.758
937,01-01-2022,GASOLINA COMUM,6.435
938,01-01-2022,GASOLINA COMUM,6.918
939,01-01-2022,GASOLINA COMUM,6.21
940,01-01-2022,GASOLINA COMUM,7.451
941,01-01-2022,GASOLINA COMUM,6.435
942,01-01-2022,GASOLINA COMUM,6.412
943,01-01-2022,GASOLINA COMUM,7.16
944,01-01-2022,GASOLINA COMUM,6.285
945,01-01-2022,GASOLINA COMUM,6.467
946,01-01-2022,GASOLINA COMUM,6.269
947,01-01-2022,GASOLINA COMUM,6.328
948,01-01-2022,GASOLINA COMUM,7.03
949,01-01-2022,GASOLINA COMUM,6.327
950,01-01-2022,GASOLINA COMUM,6.889
951,01-01-2022,GASOLINA COMUM,6.828
952,01-01-2022,GASOLINA COMUM,6.434
953,01-01-2022,GASOLINA COMUM,6.634
954,01-01-2022,GASOLINA COMUM,6.052
955,01-01-2022,GASOLINA COMUM,6.736
956,01-01-2022,GASOLINA COMUM,7.254
957,01-01-2022,GASOLINA COMUM,7.082
958,01-01-2022,GASOLINA COMUM,6.354
959,01-01-2022,GASOLINA COMUM,6.968
960,01-01-2022,GASOLINA COMUM,7.068
961,01-01-2022,GASOLINA COMUM,6.482
962,01-01-2022,GASOLINA COMUM,6.959
963,01-01-2022,GASOLINA COMUM,6.386
964,01-01-2022,GASOLINA COMUM,6.37
965,01-01-2022,GASOLINA COMUM,7.308
966,01-01-2022,GASOLINA COMUM,6.629
967,01-01-2022,GASOLINA COMUM,7.201
968,01-01-2022,GASOLINA COMUM,6.336
969,01-01-2022,GASOLINA COMUM,6.676
970,01-01-2022,GASOLINA COMUM,6.371
971,01-01-2022,GASOLINA COMUM,6.428
972,01-01-2022,GASOLINA COMUM,6.327
973,01-01-2022,GASOLINA COMUM,6.747
974,01-01-2022,GASOLINA COMUM,6.966
975,01-01-2022,GASOLINA COMUM,6.202
976,01-01-2022,GASOLINA COMUM,6.164
977,01-01-2022,GASOLINA COMUM,7.096
978,01-01-2022,GASOLINA COMUM,6.866
979,01-01-2022,GASOLINA COMUM,6.355
980,01-01-2022,GASOLINA COMUM,6.689
