,MÊS,Último,PREÇO MÉDIO REVENDA
0,2017-01-04,5.64,3.770485216375549
1,2017-01-05,5.46,3.751663952856098
2,2017-01-06,5.71,3.696870119417902
3,2017-01-07,5.78,3.689708073894325
4,2017-01-08,6.54,3.9116719329201306
5,2017-01-09,7.21,3.9861601989564543
6,2017-01-10,6.6,4.009496918690653
7,2017-01-11,7.0,4.10650498606386
8,2017-01-12,8.82,4.185216188716033
9,2018-01-01,9.58,4.279056310139523
10,2018-01-02,9.67,4.297302909419645
11,2018-01-03,10.19,4.291756807489402
12,2018-01-04,9.2,4.316975916315619
13,2018-01-05,8.05,4.4081842254981005
14,2018-01-06,9.1,4.636253646496122
15,2018-01-07,9.17,4.592403014763466
16,2018-01-08,10.07,4.561696203569116
17,2018-01-09,12.6,4.716642132902813
18,2018-01-10,11.73,4.815592781124059
19,2018-01-11,10.62,4.698012441096302
20,2018-01-12,12.35,4.483111565689278
21,2019-01-01,12.48,4.3860868337563295
22,2019-01-02,13.02,4.305501321663486
23,2019-01-03,12.52,4.390880488257953
24,2019-01-04,11.84,4.517493283660713
25,2019-01-05,12.59,4.657693271302582
26,2019-01-06,12.07,4.589411210028493
27,2019-01-07,11.94,4.476087388093024
28,2019-01-08,12.74,4.428109206364828
29,2019-01-09,13.81,4.43305876859817
30,2019-01-10,13.26,4.482947625708178
31,2019-01-11,13.6,4.508948833496015
32,2019-01-12,12.9,4.61433767295688
33,2020-01-01,11.54,4.663155797388092
34,2020-01-02,6.01,4.64521295448512
35,2020-01-03,7.93,4.571332851855174
36,2020-01-04,8.86,4.186405744122464
37,2020-01-05,9.49,3.911703492648048
38,2020-01-06,9.74,4.036296056395784
39,2020-01-07,9.58,4.225278134424324
40,2020-01-08,8.49,4.331519467331384
41,2020-01-10,8.15,4.400403835978836
42,2020-01-11,10.97,4.453302258592926
43,2020-01-12,12.38,4.519670637822321
44,2021-01-01,11.73,4.694544093410889
45,2021-01-02,9.51,5.031486375371741
46,2021-01-03,10.27,5.554607078919578
47,2021-01-04,10.25,5.528229077294103
48,2021-01-05,11.82,5.665214563327012
49,2021-01-06,13.44,5.772385366483512
50,2021-01-07,12.2,5.9096253142015565
51,2021-01-08,13.11,6.035373988467863
52,2021-01-09,13.21,6.17390309445755
53,2021-01-10,12.99,6.422571168913649
54,2021-01-11,14.15,6.831907124243791
55,2021-01-12,16.14,6.760841658499246
56,2022-01-01,18.54,6.736561311622467
57,2022-01-02,19.12,6.709886782877433
58,2022-01-03,18.53,7.10888376075057
59,2022-01-04,19.03,7.335032274646045
60,2022-01-05,20.92,7.379760538838359
61,2022-01-06,19.21,7.365138215741698
62,2022-01-07,23.25,6.156560207295716
63,2022-01-08,28.26,5.5101569120101805
64,2022-01-09,25.15,5.153196677759781
65,2022-01-10,25.29,4.918639997082429
66,2022-01-11,25.98,5.086860603992957
67,2022-01-12,23.97,5.036999549625944
68,2023-01-01,25.18,5.1096171907947925
69,2023-01-02,24.58,5.157839750764794
70,2023-01-03,22.65,5.581298772846924
71,2023-01-04,25.19,5.594187371651482
72,2023-01-05,27.59,5.477908611011536
73,2023-01-06,33.1,5.475998891382569
74,2023-01-07,34.81,5.694988356135828
75,2023-01-08,34.54,5.82773147640125
76,2023-01-09,37.89,5.954454658999403
77,2023-01-10,37.84,5.875073866800865
78,2023-01-11,37.7,5.784059567083283
79,2023-01-12,38.98,5.73022406926854
80,2024-01-01,42.16,5.7066987039672
81,2024-01-02,41.22,5.864321927419852
82,2024-01-03,37.36,5.943
