Variacoes - ABRIL - JUNHO,RJ,POA,BH,REC,SP,DF,BEL,FOR,SAL,CUR,GOI,VIT,CG,RB,SL,AJU,NACIONAL
 PEIXE-TAMBAQUI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.7999999999999998,4.66,0.0,3.95
 PEIXE-DOURADA,0.0,0.0,0.0,0.0,0.0,0.0,-11.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-11.33
 PEIXE-PEROÁ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8200000000000003,0.0,0.0,0.0,0.0,0.8200000000000003
 PEIXE-PINTADO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.98,0.0,0.0,0.0,-3.98
 PEIXE-MANDI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.1799999999999997,0.0,0.0,-2.1799999999999997
 CARNES E PEIXES INDUSTRIALIZADOS,2.32,1.81,2.0700000000000003,2.98,-2.0699999999999994,-1.5399999999999996,-0.27999999999999997,0.7,-0.18999999999999995,2.3600000000000003,-0.21999999999999997,2.25,2.69,-2.3499999999999996,1.58,0.26,0.32000000000000006
 PRESUNTO,0.21999999999999997,-0.15999999999999992,0.3500000000000001,0.0,-0.31999999999999984,0.8999999999999998,-0.10999999999999988,-7.1499999999999995,-2.2,6.42,-0.9600000000000002,-2.0500000000000003,2.29,-6.54,0.0,-2.96,0.20000000000000007
 SALSICHA,-1.6100000000000003,4.63,-1.61,-0.6299999999999999,-2.69,-0.11000000000000032,1.8299999999999998,0.0,0.0,4.88,-1.29,1.3,6.18,-1.8599999999999999,2.5200000000000005,-2.42,-0.1
 LINGUIÇA,4.93,-2.8,4.14,1.1400000000000001,-2.93,-5.01,-2.73,0.9599999999999997,-3.4,-1.85,0.6000000000000003,5.279999999999999,2.5700000000000003,-2.08,6.079999999999999,1.8399999999999999,-0.7100000000000002
 MORTADELA,-2.0799999999999996,4.27,5.03,2.1799999999999997,0.06999999999999984,0.0,1.04,1.5,0.0,5.42,0.0,-4.460000000000001,0.5800000000000001,-1.25,0.0,-0.83,1.46
 SALAME,0.0,5.34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.34
 CARNE-SECA E DE SOL,7.6,0.0,0.0,4.02,0.0,0.0,0.16000000000000003,3.4,1.3099999999999998,0.0,0.0,2.3199999999999994,0.0,0.95,-5.65,1.0999999999999999,2.33
 CARNE DE PORCO SALGADA E DEFUMADA,0.0,0.0,-4.52,0.0,0.0,0.0,0.0,0.0,-1.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.74
 HAMBÚRGUER,0.0,0.0,0.0,0.0,0.0,4.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.15
 AVES E OVOS,4.16,3.0500000000000003,1.6900000000000002,4.08,3.7,5.13,9.96,4.45,7.2299999999999995,3.9299999999999997,6.75,8.26,3.19,7.11,2.1999999999999997,6.710000000000001,4.66
 FRANGO INTEIRO,4.369999999999999,5.57,3.6100000000000003,7.04,2.0700000000000003,8.91,12.790000000000001,5.77,10.11,5.66,8.98,14.07,2.69,11.0,2.38,11.82,6.8100000000000005
 FRANGO EM PEDAÇOS,4.09,0.9,0.9899999999999998,2.75,5.23,5.11,4.72,3.8600000000000003,7.46,5.2700000000000005,2.06,2.9699999999999998,5.390000000000001,1.9000000000000004,6.09,4.18,4.01
 OVO DE GALINHA,4.36,6.390000000000001,-0.34999999999999987,-3.99,2.8500000000000005,-1.33,3.45,0.4700000000000001,-5.1899999999999995,-1.4100000000000001,2.53,1.4100000000000001,0.03999999999999959,0.68,-1.3599999999999999,0.20999999999999996,1.47
 LEITE E DERIVADOS,-0.6699999999999999,1.13,4.53,2.01,0.8200000000000001,-0.49,2.13,2.66,0.5900000000000001,0.040000000000000036,1.76,3.37,2.59,2.33,-0.45000000000000007,4.52,1.27
 LEITE LONGA VIDA,-0.6900000000000004,1.91,5.4,11.690000000000001,2.83,-2.48,0.6500000000000001,6.74,5.28,0.8100000000000004,1.93,5.54,4.11,4.1499999999999995,1.9,10.08,2.79
 LEITE CONDENSADO,0.0,-0.63,0.0,0.0,0.0,0.0,1.3900000000000001,0.26,0.0,0.0,0.0,0.0,-0.6800000000000002,-2.0100000000000002,0.0,0.0,0.010000000000000064
 LEITE EM PÓ,1.69,-0.07999999999999999,0.0,1.2999999999999998,-1.17,0.0,2.89,0.52,-0.5699999999999998,2.3299999999999996,0.5199999999999999,-0.9100000000000001,-2.06,-0.15999999999999998,-1.62,3.59,0.7200000000000001
 QUEIJO,-1.64,0.59,3.7,-0.4399999999999995,-0.69,3.09,2.76,-0.01000000000000012,-2.36,-1.04,2.2800000000000002,2.18,2.31,2.63,-4.01,3.45,-0.010000000000000009
 CREME DE LEITE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.26000000000000023,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.26000000000000023
 IOGURTE E BEBIDAS LÁCTEAS,0.6099999999999999,-0.37,2.78,-3.36,-3.37,0.7299999999999998,0.8300000000000001,-0.83,-1.6499999999999997,-2.5,0.44999999999999996,2.21,0.36000000000000004,2.37,2.17,1.4599999999999997,-1.16
 MANTEIGA,0.0,0.0,0.0,0.8,0.0,0.0,2.25,0.6100000000000001,-1.6,0.0,0.0,-1.0500000000000003,0.0,2.34,0.0,-2.8899999999999997,-0.07999999999999985
 PANIFICADOS,-0.33999999999999997,-0.24999999999999992,-0.27,-0.9199999999999999,-0.36000000000000004,-1.8599999999999999,-0.3200000000000001,-0.06999999999999984,0.47,-1.4300000000000002,0.18000000000000016,0.27,0.7000000000000001,0.81,-2.11,0.19999999999999996,-0.39
