Variacoes - JULHO - SETEMBRO,RJ,POA,BH,REC,SP,DF,BEL,FOR,SAL,CUR,GOI,VIT,CG,RB,SL,AJU,NACIONAL
 ÍNDICE GERAL,0.10999999999999999,0.46,0.18000000000000002,0.11,0.55,0.13,-0.09000000000000001,0.1,0.04000000000000001,0.27999999999999997,0.30000000000000004,-0.48000000000000004,-0.26,0.19000000000000003,-0.6900000000000001,-0.29,0.26
 ALIMENTAÇÃO E BEBIDAS,-1.6700000000000002,0.74,-1.56,-0.6800000000000002,-0.38,-0.29,-1.79,-1.3,-1.14,-0.11999999999999998,-0.69,-1.7,-1.3900000000000001,-0.78,-1.18,-1.3299999999999996,-0.77
 ALIMENTAÇÃO NO DOMICÍLIO,-2.8,0.77,-2.23,-0.88,-1.51,-1.56,-2.48,-2.13,-1.8399999999999999,-0.97,-1.49,-2.92,-2.27,-0.93,-1.74,-2.22,-1.6
" CEREAIS, LEGUMINOSAS E OLEAGINOSAS",-1.7300000000000002,1.7999999999999998,-3.7300000000000004,-2.4499999999999997,-2.88,-1.84,-1.81,-1.01,-9.9,-3.8099999999999996,-2.2899999999999996,-5.42,-0.7999999999999998,-3.05,-2.01,-13.0,-2.95
 ARROZ,2.04,3.36,-0.3500000000000001,4.529999999999999,3.48,-0.44000000000000006,3.2,0.009999999999999953,1.1600000000000001,1.4,1.1600000000000001,-1.4300000000000002,3.25,1.76,-0.31999999999999995,-1.4,1.78
 FEIJÃO-MULATINHO,0.0,0.0,0.0,-5.15,0.0,0.0,0.0,-9.47,-13.66,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-8.74
 FEIJÃO-PRETO,-7.26,-2.65,0.0,0.0,0.0,0.0,-2.72,0.0,0.0,-7.41,0.0,-8.41,-20.189999999999998,0.0,-14.41,0.0,-6.32
 FEIJÃO-MACASSAR (FRADINHO),0.0,0.0,0.0,0.7600000000000002,0.0,0.0,0.0,1.44,-2.32,0.0,0.0,0.0,0.0,0.0,-2.01,-11.36,-0.08000000000000007
 FEIJÃO-CARIOCA (RAJADO),0.0,0.0,-11.56,-18.64,-15.17,-3.88,-12.92,-14.84,-26.55,-19.32,-8.959999999999999,-19.7,-7.84,-12.46,-16.85,-23.020000000000003,-14.969999999999999
 FEIJÃO-BRANCO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.41999999999999993,0.0,-0.41999999999999993
" FARINHAS, FÉCULAS E MASSAS",1.46,0.2400000000000002,-0.38,-1.6700000000000002,-2.6399999999999997,2.39,-1.92,-2.8800000000000003,-2.85,0.35000000000000003,-1.72,0.31999999999999995,1.54,-2.37,0.91,-0.8600000000000001,-1.2000000000000002
 FARINHA DE ARROZ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.58,-0.2999999999999998,0.0,0.0,0.0,0.0,0.0,-3.57,-1.1800000000000002,-2.0999999999999996
 MACARRÃO,4.86,1.3100000000000003,-0.32000000000000006,-1.13,-2.41,3.16,-1.23,-1.7199999999999998,0.33000000000000007,-1.3299999999999998,-2.48,1.39,0.28,-0.48,1.9100000000000001,2.64,-0.3500000000000001
 FUBÁ DE MILHO,0.0,0.0,1.42,0.41999999999999993,0.0,0.0,0.0,0.0,2.3000000000000003,0.0,-2.12,0.0,0.0,0.0,-0.32999999999999996,-3.6599999999999997,0.4999999999999999
 AMIDO DE MILHO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.51,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.51
 FLOCOS DE MILHO,0.0,0.0,0.0,5.909999999999999,0.0,0.8400000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.8900000000000001,3.8
 FARINHA DE TRIGO,-1.4,-1.19,-1.57,0.0,-0.7,0.0,7.61,0.0,0.0,1.75,0.41,3.1099999999999994,1.89,0.0,0.0,0.0,0.15999999999999998
 FARINHA VITAMINADA,0.0,0.0,0.0,-4.29,0.0,0.0,0.0,-0.6499999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.65,-2.62
 FARINHA DE MANDIOCA,-7.180000000000001,0.0,0.0,-7.040000000000001,0.0,5.28,-2.7899999999999996,-5.939999999999999,-5.69,0.0,0.0,-4.4,0.0,-3.35,1.48,-0.08999999999999986,-3.79
 MASSA SEMIPREPARADA,-1.85,0.09000000000000008,-0.8100000000000002,0.0,-4.38,0.11000000000000032,0.0,0.0,0.0,2.34,-1.13,-1.1102230246251565e-16,3.93,0.0,0.0,-2.77,-1.6400000000000001
" TUBÉRCULOS, RAÍZES E LEGUMES",-36.05,-17.8,-31.07,-10.34,-19.599999999999998,-31.740000000000002,-10.52,-32.25,-12.760000000000002,-30.21,-34.699999999999996,-37.849999999999994,-39.7,-15.17,-25.650000000000002,-19.89,-24.11
 BATATA-INGLESA,-29.64,-13.42,-32.51,-11.59,-14.649999999999999,-23.17,-6.660000000000001,-23.669999999999998,-9.52,-27.32,-26.83,-35.489999999999995,-43.480000000000004,-9.7,-21.54,-13.66,-21.21
 INHAME,0.0,0.0,0.0,7.219999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.42,6.5
 MANDIOCA (AIPIM),0.0,-0.6999999999999993,0.0,10.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.4800000000000004,1.8,0.0,0.0,-3.7100000000000004,4.28
 ABÓBORA,-30.91,0.0,-7.519999999999999,0.0,0.0,-14.7,0.0,0.0,0.0,0.0,-10.09,0.0,0.0,0.0,0.0,0.0,-18.09
 PIMENTÃO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-7.859999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-7.859999999999999
 QUIABO,0.0,0.0,5.71,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.71
 TOMATE,-72.42,-47.41,-58.07,-42.67,-41.03,-60.6,-35.99,-73.76,-41.04,-62.949999999999996,-56.33,-75.29,-64.68,-36.35,-49.519999999999996,-57.160000000000004,-51.94
 CEBOLA,14.819999999999999,24.48,16.5,25.050000000000004,9.93,17.89,19.59,23.580000000000002,37.93,16.77,9.31,9.830000000000002,13.239999999999998,10.620000000000001,20.759999999999998,33.91,17.86
 CENOURA,-37.019999999999996,0.0,-38.55,0.0,-23.47,-34.85,0.0,-33.47,-30.310000000000002,-35.440000000000005,-34.760000000000005,-27.669999999999998,0.0,0.0,0.0,-27.81,-31.66
 MANDIOQUINHA (BATATA-BAROA),0.0,0.0,0.0,0.0,-5.899999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5.899999999999999
 AÇÚCARES E DERIVADOS,6.06,0.57,0.8099999999999998,0.5900000000000001,1.42,-2.76,0.23999999999999994,0.62,4.2,1.0799999999999998,0.2899999999999999,-1.7400000000000002,0.63,1.3499999999999999,-1.89,-0.3000000000000001,1.52
 AÇÚCAR REFINADO,12.870000000000001,2.26,0.0,0.0,9.629999999999999,0.0,1.44,1.2400000000000002,0.0,3.4700000000000006,0.0,0.0,0.0,4.52,-5.869999999999999,-1.35,7.08
 AÇÚCAR CRISTAL,3.5900000000000003,4.01,0.66,2.73,2.8699999999999997,-4.460000000000001,-2.54,-0.2300000000000002,5.48,1.37,-1.14,-2.87,1.77,0.8799999999999999,0.19999999999999998,-0.08999999999999997,1.5700000000000003
 BALAS,0.0,-0.09999999999999987,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13000000000000006,0.0,0.0,0.0,0.0,0.0,0.0,0.0
 CHOCOLATE EM BARRA E BOMBOM,-0.6399999999999999,-1.9400000000000002,-1.79,-8.83,-3.7800000000000002,-4.59,1.04,0.0,2.8699999999999997,0.31000000000000005,0.06000000000000005,-0.88,0.5700000000000001,1.06,0.0,-1.5,-2.17
 SORVETE,2.34,-1.18,2.14,0.2799999999999999,0.5,-1.03,0.0,0.6299999999999999,-0.9099999999999999,-0.19000000000000006,2.9699999999999998,-0.15000000000000002,-0.54,0.0,1.5899999999999999,1.0699999999999998,0.6699999999999999
 CHOCOLATE E ACHOCOLATADO EM PÓ,4.33,0.83,2.42,-1.23,-0.010000000000000009,1.08,6.28,1.1700000000000002,1.8199999999999998,2.0700000000000003,2.3200000000000003,1.3,-0.5299999999999998,0.40999999999999986,-0.56,-0.41,1.46
 DOCE DE FRUTAS EM PASTA,0.0,0.0,0.0,1.08,0.0,-0.9099999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.040000000000000036
 HORTALIÇAS E VERDURAS,-14.75,-24.240000000000002,-19.78,-15.579999999999998,-16.83,-4.72,-10.66,-3.9400000000000004,-17.45,-21.53,-14.48,-18.04,-17.5,-8.38,-7.4,-15.299999999999999,-16.560000000000002
 ALFACE,-10.14,-23.83,-15.92,-17.23,-18.009999999999998,3.7600000000000002,-10.81,1.33,-7.4,-28.6,-6.390000000000001,-3.52,-3.3499999999999996,-3.4099999999999997,-2.98,-9.549999999999999,-16.46
 COENTRO,0.0,0.0,0.0,-13.64,0.0,0.0,0.0,0.0,-8.85,0.0,0.0,0.0,0.0,0.0,0.0,-11.55,-11.32
 COUVE,-9.370000000000001,0.0,-10.9,0.0,-18.23,-4.45,0.0,0.0,0.0,-7.32,-4.8500000000000005,-3.18,0.0,0.0,0.0,0.0,-12.79
 COUVE-FLOR,-25.82,-27.909999999999997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-28.349999999999998,0.0,0.0,0.0,0.0,-27.36
 REPOLHO,-30.97,-16.35,-49.339999999999996,-17.62,-16.14,-37.870000000000005,-28.3,0.0,-45.03,-7.720000000000001,-34.78,-67.28,-55.45,-38.7,0.0,-28.060000000000002,-28.189999999999998
 CHEIRO-VERDE,-8.14,0.0,0.0,0.0,-9.11,-1.71,-3.6799999999999997,-4.74,-9.21,0.0,0.0,-3.86,-7.300000000000001,0.8399999999999999,-9.68,0.0,-6.88
 AGRIÃO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.3200000000000003,0.0,0.0,0.0,-1.3200000000000003
 BRÓCOLIS,-15.41,-36.99,-12.059999999999999,0.0,-18.11,-1.56,0.0,0.0,0.0,-15.07,0.0,0.0,0.0,0.0,0.0,0.0,-19.49
 FRUTAS,0.2400000000000002,16.009999999999998,2.15,-4.710000000000001,0.8600000000000003,-2.34,-0.5000000000000001,-3.1999999999999993,-4.619999999999999,10.610000000000001,2.6799999999999997,-1.0799999999999998,11.620000000000001,-1.7899999999999998,-4.25,-2.35,2.86
 BANANA-DA-TERRA,0.0,0.0,0.0,-3.7700000000000014,0.0,0.0,0.0,0.0,13.46,0.0,0.0,7.17,0.0,-4.169999999999999,0.0,0.0,5.529999999999999
 ABACAXI,-11.02,7.340000000000001,1.7999999999999998,-8.59,7.71,0.0,0.0,0.0,0.0,12.48,3.4200000000000004,0.0,-5.74,0.0,0.0,-5.889999999999999,1.33
 ABACATE,0.0,0.0,0.0,0.0,0.0,0.0,3.39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.39
