Variacoes - JANEIRO - MARÇO,RJ,POA,BH,REC,SP,DF,BEL,FOR,SAL,CUR,GOI,VIT,CG,RB,SL,AJU,NACIONAL
 ÍNDICE GERAL,1.8,1.41,1.5,1.68,1.5899999999999999,0.8,1.72,1.89,1.31,1.03,0.82,1.25,1.42,1.81,1.8800000000000001,2.04,1.5
 ALIMENTAÇÃO E BEBIDAS,2.85,2.1799999999999997,4.4,4.0600000000000005,2.72,3.49,3.61,2.9899999999999998,2.18,3.29,3.0000000000000004,3.61,4.25,2.88,3.0700000000000003,4.2,3.0500000000000003
 ALIMENTAÇÃO NO DOMICÍLIO,5.11,2.93,5.57,5.0600000000000005,4.0600000000000005,5.63,4.1000000000000005,3.6300000000000003,3.02,4.1499999999999995,4.17,4.98,5.8999999999999995,3.6799999999999997,4.5,5.93,4.279999999999999
" CEREAIS, LEGUMINOSAS E OLEAGINOSAS",16.15,6.58,22.8,32.33,25.59,34.04,29.21,13.75,27.02,18.48,23.11,19.44,29.060000000000002,30.52,11.0,48.87,22.18
 ARROZ,-0.29000000000000004,-1.2800000000000002,-0.3500000000000001,-1.1100000000000003,-1.08,-0.6500000000000001,-4.71,-0.89,-1.2999999999999998,-2.18,-3.38,-1.29,-3.5199999999999996,-2.6300000000000003,-0.81,0.09999999999999998,-1.45
 FEIJÃO-MULATINHO,0.0,0.0,0.0,55.85,0.0,0.0,0.0,53.83,51.93,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54.28
 FEIJÃO-PRETO,41.24,29.58,0.0,0.0,0.0,0.0,46.410000000000004,0.0,0.0,31.549999999999997,0.0,42.86000000000001,76.13,0.0,42.65,0.0,38.760000000000005
 FEIJÃO-MACASSAR (FRADINHO),0.0,0.0,0.0,18.720000000000002,0.0,0.0,0.0,29.759999999999998,22.05,0.0,0.0,0.0,0.0,0.0,25.939999999999998,37.050000000000004,25.46
 FEIJÃO-CARIOCA (RAJADO),0.0,0.0,81.36,94.02,83.71000000000001,89.23,101.23,86.56,63.92999999999999,89.02,81.1,76.49,116.05000000000001,100.53999999999999,90.92999999999999,107.25999999999999,84.27
 FEIJÃO-BRANCO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,73.5,0.0,73.5
" FARINHAS, FÉCULAS E MASSAS",1.38,4.0,2.3,0.91,2.9699999999999998,-1.6699999999999997,-4.25,2.1500000000000004,-1.6799999999999993,0.89,1.0499999999999998,0.4899999999999999,1.61,-1.6,-1.0600000000000005,0.9300000000000002,0.67
 FARINHA DE ARROZ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.79,-3.0200000000000005,0.0,0.0,0.0,0.0,0.0,-4.05,1.1600000000000001,-1.9600000000000004
 MACARRÃO,0.6900000000000002,7.949999999999999,2.07,3.69,2.3699999999999997,-4.15,2.7800000000000002,5.13,0.5299999999999998,-0.43999999999999995,0.7200000000000001,1.57,2.74,1.74,1.7400000000000002,3.4,2.28
 FUBÁ DE MILHO,0.0,0.0,1.9,-1.34,0.0,0.0,0.0,0.0,1.88,0.0,5.24,0.0,0.0,0.0,-1.0599999999999998,-4.630000000000001,0.38
 AMIDO DE MILHO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.89,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.89
