Variacoes - OUTUBRO - DEZEMBRO,RJ,POA,BH,REC,SP,DF,BEL,FOR,SAL,CUR,GOI,VIT,CG,RB,SL,AJU,NACIONAL
 ÍNDICE GERAL,1.63,1.6099999999999999,1.68,1.03,1.77,1.92,2.93,1.54,1.57,1.8399999999999999,2.1699999999999995,1.53,2.2800000000000002,1.1799999999999997,2.15,1.27,1.76
 ALIMENTAÇÃO E BEBIDAS,3.7399999999999998,2.9699999999999998,5.13,2.52,4.11,3.84,6.12,3.6100000000000003,3.88,3.6999999999999993,6.57,3.72,7.03,2.62,5.51,2.3300000000000005,4.1499999999999995
 ALIMENTAÇÃO NO DOMICÍLIO,5.33,3.8600000000000003,6.57,3.129999999999999,5.800000000000001,5.59,7.680000000000001,4.66,5.03,5.419999999999999,9.24,5.5200000000000005,9.84,3.76,7.250000000000001,3.2199999999999998,5.67
" CEREAIS, LEGUMINOSAS E OLEAGINOSAS",0.4600000000000002,-2.52,11.26,-0.43000000000000016,10.860000000000001,13.120000000000001,11.919999999999998,7.32,5.17,2.18,13.42,4.8999999999999995,10.19,9.51,3.41,6.52,7.180000000000001
 ARROZ,-0.08000000000000013,-1.77,-0.01000000000000012,-1.3499999999999999,1.81,2.1799999999999997,1.4799999999999998,2.55,-1.17,0.21999999999999997,4.05,0.54,1.1400000000000001,2.67,1.8800000000000001,-0.27,0.91
 FEIJÃO-MULATINHO,0.0,0.0,0.0,-11.459999999999999,0.0,0.0,0.0,-10.780000000000001,-9.940000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-10.92
 FEIJÃO-PRETO,1.4000000000000006,-4.569999999999999,0.0,0.0,0.0,0.0,-1.7300000000000004,0.0,0.0,0.6799999999999999,0.0,6.949999999999999,10.95,0.0,1.0000000000000004,0.0,0.04000000000000048
 FEIJÃO-MACASSAR (FRADINHO),0.0,0.0,0.0,4.84,0.0,0.0,0.0,19.73,2.0300000000000002,0.0,0.0,0.0,0.0,0.0,3.41,14.47,11.72
 FEIJÃO-CARIOCA (RAJADO),0.0,0.0,37.41,20.729999999999997,30.51,29.040000000000003,42.76,26.24,23.759999999999998,11.12,32.42,25.29,36.58,23.86,9.450000000000001,12.24,30.25
 FEIJÃO-BRANCO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.73,0.0,20.73
" FARINHAS, FÉCULAS E MASSAS",1.9700000000000002,0.5,0.6299999999999999,-1.48,3.0300000000000002,-1.1400000000000001,0.25,0.05999999999999994,1.25,-0.56,1.22,-0.1100000000000001,1.05,1.91,-0.31,-0.5299999999999998,0.8800000000000001
 FARINHA DE ARROZ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.970000000000001,2.16,0.0,0.0,0.0,0.0,0.0,-1.46,0.35,-0.4400000000000001
 MACARRÃO,2.8800000000000003,0.28,2.3099999999999996,1.3200000000000003,3.91,-0.6200000000000001,1.87,0.07999999999999996,0.5699999999999998,-1.27,1.5899999999999999,0.0,3.1,2.49,2.2800000000000002,0.9500000000000001,1.79
 FUBÁ DE MILHO,0.0,0.0,-0.78,-3.21,0.0,0.0,0.0,0.0,-3.6100000000000003,0.0,-1.5,0.0,0.0,0.0,-1.34,0.8199999999999998,-2.01
 AMIDO DE MILHO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4800000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4800000000000001
 FLOCOS DE MILHO,0.0,0.0,0.0,-0.54,0.0,-0.49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.8099999999999996,0.0
 FARINHA DE TRIGO,3.9600000000000004,1.15,1.66,0.0,3.4699999999999998,0.0,0.47000000000000003,0.0,0.0,-0.5099999999999998,0.8400000000000001,-0.3500000000000001,-1.2,0.0,0.0,0.0,1.5699999999999998
 FARINHA VITAMINADA,0.0,0.0,0.0,-4.749999999999999,0.0,0.0,0.0,0.85,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.47,-1.7999999999999998
 FARINHA DE MANDIOCA,-5.26,0.0,0.0,-3.49,0.0,-2.7799999999999994,-0.33000000000000007,1.28,2.17,0.0,0.0,-2.42,0.0,1.59,-0.8300000000000003,-3.26,-0.08999999999999997
 MASSA SEMIPREPARADA,1.9799999999999998,0.22000000000000003,-2.96,0.0,0.8699999999999997,-1.17,0.0,0.0,0.0,1.31,2.32,2.05,-0.4900000000000001,0.0,0.0,-0.23999999999999982,0.2699999999999999
" TUBÉRCULOS, RAÍZES E LEGUMES",-12.25,-20.47,-13.23,-17.15,-8.91,-5.039999999999999,-25.92,-17.82,-21.99,-26.47,0.2900000000000009,1.489999999999998,5.080000000000001,-20.439999999999998,-12.37,-20.310000000000002,-14.370000000000001
 BATATA-INGLESA,-12.02,-23.59,-15.18,-21.73,-19.22,-8.719999999999999,-31.18,-15.09,-24.01,-26.880000000000003,-2.709999999999998,-3.8900000000000015,-0.6500000000000004,-15.2,-16.61,-29.84,-18.93
 INHAME,0.0,0.0,0.0,8.37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.27,9.36
 MANDIOCA (AIPIM),0.0,20.18,0.0,3.3100000000000005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.33,13.48,0.0,0.0,9.739999999999998,10.02
 ABÓBORA,0.18000000000000005,0.0,5.449999999999998,0.0,0.0,1.1000000000000005,0.0,0.0,0.0,0.0,3.69,0.0,0.0,0.0,0.0,0.0,2.5799999999999996
 PIMENTÃO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-8.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-8.16
 QUIABO,0.0,0.0,9.27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.27
 TOMATE,29.46,11.839999999999998,12.370000000000001,-13.270000000000001,12.059999999999999,26.17,-4.830000000000001,14.94,-3.180000000000001,12.75,23.520000000000003,37.870000000000005,29.31,-12.96,14.49,-10.26,10.52
