Variacoes - ABRIL - JUNHO,RJ,POA,BH,REC,SP,DF,BEL,FOR,SAL,CUR,GOI,VIT,CG,RB,SL,AJU,NACIONAL
 ÍNDICE GERAL,0.73,0.55,1.3900000000000001,0.85,0.9,0.35000000000000003,0.48000000000000004,0.7200000000000001,0.62,0.85,-0.04999999999999993,0.38,1.05,0.43,-0.47,1.0,0.76
 ALIMENTAÇÃO E BEBIDAS,-0.2,0.3999999999999999,-0.54,0.5800000000000001,0.8400000000000001,0.3899999999999999,-0.5,0.44,0.24000000000000005,0.07,-1.0099999999999998,0.2900000000000001,0.05999999999999983,-0.88,-1.1599999999999997,0.5,0.20999999999999996
 ALIMENTAÇÃO NO DOMICÍLIO,-0.69,-0.30999999999999983,-1.24,0.46,0.24,-0.94,-0.96,0.23,0.029999999999999943,-0.10000000000000009,-2.03,-0.020000000000000073,-0.33000000000000007,-1.34,-1.54,0.14999999999999997,-0.3400000000000001
" CEREAIS, LEGUMINOSAS E OLEAGINOSAS",-0.3400000000000001,-0.44000000000000006,-1.7999999999999998,-0.7,-0.19999999999999973,0.8300000000000001,-1.6999999999999993,0.56,1.6100000000000003,-1.94,-0.8499999999999996,-2.58,0.9800000000000002,1.38,-0.4299999999999997,2.51,-0.44000000000000017
 ARROZ,1.0,-0.1200000000000001,-0.46,2.4299999999999997,0.15000000000000002,2.42,-0.32999999999999996,1.0499999999999998,4.0600000000000005,-0.5500000000000002,-0.52,-1.06,2.62,0.4,-1.27,1.48,0.37999999999999995
 FEIJÃO-MULATINHO,0.0,0.0,0.0,-2.8900000000000006,0.0,0.0,0.0,0.0,0.6499999999999999,0.0,0.0,0.0,0.0,0.0,6.1899999999999995,0.0,0.30999999999999994
 FEIJÃO-PRETO,-3.2499999999999996,-0.9699999999999998,0.0,0.0,0.0,-5.680000000000001,-7.220000000000001,0.0,0.0,-6.69,0.0,-7.68,0.0,0.0,0.0,0.0,-3.8099999999999996
 FEIJÃO-MACÁÇAR (FRADINHO),0.0,0.0,0.0,-3.9000000000000004,0.0,0.0,0.0,-0.6499999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.2600000000000002
 FEIJÃO-CARIOCA (RAJADO),0.0,0.0,-5.170000000000002,-4.02,-0.9500000000000002,0.5899999999999999,-3.110000000000001,0.0,-3.5999999999999996,0.0,-1.370000000000001,0.0,-5.940000000000001,6.58,4.78,3.9299999999999997,-2.0600000000000005
 MILHO (EM GRÃO),0.0,-1.5100000000000002,0.0,0.0,0.0,-6.02,0.0,0.0,0.0,-4.859999999999999,0.0,0.0,0.0,0.0,0.0,0.0,-3.7499999999999996
" FARINHAS, FÉCULAS E MASSAS",-0.27,-0.25,-1.72,-0.8799999999999999,3.4400000000000004,0.5,2.68,0.8300000000000001,3.7800000000000002,0.03000000000000006,2.8,0.28,-0.14000000000000004,2.6999999999999997,-1.4699999999999998,-1.5699999999999998,1.17
 FARINHA DE ARROZ,0.0,0.0,0.0,2.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.03
 MACARRÃO,-2.98,-1.06,-2.3,-5.16,3.8600000000000003,0.19000000000000006,3.27,-0.6400000000000001,1.9400000000000004,-3.7300000000000004,1.58,-0.72,-0.7699999999999998,-0.37999999999999995,1.42,1.3999999999999997,-0.15
 FUBÁ DE MILHO,0.0,0.0,0.0,-4.05,0.0,0.0,0.0,0.6499999999999995,0.0,0.0,0.0,0.0,0.0,0.0,-2.9199999999999995,0.15999999999999992,-2.0999999999999996
 FLOCOS DE MILHO,0.0,0.0,0.0,4.94,0.0,-1.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.020000000000000462,4.16,2.57
