Variacoes - JANEIRO - MARÇO,RJ,POA,BH,REC,SP,DF,BEL,FOR,SAL,CUR,GOI,VIT,CG,RB,SL,AJU,NACIONAL
 MAMÃO,30.560000000000002,18.46,42.25,-8.49,35.75,20.769999999999996,0.0,-7.03,1.8500000000000005,15.719999999999999,23.8,21.470000000000002,10.18,2.8099999999999996,0.0,1.3100000000000005,25.96
 MANGA,40.44,51.77,67.52000000000001,0.0,41.739999999999995,42.71,0.0,47.68000000000001,50.3,50.440000000000005,0.0,53.26,0.0,0.0,0.0,13.14,45.86
 MARACUJÁ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.7799999999999976,8.25,0.0,0.0,0.0,0.0,0.0,0.0,4.38,4.65
 MELANCIA,0.0,0.0,23.740000000000002,7.5,0.0,17.119999999999997,9.17,0.0,6.24,20.830000000000002,41.019999999999996,0.0,21.07,21.41,6.82,0.0,17.27
 MELÃO,7.470000000000001,0.0,0.0,0.4399999999999977,0.0,-11.030000000000001,13.810000000000002,0.0,0.0,4.560000000000001,0.0,0.0,0.0,0.0,10.770000000000001,0.0,2.8899999999999997
 PERA,0.0,0.0,0.0,0.0,-6.489999999999998,0.0,0.0,0.0,0.0,0.0,-5.630000000000001,2.119999999999999,0.0,0.0,0.0,0.0,-6.2
 TANGERINA,0.0,0.0,0.0,0.0,-1.5199999999999996,0.0,0.0,0.0,0.0,11.19,0.0,0.0,0.0,0.0,0.0,0.0,1.3499999999999996
 UVA,19.46,8.530000000000001,6.85,9.35,4.890000000000001,23.15,7.390000000000001,6.62,15.98,-3.9499999999999997,11.77,21.02,-3.9,7.22,1.98,3.73,7.8500000000000005
 LARANJA-PERA,13.04,0.0,20.669999999999998,-23.509999999999998,15.25,12.82,0.21000000000000033,-12.2,-1.0999999999999996,16.3,13.879999999999999,3.15,-1.92,-10.5,1.1000000000000005,-3.5699999999999994,10.74
 MORANGO,0.0,49.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49.9
 GOIABA,0.0,0.0,0.0,0.0,0.0,0.0,-0.56,-12.73,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.3599999999999999,-7.359999999999999
 CARNES,-4.5200000000000005,-2.4299999999999997,-1.7300000000000002,-2.77,-3.7600000000000002,-2.71,-0.68,-1.41,-1.56,-2.3200000000000003,-3.88,-2.05,-2.55,-3.29,-3.5100000000000002,0.7400000000000001,-2.75
