Variacoes - JULHO - SETEMBRO,RJ,POA,BH,REC,SP,DF,BEL,FOR,SAL,CUR,GOI,VIT,CG,RB,SL,AJU,NACIONAL
 DESINFETANTE,3.05,1.1600000000000001,3.3400000000000003,2.67,-0.9299999999999999,5.030000000000001,-2.16,-0.30000000000000004,-1.27,0.2100000000000002,0.6199999999999999,-1.5,0.0,0.0,4.49,0.0,0.56
 SABÃO EM BARRA,0.4500000000000002,0.0,-3.3,-3.65,0.0,0.0,1.5699999999999998,2.23,-0.35999999999999965,0.0,0.0,-5.95,-2.9299999999999997,-0.7,-2.09,-4.38,-1.27
 ESPONJA DE LIMPEZA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.29,0.0,-1.7500000000000004,0.0,0.0,0.0,0.0,2.6599999999999997
 SABÃO LÍQUIDO,0.0,0.0,0.0,0.0,0.0,1.91,0.0,0.0,0.0,1.9899999999999998,0.0,0.0,0.0,0.0,0.0,0.1399999999999999,1.63
 LIMPADOR MULTIUSO,0.0,1.75,0.0,0.0,-1.1800000000000002,-0.33000000000000007,0.0,0.0,0.0,-0.30000000000000004,0.0,0.0,0.0,0.0,0.0,0.0,-0.6200000000000003
 PAPEL TOALHA,3.0599999999999996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0599999999999996
 AMACIANTE E ALVEJANTE,0.27,2.4400000000000004,1.17,-3.0100000000000007,-0.9300000000000002,-1.31,-1.0,-2.9400000000000004,1.66,1.3599999999999999,0.73,-3.99,-0.26000000000000023,1.74,-0.3999999999999999,0.15999999999999998,8.673617379884035e-18
 COMBUSTÍVEIS E ENERGIA,0.6799999999999997,1.19,-1.64,-0.6299999999999999,-0.6500000000000004,-0.27,7.9,-0.009999999999999787,-1.2800000000000002,5.99,-1.31,4.889999999999999,0.08999999999999986,-0.13000000000000034,7.529999999999999,-2.0300000000000002,0.8199999999999998
 COMBUSTÍVEIS (DOMÉSTICOS),0.77,0.38,-4.489999999999999,-1.1,-1.3299999999999998,-0.8600000000000001,0.2599999999999998,0.9100000000000001,-4.29,-1.4600000000000002,-3.82,-2.35,0.22999999999999987,-0.9400000000000002,-3.0100000000000002,0.03,-1.4500000000000002
 CARVÃO VEGETAL,0.0,0.0,0.0,0.0,0.0,0.0,-0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.5299999999999998,0.0,-0.41999999999999993
 GÁS DE BOTIJÃO,1.9599999999999997,0.38,-4.489999999999999,-1.1,-1.72,-0.8600000000000001,0.2899999999999998,0.9100000000000001,-4.29,-1.2599999999999998,-3.82,-2.35,0.22999999999999987,-0.9400000000000002,-3.17,0.03,-1.53
 GÁS ENCANADO,-1.4900000000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.23,0.0,0.0,0.0,0.0,0.0,0.0,-0.78
 ENERGIA ELÉTRICA RESIDENCIAL,0.6799999999999997,1.5499999999999998,-0.5499999999999998,-0.31999999999999984,-0.35000000000000053,-0.10000000000000009,10.28,-0.33000000000000007,0.07000000000000028,9.79,-0.2699999999999996,7.260000000000002,0.13000000000000034,0.1999999999999993,13.51,-2.89,1.69
 ENERGIA ELÉTRICA RESIDENCIAL,0.6799999999999997,1.5499999999999998,-0.5499999999999998,-0.31999999999999984,-0.35000000000000053,-0.10000000000000009,10.28,-0.33000000000000007,0.07000000000000028,9.79,-0.2699999999999996,7.260000000000002,0.13000000000000034,0.1999999999999993,13.51,-2.89,1.69
 ARTIGOS DE RESIDÊNCIA,-0.37,-0.9500000000000001,-0.8899999999999999,-0.12000000000000002,-0.24,-0.41999999999999993,0.17000000000000004,-0.62,-1.75,-0.41999999999999993,-1.99,0.2,0.040000000000000036,0.32,-1.67,0.31999999999999995,-0.58
 MÓVEIS E UTENSÍLIOS,0.36,-0.69,-0.54,0.3400000000000001,0.17999999999999997,-0.06999999999999995,1.3,0.29000000000000004,-0.44000000000000006,0.72,-1.1400000000000001,-0.3700000000000001,0.6299999999999999,1.1500000000000001,-1.55,0.53,-0.020000000000000018
 MOBILIÁRIO,0.019999999999999962,-0.75,-0.8200000000000002,1.22,1.13,0.9100000000000001,2.74,0.7300000000000001,-0.15999999999999992,1.83,-1.15,1.1800000000000002,1.9900000000000002,2.2800000000000002,-1.6600000000000001,2.44,0.55
 MÓVEL PARA SALA,1.9300000000000002,0.85,-0.9800000000000001,-1.04,1.88,-0.09999999999999987,2.61,1.55,1.8599999999999999,1.75,-0.30000000000000004,-0.30000000000000004,2.46,1.7000000000000002,-2.16,-0.09000000000000008,1.1
 MÓVEL PARA QUARTO,-0.69,-0.87,-0.10999999999999988,2.48,0.5700000000000001,0.8400000000000001,1.5699999999999998,0.24,-0.77,1.65,-0.97,1.92,3.16,3.16,-2.09,3.25,0.42000000000000004
 MÓVEL PARA COPA E COZINHA,-2.79,-2.48,1.1600000000000001,1.49,1.14,4.029999999999999,5.430000000000001,2.37,-0.27,2.58,-1.8800000000000001,1.4000000000000001,-0.050000000000000266,1.2399999999999998,0.6500000000000001,4.35,0.62
 MÓVEL INFANTIL,0.0,0.0,0.0,-0.99,0.0,0.0,0.0,-2.42,-4.34,0.77,-3.6200000000000006,0.0,-0.33999999999999986,-1.1900000000000002,-3.67,-0.73,-1.85
