Variacoes - -OUTUBRO - DEZEMBRO,RJ,POA,BH,REC,SP,DF,BEL,FOR,SAL,CUR,GOI,VIT,CG,RB,SL,AJU,NACIONAL
 REFRIGERANTE E ÁGUA MINERAL,2.23,1.6,-0.050000000000000044,2.55,3.3400000000000003,0.3699999999999999,2.4299999999999997,0.5,1.1800000000000002,0.7300000000000001,1.72,1.31,1.86,1.6600000000000001,0.47,1.88,2.0
 CAFEZINHO,0.0,1.0800000000000005,0.0,0.0,1.6400000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5000000000000002
 CERVEJA,1.9900000000000002,-0.5800000000000001,2.98,2.68,1.5299999999999998,2.09,-0.5900000000000001,0.8699999999999999,1.4300000000000002,0.37,1.9900000000000002,0.010000000000000037,2.75,0.72,-0.97,-1.5899999999999999,1.35
 OUTRAS BEBIDAS ALCOÓLICAS,0.0,0.0,0.0,3.87,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.39,2.53,0.0,-2.2399999999999998,0.0,2.9699999999999998
 VINHO,1.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.15
 DOCES,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.14,0.0,0.0,0.0,0.0,3.17,1.5
 SORVETE,0.0,0.0,0.0,0.0,1.98,0.0,0.0,1.29,2.65,1.65,3.17,0.0,2.6500000000000004,0.3400000000000001,0.0,2.41,2.06
 HABITAÇÃO,2.09,0.63,0.16999999999999998,0.16000000000000003,0.3800000000000001,2.5599999999999996,0.26000000000000023,2.11,1.7,-0.30999999999999994,3.96,-0.12,0.3400000000000001,3.51,-0.99,0.71,0.8400000000000001
 ENCARGOS E MANUTENÇÃO,3.0100000000000002,0.9299999999999999,0.46,0.06999999999999999,0.36,0.79,2.93,3.3099999999999996,1.57,-0.04000000000000001,1.28,-0.009999999999999998,0.81,0.51,-0.48,0.010000000000000009,0.9199999999999999
 ALUGUEL E TAXAS,3.3999999999999995,1.1600000000000001,0.6100000000000001,0.36000000000000004,0.45999999999999996,0.9700000000000001,3.88,4.23,2.15,0.23,1.5,0.13999999999999999,1.33,0.6699999999999999,0.23,0.27,1.18
 ALUGUEL RESIDENCIAL,0.58,1.4,1.12,0.19,0.48,0.47000000000000003,0.26,1.48,0.8600000000000001,0.29000000000000004,2.86,0.25,2.58,0.9099999999999999,0.38,0.5900000000000001,0.75
 CONDOMÍNIO,3.9299999999999997,-1.13,-0.08999999999999997,1.04,0.7,2.19,-0.039999999999999925,-0.7,0.33,0.49,0.26,0.10999999999999999,3.02,0.24,0.24000000000000002,0.050000000000000044,0.99
 TAXA DE ÁGUA E ESGOTO,10.05,2.46,0.0,0.0,0.0,0.0,15.76,14.31,6.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.24
 MUDANÇA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.31,0.0,0.0,0.0,-1.31
 REPAROS,1.46,0.6100000000000001,1.0,-0.010000000000000009,0.19999999999999996,0.37,1.29,0.82,0.22000000000000008,0.47000000000000003,1.78,-0.84,0.7,0.5000000000000001,0.7100000000000001,0.59,0.53
 FERRAGENS,0.0,0.0,0.0,0.0,0.0,0.0,0.20999999999999996,0.0,0.0,0.0,0.42999999999999994,0.0,0.0,-1.21,0.0,0.0,0.19999999999999996
 MATERIAL DE ELETRICIDADE,0.0,0.0,0.0,0.0,0.0,-2.6100000000000003,0.0,0.0,0.0,-2.1,0.0,0.0,0.0,0.0,-1.72,0.0,-2.27
 VIDRO,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
 TINTA,1.61,-1.1099999999999999,-0.18999999999999995,-0.18000000000000016,-0.78,-1.49,-0.5700000000000001,0.8999999999999999,-1.58,-0.1399999999999999,-1.5099999999999998,-1.8599999999999999,-0.03,-2.36,-0.9899999999999999,0.72,-0.42
 REVESTIMENTO DE PISO E PAREDE,2.37,-0.3999999999999999,0.19999999999999996,-3.8800000000000003,-2.91,0.0,2.6199999999999997,-0.20000000000000007,-1.7899999999999996,-0.53,5.04,-3.5999999999999996,0.0,0.54,0.3800000000000001,-1.1599999999999997,-1.22
 MADEIRA E TACO,0.0,0.95,0.0,0.0,0.0,0.0,0.0,-1.42,0.0,0.0,0.0,0.0,0.0,0.8299999999999996,-0.26,0.0,0.26
 CIMENTO,0.0,0.0,0.0,-1.18,0.0,0.0,1.3199999999999998,1.03,-0.6300000000000001,0.0,0.0,-0.9400000000000001,-1.62,-0.26,0.27,0.0,0.18999999999999995
 TIJOLO,-1.49,0.0,0.0,0.0,0.0,0.0,1.97,0.0,0.0,0.0,0.28,0.58,0.0,-0.3999999999999999,1.07,0.0,0.029999999999999805
 MATERIAL HIDRÁULICO,0.0,0.0,0.0,0.0,0.2400000000000002,0.0,0.0,0.0,-2.48,0.0,0.0,0.0,-3.01,0.0,0.0,0.0,-0.1499999999999999
 MÃO DE OBRA,1.9900000000000002,1.9900000000000002,1.9900000000000002,1.9900000000000002,1.9900000000000002,1.9900000000000002,1.9900000000000002,1.9900000000000002,1.9900000000000002,1.9900000000000002,1.9900000000000002,1.9900000000000002,1.9900000000000002,1.9900000000000002,1.9900000000000002,1.9900000000000002,1.9900000000000002
 AREIA,-1.2699999999999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5999999999999996,0.0,0.0,0.0,3.8800000000000003,0.0,0.32000000000000006
 PEDRAS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9600000000000002,0.0,0.0,0.9600000000000002
 TELHA,0.0,2.37,0.43,-0.78,0.0,0.0,-0.9000000000000001,0.0,0.0,0.6099999999999999,0.0,0.0,0.0,0.0,-3.34,0.0,0.52
 ARTIGOS DE LIMPEZA,1.0,-0.20000000000000007,-1.29,-1.9000000000000001,-0.45999999999999996,-1.92,0.09000000000000002,-1.0299999999999998,-0.9199999999999999,-3.1399999999999997,-0.8600000000000001,0.07999999999999996,-2.62,0.13000000000000006,-5.2,-2.55,-0.9299999999999999
 SACO PARA LIXO,0.0,-3.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.87,0.0,0.0,0.0,-1.94
 ÁGUA SANITÁRIA,3.56,0.56,1.4300000000000002,-0.5399999999999998,1.12,-1.68,-0.47,-2.0100000000000002,-3.5,0.0,-1.19,0.0,-0.8500000000000001,5.630000000000001,-5.279999999999999,-2.75,0.04999999999999997
 DETERGENTE,-0.2300000000000002,-2.0,-0.8700000000000002,-0.7199999999999999,-1.1800000000000002,-1.7400000000000002,1.0300000000000005,-2.2,-3.4200000000000004,-3.1900000000000004,-1.0,-1.1999999999999997,-3.88,1.31,0.0,-4.09,-1.4899999999999998
 SABÃO EM PÓ,-1.16,0.6600000000000001,-2.88,-3.99,-2.8400000000000003,-6.16,0.5499999999999999,1.35,1.55,-3.8,-1.02,-0.30000000000000004,-2.97,-2.0700000000000003,-5.8999999999999995,-2.67,-2.12
 DESINFETANTE,-1.0,-2.0700000000000003,0.51,6.33,0.8599999999999998,-0.06,0.24,-0.1100000000000001,3.0700000000000003,-1.12,-2.6100000000000003,4.09,0.0,0.0,0.77,0.0,0.63
 SABÃO EM BARRA,0.4500000000000002,0.0,-6.069999999999999,-5.77,0.0,0.0,-2.57,-6.35,-1.4699999999999998,0.0,0.0,-2.69,-4.16,0.30000000000000004,-8.45,-5.02,-4.2
 ESPONJA DE LIMPEZA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.89,0.0,-3.42,0.0,0.0,0.0,0.0,-2.96
 SABÃO LÍQUIDO,0.0,0.0,0.0,0.0,0.0,-2.7,0.0,0.0,0.0,-6.199999999999999,0.0,0.0,0.0,0.0,0.0,2.4,-4.08
 LIMPADOR MULTIUSO,0.0,-2.09,0.0,0.0,2.64,0.7,0.0,0.0,0.0,0.19999999999999973,0.0,0.0,0.0,0.0,0.0,0.0,1.5299999999999998
 PAPEL TOALHA,6.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.01
 AMACIANTE E ALVEJANTE,4.39,1.7400000000000002,0.8700000000000001,-2.83,1.4900000000000002,1.07,0.66,-0.39,-4.0600000000000005,-2.41,0.02000000000000024,1.1099999999999999,-2.46,3.25,-2.15,-2.7800000000000002,0.61
 COMBUSTÍVEIS E ENERGIA,0.7499999999999999,0.11,-0.27,0.2899999999999999,0.45999999999999974,7.45,-1.7600000000000002,0.2899999999999999,1.8599999999999999,-0.83,8.899999999999999,-0.30000000000000004,-0.17000000000000004,5.420000000000001,-1.4100000000000001,1.8900000000000001,0.6900000000000001
 COMBUSTÍVEIS (DOMÉSTICOS),0.16000000000000003,-3.3100000000000005,0.010000000000000009,-2.98,0.27,-1.0999999999999999,0.8899999999999999,-0.9600000000000002,3.4899999999999998,-2.31,-1.9000000000000001,-0.09000000000000002,-0.7100000000000002,-1.3000000000000003,3.19,-0.8099999999999998,-0.26
 CARVÃO VEGETAL,0.0,0.0,0.0,0.0,0.0,0.0,1.85,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.88,0.0,2.84
 GÁS DE BOTIJÃO,-0.2300000000000002,-3.3100000000000005,0.010000000000000009,-2.98,-0.32999999999999996,-1.0999999999999999,0.8799999999999999,-0.9600000000000002,3.4899999999999998,-2.84,-1.9000000000000001,-0.09000000000000002,-0.7100000000000002,-1.3000000000000003,3.1399999999999997,-0.8099999999999998,-0.5
 GÁS ENCANADO,0.97,0.0,0.0,0.0,2.27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.54
 ENERGIA ELÉTRICA RESIDENCIAL,0.92,1.2899999999999998,-0.37,1.5499999999999998,0.5399999999999996,9.54,-2.52,0.8,1.18,-0.15000000000000002,12.629999999999999,-0.3600000000000001,0.0,7.62,-3.7,3.08,1.0300000000000002
 ENERGIA ELÉTRICA RESIDENCIAL,0.92,1.2899999999999998,-0.37,1.5499999999999998,0.5399999999999996,9.54,-2.52,0.8,1.18,-0.15000000000000002,12.629999999999999,-0.3600000000000001,0.0,7.62,-3.7,3.08,1.0300000000000002
 ARTIGOS DE RESIDÊNCIA,2.17,0.88,0.08000000000000003,-0.5599999999999999,1.28,1.26,0.77,-1.35,0.67,0.23,0.9,0.5900000000000001,2.45,-0.24,-1.06,0.8499999999999999,0.8
 MÓVEIS E UTENSÍLIOS,0.5600000000000002,0.9400000000000001,-0.92,0.10999999999999999,-0.24,0.1,1.9599999999999997,-1.74,-1.14,0.62,-0.5499999999999999,-1.76,1.29,0.10999999999999988,-1.4,0.6500000000000001,-0.10000000000000003
 MOBILIÁRIO,1.35,2.3800000000000003,-0.6799999999999999,0.36,0.0,0.3399999999999999,4.47,-2.62,-0.87,1.2,-0.7599999999999999,-1.38,3.0999999999999996,1.95,-1.2400000000000002,0.72,0.35000000000000003
 MÓVEL PARA SALA,2.16,4.779999999999999,0.5700000000000001,-2.07,-3.03,2.03,6.02,-2.06,-0.30000000000000004,3.45,-0.82,-0.69,2.2,2.04,-4.01,3.63,-0.010000000000000037
 MÓVEL PARA QUARTO,0.11999999999999966,-0.2799999999999998,-2.5,1.2200000000000002,0.5699999999999998,-1.64,5.8100000000000005,-3.8899999999999997,-1.32,-0.9599999999999999,-1.3599999999999999,-2.1500000000000004,3.95,1.04,-0.6399999999999999,0.07000000000000028,-0.31999999999999995
 MÓVEL PARA COPA E COZINHA,2.7300000000000004,3.75,2.79,-0.22999999999999998,4.29,2.94,-0.8900000000000001,-0.06999999999999984,-0.47999999999999987,3.46,-0.060000000000000164,-0.38,3.2700000000000005,4.75,-0.22999999999999998,-0.3200000000000003,2.73
 MÓVEL INFANTIL,0.0,0.0,0.0,3.72,0.0,0.0,0.0,0.04000000000000001,-1.3199999999999998,-3.1300000000000003,0.7700000000000002,0.0,-0.3900000000000001,3.96,-2.83,-1.8599999999999999,-0.6000000000000001
 COLCHÃO,0.0,-1.6800000000000002,-2.97,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.34
 UTENSÍLIOS E ENFEITES,-1.2999999999999998,0.17000000000000004,-1.46,-1.24,-0.24,-0.42999999999999994,-0.8799999999999999,1.18,-2.17,-0.24000000000000005,-0.19,-1.26,-2.5,-3.89,-3.3499999999999996,0.2099999999999999,-0.72
 ARTIGOS DE ILUMINAÇÃO,-1.9299999999999997,-1.81,-3.72,-7.630000000000001,-5.76,-1.5099999999999998,-5.35,-2.7299999999999995,-3.91,-1.4899999999999998,0.0,0.0,-6.130000000000001,0.0,-3.9299999999999997,-2.4299999999999997,-3.96
 TAPETE,-1.0599999999999998,-1.2200000000000002,0.0,0.0,1.46,2.3,-0.83,0.0,0.19000000000000036,-2.12,2.73,-0.6099999999999999,-2.05,0.0,0.0,0.0,0.13
 CORTINA,6.199999999999999,0.42999999999999994,-3.8899999999999997,-2.8499999999999996,1.54,-0.7800000000000002,0.0,3.98,-2.9000000000000004,-1.3800000000000003,-0.94,-5.07,0.0,0.0,0.0,0.0,0.09999999999999998
 UTENSÍLIOS DE METAL,-6.13,0.25999999999999984,-0.87,2.63,1.5999999999999999,1.5399999999999998,0.2000000000000004,2.42,-2.1799999999999997,1.35,-3.2,0.4500000000000002,-3.43,-4.98,-4.54,0.5999999999999999,-0.27
 UTENSÍLIOS DE VIDRO E LOUÇA,0.0,0.0,-0.03999999999999998,-2.84,-3.12,-3.55,-1.74,-2.2,-1.0100000000000002,0.7100000000000002,0.0,-0.7700000000000002,0.040000000000000036,-2.14,-0.31999999999999984,2.72,-1.73
 UTENSÍLIOS DE PLÁSTICO,0.0,0.0,0.0,0.0,0.0,0.0,1.25,0.0,0.0,0.0,0.04999999999999993,0.0,0.0,0.0,-2.24,-0.8300000000000001,0.3
 FLORES NATURAIS,0.0,4.390000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.390000000000001
 UTENSÍLIOS PARA BEBÊ,0.0,0.0,2.94,0.48,0.0,0.0,0.0,2.52,0.0,0.0,2.21,0.86,4.35,-0.5700000000000003,0.0,0.0,2.17
" CAMA, MESA E BANHO",0.71,-5.2,-1.0799999999999998,1.3699999999999999,-2.0900000000000003,-0.21999999999999986,-3.0,0.05999999999999983,-0.5,-0.5700000000000001,-0.3400000000000001,-4.45,0.09999999999999987,-1.39,1.16,1.05,-1.53
 ROUPA DE CAMA,0.71,-5.2,-1.0799999999999998,3.74,-2.0900000000000003,-0.21999999999999986,-3.0,-0.8799999999999997,-0.5,-0.5700000000000001,-0.3400000000000001,-4.45,-1.52,-1.13,1.16,1.05,-1.56
 ROUPA DE BANHO,0.0,0.0,0.0,-4.83,0.0,0.0,0.0,2.25,0.0,0.0,0.0,0.0,3.96,-2.3200000000000003,0.0,0.0,-0.18
 APARELHOS ELETROELETRÔNICOS,3.33,0.7300000000000001,1.38,-1.5100000000000002,2.04,1.99,0.020000000000000018,-1.26,2.6599999999999997,-1.19,2.77,3.4299999999999997,4.140000000000001,-0.9000000000000001,-0.4,1.49,1.3900000000000001
 ELETRODOMÉSTICOS E EQUIPAMENTOS,4.17,1.6099999999999997,1.27,-1.3399999999999999,4.05,5.53,1.36,-0.8099999999999998,4.56,-0.44999999999999996,4.07,4.109999999999999,4.88,-1.1199999999999999,-0.16000000000000003,4.6899999999999995,2.64
 REFRIGERADOR,2.8600000000000003,-2.29,0.8399999999999999,-7.44,2.37,2.5,0.32999999999999996,-2.42,2.8200000000000003,-2.25,1.8800000000000001,-2.22,1.17,-2.3899999999999997,-0.5800000000000001,1.69,0.57
 AR-CONDICIONADO,12.91,18.119999999999997,0.0,8.82,28.5,24.32,5.180000000000001,7.69,17.41,9.62,15.95,30.86,29.310000000000002,2.34,0.0,24.25,18.87
 MÁQUINA DE LAVAR ROUPA,1.85,0.17000000000000015,-0.06999999999999995,0.52,-0.5700000000000001,2.02,-0.8499999999999996,-2.19,0.5500000000000002,-0.81,0.9999999999999998,2.26,2.75,-3.4799999999999995,-3.74,-2.83,-0.07999999999999995
 VENTILADOR,0.0,0.0,0.0,0.37999999999999967,0.0,0.0,1.4000000000000001,-3.5,0.0,0.0,0.0,0.0,2.39,1.98,3.63,-0.5700000000000001,0.7
 FOGÃO,1.96,-4.85,3.5700000000000003,1.07,1.63,4.26,5.82,0.39,2.76,-1.48,4.1000000000000005,0.6000000000000001,-0.8300000000000001,-0.8899999999999999,0.7600000000000002,2.44,1.24
 CHUVEIRO ELÉTRICO,0.0,0.0,1.5000000000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5000000000000002
" TV, SOM E INFORMÁTICA",2.29,-0.7999999999999999,1.5699999999999996,-1.71,-0.7000000000000001,-2.38,-1.6500000000000001,-1.83,-0.4800000000000001,-2.25,0.4800000000000004,2.34,2.7199999999999998,-0.3599999999999999,-0.7499999999999999,-2.3800000000000003,-0.3999999999999999
 TELEVISOR,2.7800000000000002,-0.37,2.03,-1.6499999999999997,-0.31000000000000005,1.9500000000000002,1.07,-1.14,-0.22999999999999982,-3.2300000000000004,1.9000000000000004,3.01,4.63,-0.5499999999999998,-2.3,-1.12,0.20000000000000007
 APARELHO DE SOM,0.0,0.0,0.0,-1.71,0.0,0.0,0.0,0.0,4.2,0.0,0.0,0.0,0.0,0.0,-0.7499999999999999,-2.3800000000000003,1.0999999999999999
 VIDEOGAME (CONSOLE),0.0,0.0,0.0,4.499999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.499999999999999
 COMPUTADOR PESSOAL,1.5700000000000003,-1.6900000000000004,0.9000000000000004,-3.21,-1.2499999999999998,-6.39,-6.529999999999999,-2.75,-2.54,-0.8100000000000002,-1.2000000000000002,1.19,-0.8500000000000001,0.10000000000000009,5.01,-4.29,-1.4500000000000002
 CONSERTOS E MANUTENÇÃO,4.09,1.44,0.20999999999999996,0.49,5.66,5.41,-0.21999999999999992,0.78,0.19,3.58,-0.42,-0.030000000000000054,0.88,2.4699999999999998,-2.6100000000000003,-0.98,2.92
 CONSERTOS E MANUTENÇÃO,4.09,1.44,0.20999999999999996,0.49,5.66,5.41,-0.21999999999999992,0.78,0.19,3.58,-0.42,-0.030000000000000054,0.88,2.4699999999999998,-2.6100000000000003,-0.98,2.92
 CONSERTO DE REFRIGERADOR,0.0,0.45999999999999996,0.0,2.26,0.0,0.0,2.15,0.0,1.63,0.0,4.22,0.0,0.0,0.0,-6.16,0.0,1.73
 CONSERTO DE TELEVISOR,0.0,0.0,0.0,0.0,0.0,0.0,-3.46,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.46
 CONSERTO DE MÁQUINA DE LAVAR ROUPA,0.0,-2.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.05
 REFORMA DE ESTOFADO,2.1,8.16,2.1199999999999997,2.06,3.0900000000000003,6.890000000000001,0.0,1.72,2.16,0.0,0.0,-0.42,2.75,4.34,0.0,1.4,3.4399999999999995
 CONSERTO DE APARELHO CELULAR,0.0,-1.43,-2.02,-2.1799999999999997,-2.0300000000000002,-0.95,-3.0799999999999996,-0.45999999999999996,-4.12,5.050000000000001,-1.07,1.4300000000000002,-2.85,-0.5200000000000001,-2.76,-5.909999999999999,-1.31
 CONSERTO DE BICICLETA,4.4399999999999995,5.119999999999999,0.84,0.59,7.12,6.15,2.1700000000000004,1.1800000000000002,2.11,3.2199999999999998,-2.38,-0.14999999999999994,2.9600000000000004,3.05,-0.3799999999999998,1.99,4.29
 VESTUÁRIO,1.83,0.51,2.62,1.02,-0.36,0.7000000000000001,1.65,1.4,0.92,1.72,0.30999999999999994,0.6399999999999999,1.68,-1.98,0.12,-0.20999999999999994,0.8
 ROUPAS,1.7,0.41999999999999993,3.08,0.9299999999999999,-0.84,1.12,2.35,1.6400000000000001,1.04,1.5499999999999998,0.2899999999999999,0.78,1.7999999999999998,-2.63,0.3699999999999999,-0.4699999999999999,0.75
 ROUPA MASCULINA,1.96,-0.47000000000000003,2.36,1.11,-0.45999999999999996,1.51,3.24,2.18,0.71,2.36,-0.17999999999999972,0.81,2.54,-3.95,-2.220446049250313e-16,-1.3299999999999998,0.8099999999999999
 CALÇA COMPRIDA MASCULINA,-0.29000000000000004,-0.5100000000000001,1.42,-1.2100000000000004,-2.7199999999999998,-2.2199999999999998,0.55,4.03,1.6,4.77,-1.2,0.5700000000000001,2.56,-6.17,-1.44,-1.0299999999999998,-0.33999999999999997
 AGASALHO MASCULINO,0.0,-2.2600000000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.13,0.0,0.0,0.0,0.0,0.0,0.0,-2.2199999999999998
 BERMUDA/SHORT MASCULINO,2.27,0.52,1.8399999999999999,-0.8899999999999999,2.02,-2.17,5.16,-1.68,0.59,1.8900000000000001,1.33,-2.7755575615628914e-17,3.65,-1.49,-0.97,1.0,1.28
 CUECA,0.0,0.0,0.0,0.0,0.0,0.0,-0.5700000000000001,0.0,0.0,0.0,0.0,0.0,0.0,-1.73,-3.3,0.0,-1.4000000000000004
 CAMISA/CAMISETA MASCULINA,2.4899999999999998,-0.07000000000000006,3.0,3.16,0.15999999999999992,3.86,4.35,3.18,0.3899999999999999,1.81,-0.09999999999999987,1.19,2.28,-3.68,1.72,-2.35,1.38
 ROUPA FEMININA,1.21,0.44999999999999996,4.24,0.77,-1.2699999999999998,0.81,1.92,2.33,1.52,0.4700000000000001,0.45999999999999996,0.74,1.18,-2.68,-0.019999999999999907,-0.41,0.6200000000000001
 CALÇA COMPRIDA FEMININA,-1.2399999999999998,1.55,3.43,0.21999999999999986,-3.99,-0.7800000000000001,-2.33,4.4,1.7800000000000002,1.2300000000000004,1.29,-0.08999999999999986,-0.18999999999999995,-0.99,2.11,-1.81,-0.43
 AGASALHO FEMININO,0.0,-1.85,-0.3999999999999999,0.0,0.0,0.0,0.0,0.0,0.0,2.19,0.0,0.0,1.18,0.0,0.0,0.0,-0.6399999999999999
 SAIA,0.0,0.0,0.0,3.78,0.0,0.0,4.13,0.0,0.0,0.0,0.0,0.0,0.0,-2.9499999999999993,-1.91,-0.03999999999999998,2.19
 VESTIDO,2.95,1.2,3.5300000000000002,3.95,-2.92,-1.78,2.84,1.78,0.18999999999999995,-0.6299999999999999,-2.7300000000000004,1.82,3.29,-3.91,1.02,2.09,0.06999999999999995
 BLUSA,0.9099999999999999,-0.41999999999999993,5.82,-1.3399999999999999,1.5499999999999998,3.26,1.33,1.95,2.56,-0.47000000000000014,1.6600000000000001,0.24000000000000005,2.08,-3.27,-4.12,-1.84,1.4
 LINGERIE,0.0,1.9400000000000002,4.140000000000001,0.6299999999999999,-2.12,0.0,6.15,3.2700000000000005,-0.12000000000000001,1.67,0.26000000000000023,0.0,-2.56,-0.47,0.74,0.2800000000000001,0.5900000000000001
 BERMUDA/SHORT FEMININO,3.54,0.0,5.03,2.08,0.0,0.0,1.5499999999999998,0.69,3.26,5.99,0.6199999999999999,1.83,1.99,-3.38,2.96,1.4700000000000002,2.69
 ROUPA INFANTIL,2.5,2.04,1.6600000000000001,0.9799999999999999,-0.55,1.13,1.3099999999999998,-1.66,0.74,2.4299999999999997,0.96,0.84,1.84,0.74,2.13,1.27,0.8700000000000001
 UNIFORME ESCOLAR,0.0,0.0,2.07,1.31,1.14,1.2,0.0,2.24,0.0,-0.37,-0.2,0.45,0.0,0.0,0.69,0.76,0.8
 CALÇA COMPRIDA INFANTIL,0.0,-1.49,1.15,0.0,-1.85,-1.0599999999999998,0.0,0.0,-2.5,4.57,1.6400000000000001,0.0,-2.31,1.67,2.6100000000000003,0.0,-0.35000000000000003
 AGASALHO INFANTIL,0.0,0.52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.52
 VESTIDO INFANTIL,1.47,3.82,4.65,2.7399999999999998,0.0,2.7300000000000004,4.04,-5.18,4.8,0.0,3.82,0.06999999999999999,5.78,-1.0899999999999999,0.9199999999999999,3.99,3.09
 BERMUDA/SHORT INFANTIL,1.1099999999999999,0.0,0.0,1.0699999999999998,3.87,0.0,-3.7199999999999998,1.9200000000000004,1.27,0.0,0.0,0.99,3.18,2.7199999999999998,2.81,3.5,2.23
 CAMISA/CAMISETA INFANTIL,3.61,2.5500000000000003,3.42,2.63,-0.8,4.6899999999999995,-0.64,-1.26,-0.19999999999999973,3.32,-3.8200000000000003,1.5699999999999998,0.49,2.19,4.59,2.6599999999999997,1.1600000000000001
 CONJUNTO INFANTIL,2.5,4.33,-1.9800000000000002,-1.98,-2.65,-4.4,4.93,-3.5999999999999996,-0.6800000000000002,2.9899999999999998,4.75,0.52,3.3899999999999997,-1.96,1.06,-2.25,-0.19999999999999996
 CALÇADOS E ACESSÓRIOS,2.02,0.8099999999999998,1.8499999999999999,1.4100000000000001,1.0,0.87,0.16000000000000014,1.28,1.18,2.4600000000000004,-0.050000000000000044,0.2899999999999999,1.7400000000000002,-0.32999999999999996,-0.5700000000000001,0.3600000000000001,1.17
 CALÇADOS E ACESSÓRIOS,2.02,0.8099999999999998,1.8499999999999999,1.4100000000000001,1.0,0.87,0.16000000000000014,1.28,1.18,2.4600000000000004,-0.050000000000000044,0.2899999999999999,1.7400000000000002,-0.32999999999999996,-0.5700000000000001,0.3600000000000001,1.17
 SAPATO MASCULINO,1.21,2.5599999999999996,-0.1599999999999997,2.2199999999999998,-2.27,4.24,-2.5,0.56,1.0800000000000003,3.08,-1.8600000000000003,-1.47,1.52,-1.6500000000000001,0.3800000000000001,2.87,0.05000000000000002
 SAPATO FEMININO,2.29,1.3099999999999998,0.5399999999999998,-0.3700000000000001,0.6200000000000003,1.4600000000000002,-4.440892098500626e-16,0.8799999999999999,2.03,1.1099999999999999,-3.710000000000001,0.61,2.68,0.8799999999999999,-3.8000000000000003,-1.44,0.74
 SAPATO INFANTIL,0.0,0.0,0.0,3.1100000000000003,0.0,0.0,1.2899999999999998,0.0,1.57,3.87,2.1,0.0,0.6599999999999997,2.7300000000000004,0.44999999999999996,2.3600000000000003,2.39
 BOLSA,0.4899999999999999,-4.470000000000001,-0.8199999999999998,1.6700000000000002,0.0,-1.9899999999999998,2.77,0.83,-0.2799999999999998,0.0900000000000003,-0.10000000000000003,0.0,2.6399999999999997,-2.95,3.74,-4.38,-0.05999999999999994
 MOCHILA,0.0,0.0,0.0,-0.1200000000000001,0.0,0.0,2.4699999999999998,3.0799999999999996,0.0,0.0,0.0,0.0,0.0,-0.05000000000000002,-2.05,0.0,0.98
 TÊNIS,1.65,0.1399999999999999,3.09,1.7100000000000002,1.13,-0.77,2.24,3.61,0.7200000000000001,2.7699999999999996,2.31,0.2400000000000002,0.25,2.21,-3.6,1.65,1.36
 SANDÁLIA/CHINELO,4.16,3.87,2.87,1.85,4.220000000000001,2.1399999999999997,-0.66,0.05999999999999994,1.52,4.970000000000001,0.28,1.6900000000000002,3.99,-3.81,2.09,0.6599999999999999,2.55
 JOIAS E BIJUTERIAS,2.0,-0.17000000000000004,0.87,0.13,-1.13,-2.5300000000000002,1.3399999999999999,-1.3699999999999997,-1.73,0.17999999999999994,2.14,0.78,0.5099999999999998,-2.0100000000000002,0.48,1.4300000000000002,-0.09999999999999999
