Variacoes - -OUTUBRO - DEZEMBRO,RJ,POA,BH,REC,SP,DF,BEL,FOR,SAL,CUR,GOI,VIT,CG,RB,SL,AJU,NACIONAL
 PEIXE-ANCHOVA,0.0,0.0,0.0,-4.359999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.359999999999999
 PEIXE-CORVINA,5.27,0.0,0.0,3.89,0.0,0.0,0.0,0.0,-0.6099999999999999,0.0,0.0,0.0,0.0,0.0,1.77,1.06,2.23
 PEIXE-TAINHA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.74,0.0,-3.73
 PEIXE-SARDINHA,0.0,2.24,0.0,-3.92,0.0,0.0,0.0,0.0,2.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8400000000000001
 CAMARÃO,-1.1799999999999997,-0.67,0.0,-4.130000000000001,0.0,-0.41999999999999993,4.74,-1.1300000000000001,5.82,-3.8200000000000003,-3.1700000000000004,5.72,0.0,0.0,1.9000000000000001,-3.41,0.8700000000000001
 PEIXE-CAVALA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-6.390000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-6.390000000000001
 PEIXE-CAÇÃO,0.0,0.0,0.0,0.0,4.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.04
 PEIXE-MERLUZA,0.0,0.0,-0.2,-0.8800000000000001,-2.97,0.0,0.0,0.0,-4.0200000000000005,0.0,-3.8500000000000005,0.0,0.0,0.0,0.0,0.0,-2.6599999999999997
 PEIXE-SERRA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.8400000000000003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.8400000000000003
 PEIXE-PESCADA,0.0,0.0,0.0,0.0,2.59,0.0,1.83,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.180000000000001,4.069999999999999,0.76
 CARANGUEJO,1.53,0.0,0.0,0.0,0.0,0.0,-3.7800000000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.46
 PEIXE-CASTANHA,0.0,0.0,0.0,0.21999999999999997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.21999999999999997
 PEIXE-PALOMBETA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0
 PEIXE-CURIMATÃ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.72,0.0,0.0,6.709999999999999
 PEIXE-SALMÃO,2.35,0.0,0.0,0.0,-4.829999999999999,-4.8,0.0,4.47,0.4299999999999997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.7899999999999998
 PEIXE-TILÁPIA,0.0,1.8599999999999999,0.009999999999999842,3.63,1.95,-3.54,0.0,-2.75,0.18000000000000005,2.63,0.6799999999999999,-0.06999999999999984,3.91,0.0,0.0,-1.47,0.6100000000000001
 PEIXE-TAMBAQUI,0.0,0.0,0.0,0.0,0.0,-2.6599999999999997,1.65,0.0,0.0,0.0,4.35,0.0,-0.39,1.8800000000000001,-0.10000000000000009,0.0,0.74
 PEIXE-DOURADA,0.0,0.0,0.0,0.0,0.0,0.0,9.92,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.92
 PEIXE-FILHOTE,0.0,0.0,0.0,0.0,0.0,-6.069999999999999,17.26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.77
 PEIXE-PEROÁ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.32,0.0,0.0,0.0,0.0,9.32
 PEIXE-PINTADO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.25,0.0,0.0,0.0,6.25
 PEIXE-ARUANÃ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.1500000000000004,0.0,0.0,0.0,0.0,0.0,3.1500000000000004
 CARNES E PEIXES INDUSTRIALIZADOS,-0.94,-2.58,0.42000000000000004,-2.15,-2.5999999999999996,0.030000000000000027,-1.01,-3.57,-0.5200000000000001,-2.69,0.9400000000000001,-2.84,-0.4099999999999999,-1.33,-1.5,-3.04,-1.78
 PRESUNTO,4.09,-1.6199999999999999,1.8899999999999997,0.0,-0.8499999999999998,-0.5700000000000003,0.0,-2.5,-5.44,-5.17,0.3800000000000001,1.8100000000000003,-3.1,1.15,0.0,-1.6800000000000002,-0.74
 SALSICHA,0.0,-3.09,0.0,-3.8200000000000003,-3.46,0.0,0.0,0.0,0.0,0.41999999999999993,0.0,0.0,0.0,-4.45,0.0,0.0,-2.77
 LINGUIÇA,-1.6199999999999999,-2.93,0.02999999999999997,-1.59,-3.4000000000000004,-0.27999999999999986,1.76,-3.2800000000000002,-0.04999999999999982,-2.9599999999999995,0.8,-3.75,0.96,-0.9100000000000001,-1.53,0.94,-2.17
 MORTADELA,-7.55,0.0,1.0699999999999996,-0.29000000000000004,0.11999999999999988,0.0,0.0,-2.3000000000000003,0.0,-1.0300000000000002,3.97,0.0,-2.8200000000000003,0.0,0.0,0.0,-1.07
 SALAME,0.0,-2.0500000000000003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.0500000000000003
 BACALHAU,-3.83,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.58,0.0,-3.8099999999999996
 CARNE-SECA E DE SOL,1.56,0.0,0.0,-2.3000000000000003,0.0,1.69,-2.52,-5.78,-0.09999999999999998,0.0,0.0,0.8200000000000003,0.0,0.0,-0.44,-5.37,-1.21
 CARNE DE PORCO SALGADA E DEFUMADA,0.0,0.0,-0.41000000000000014,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.9299999999999997,-3.8200000000000003,0.0,0.0,0.0,0.0,-1.1
 AVES E OVOS,2.74,-0.8600000000000001,1.92,-1.5,1.29,0.7700000000000001,0.27,-0.34999999999999987,2.4699999999999998,1.4200000000000002,2.9899999999999998,8.93,1.8900000000000001,1.3399999999999999,2.9299999999999997,-2.25,1.25
 FRANGO INTEIRO,4.54,0.6800000000000002,4.49,-1.9900000000000002,2.96,-1.64,2.09,2.6300000000000003,3.95,5.040000000000001,4.79,14.979999999999999,6.6499999999999995,3.16,5.41,-2.0999999999999996,2.8600000000000003
 FRANGO EM PEDAÇOS,4.48,2.46,3.96,2.29,1.93,5.29,0.5,0.7100000000000001,5.2299999999999995,1.0,3.17,9.549999999999999,4.36,-2.8899999999999997,2.62,1.96,2.82
 OVO DE GALINHA,-2.51,-11.36,-4.42,-5.67,-1.3900000000000001,-1.4899999999999995,-5.93,-8.120000000000001,-5.59,-1.56,-0.7299999999999998,-1.13,-5.510000000000001,-0.6499999999999999,-8.33,-10.16,-4.25
 LEITES E DERIVADOS,-3.4799999999999995,-4.9399999999999995,-3.88,-2.37,-4.33,-5.359999999999999,-3.34,-0.9500000000000001,-2.69,-3.82,-2.72,-4.3,-3.67,-4.050000000000001,-5.05,-2.2499999999999996,-3.82
 LEITE LONGA VIDA,-6.16,-8.96,-6.529999999999999,-5.07,-8.45,-8.49,-1.0499999999999998,-0.9299999999999999,-6.609999999999999,-7.11,-4.88,-9.06,-5.5,-6.58,-5.87,-4.98,-7.32
 LEITE CONDENSADO,-4.34,-4.29,0.0,0.0,0.0,0.0,-8.35,0.0,0.0,0.0,0.0,0.0,0.0,-3.76,0.0,0.0,-5.1899999999999995
 LEITE EM PÓ,-0.38000000000000034,0.0,-2.47,-5.27,0.050000000000000044,0.0,-5.800000000000001,0.1399999999999999,-4.51,-3.37,-1.3499999999999999,-1.25,-1.28,-3.42,-5.27,-2.82,-2.93
 QUEIJO,-2.98,-1.9,-3.2,-1.66,-1.1500000000000001,-4.7,-0.4099999999999999,-1.85,1.7200000000000002,-2.64,-0.7599999999999996,0.6799999999999999,-1.1700000000000002,-4.16,-3.33,-0.6800000000000002,-1.71
 IOGURTE E BEBIDAS LÁCTEAS,0.53,2.3200000000000003,1.7200000000000002,4.48,0.5600000000000002,-0.1200000000000001,1.09,-4.07,2.4299999999999997,0.6299999999999999,1.49,-1.29,-1.8,3.0500000000000003,-1.78,0.31999999999999995,0.9700000000000001
 REQUEIJÃO,-2.36,0.0,-0.30999999999999983,0.0,-2.34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.9900000000000002
 MANTEIGA,-0.30999999999999983,0.0,-1.4,1.17,0.0,-1.9600000000000002,-1.14,0.32000000000000006,-2.41,0.0,-3.3499999999999996,-1.5300000000000002,0.0,-1.21,0.0,-0.8899999999999999,-1.3900000000000001
 LEITE FERMENTADO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.46999999999999986,0.0,0.0,0.0,0.0,0.0,0.0,0.46999999999999986
 PANIFICADOS,-0.71,-0.6499999999999999,-0.04999999999999993,-0.37,0.8200000000000001,0.61,0.28000000000000014,-0.88,-0.33,-1.18,0.0,0.88,-1.97,0.09999999999999999,-4.04,-2.15,-0.12000000000000001
