Variacoes - OUTUBRO - DEZEMBRO,RJ,POA,BH,REC,SP,DF,BEL,FOR,SAL,CUR,GOI,VIT,CG,RB,SL,AJU,NACIONAL
 ÍNDICE GERAL,2.74,2.9299999999999997,2.8899999999999997,3.16,2.9000000000000004,2.75,1.56,2.5700000000000003,3.6799999999999997,3.0300000000000002,3.5,3.27,2.99,2.99,3.05,2.98,2.9299999999999997
 ALIMENTAÇÃO E BEBIDAS,2.34,0.35,2.6,2.49,1.83,2.6100000000000003,0.03999999999999998,2.2800000000000002,3.3499999999999996,1.12,2.83,3.08,2.55,3.1100000000000003,3.85,2.9,1.9699999999999998
 ALIMENTAÇÃO NO DOMICÍLIO,2.0700000000000003,0.32999999999999996,3.1500000000000004,3.05,1.78,3.3,-0.30999999999999994,2.54,4.29,1.3599999999999999,3.17,3.3499999999999996,2.4000000000000004,2.93,4.24,4.4799999999999995,2.1500000000000004
" CEREAIS, LEGUMINOSAS E OLEAGINOSAS",-4.46,-9.02,-6.140000000000001,-2.91,-8.05,-2.9399999999999995,-10.15,-2.65,-3.4800000000000004,-5.3,-8.59,-6.71,-5.780000000000001,-6.11,-4.3999999999999995,-4.41,-6.2700000000000005
 ARROZ,-3.71,-11.41,-5.6,-2.3200000000000007,-8.84,-3.73,-9.25,-2.7100000000000004,-4.58,-7.33,-8.28,-7.47,-5.48,-6.29,-4.71,-3.84,-6.77
 FEIJÃO-MULATINHO,0.0,0.0,0.0,-2.91,0.0,0.0,0.0,0.0,-2.58,0.0,0.0,0.0,0.0,0.0,-1.15,0.0,-2.4499999999999997
 FEIJÃO-PRETO,-5.93,-5.83,0.0,0.0,0.0,-1.97,-9.1,0.0,0.0,-2.46,0.0,-4.33,0.0,0.0,0.0,0.0,-5.55
 FEIJÃO-MACÁÇAR (FRADINHO),0.0,0.0,0.0,0.9100000000000001,0.0,0.0,0.0,-2.49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.8399999999999999
 FEIJÃO-CARIOCA (RAJADO),0.0,0.0,-7.879999999999999,-5.539999999999999,-5.5200000000000005,-3.5,-13.94,0.0,-0.5800000000000001,0.0,-9.71,0.0,-7.56,-5.140000000000001,-3.46,-5.22,-6.28
 MILHO (EM GRÃO),0.0,3.01,0.0,0.0,0.0,5.51,0.0,0.0,0.0,5.76,0.0,0.0,0.0,0.0,0.0,0.0,4.720000000000001
" FARINHAS, FÉCULAS E MASSAS",3.9699999999999998,-0.21,0.64,1.99,1.04,1.1300000000000001,-0.49000000000000027,4.06,5.05,4.28,0.7100000000000001,3.29,2.49,0.63,-0.51,2.27,1.83
 FARINHA DE ARROZ,0.0,0.0,0.0,0.38000000000000034,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.38000000000000034
 MACARRÃO,3.84,3.0500000000000003,-2.3499999999999996,3.35,-1.7799999999999998,2.88,2.2800000000000002,4.2,5.640000000000001,4.2,3.08,4.26,0.95,3.58,4.97,1.88,1.65
 FUBÁ DE MILHO,0.0,0.0,0.0,4.3,0.0,0.0,0.0,5.2,0.0,0.0,0.0,0.0,0.0,0.0,4.59,5.26,4.69
 FLOCOS DE MILHO,0.0,0.0,0.0,-0.8,0.0,-0.4999999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.83,1.6500000000000001,-0.94
 FARINHA DE TRIGO,0.0,-1.41,4.45,0.0,2.45,0.0,0.0,0.0,1.1199999999999999,7.92,-3.11,2.62,6.209999999999999,0.0,0.0,0.0,2.5100000000000002
 FARINHA DE MANDIOCA,6.800000000000001,0.0,6.76,1.45,4.97,0.6000000000000001,-1.7499999999999996,2.93,6.24,0.0,5.28,8.45,0.0,-0.85,-2.39,1.56,2.19
 MASSA SEMIPREPARADA,3.2,-1.6700000000000002,-0.06999999999999984,0.0,3.22,1.6500000000000001,4.83,5.41,3.3099999999999996,3.0500000000000003,-3.1399999999999997,1.3399999999999999,2.17,0.0,0.0,0.0,1.8900000000000001
 MACARRÃO INSTANTÂNEO,3.46,0.0,0.0,0.0,-2.0,1.6900000000000002,0.0,0.0,0.0,1.06,0.0,1.08,1.9500000000000002,1.22,0.0,0.0,0.13
" TUBÉRCULOS, RAÍZES E LEGUMES",9.639999999999999,8.5,9.79,15.700000000000001,5.24,17.38,25.22,20.84,20.59,2.8599999999999994,18.53,25.110000000000003,19.77,16.44,43.21,27.05,11.49
 BATATA-DOCE,3.0600000000000023,0.0,0.0,-7.44,-0.649999999999999,0.0,0.0,0.0,-4.89,0.0,-3.1899999999999995,0.0,0.0,8.98,0.0,0.0,-2.010000000000001
 BATATA-INGLESA,-4.830000000000002,0.5600000000000005,-8.780000000000001,9.93,10.790000000000001,16.56,18.72,7.73,8.3,-2.0100000000000016,2.6900000000000013,5.789999999999999,-0.1700000000000017,17.04,28.09,17.82,3.09
 INHAME,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.520000000000003,0.0,0.0,0.0,-7.01,-0.6200000000000003
 MANDIOCA (AIPIM),0.0,0.0,19.53,-1.7799999999999998,0.0,10.8,0.0,0.0,10.120000000000001,0.0,0.0,0.0,4.83,7.0600000000000005,0.0,0.0,10.79
 ABOBRINHA,0.0,0.0,0.0,0.0,-26.689999999999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-26.689999999999998
 PEPINO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-28.199999999999996,0.0,0.0,0.0,0.0,0.0,0.0,-28.199999999999996
 PIMENTÃO,0.0,0.0,0.0,0.0,-16.71,-21.51,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-17.189999999999998
 TOMATE,27.16,13.200000000000001,21.22,13.93,7.41,24.76,32.010000000000005,24.09,30.91,9.96,24.660000000000004,36.67,22.29,20.459999999999997,56.82000000000001,36.7,18.26
 CEBOLA,22.24,12.330000000000002,41.510000000000005,64.66000000000001,43.62,56.5,21.56,46.42,41.489999999999995,32.52,51.74,35.86,66.98,18.39,29.619999999999997,36.28000000000001,35.97
 CENOURA,4.760000000000001,9.86,-8.950000000000001,14.31,14.950000000000001,0.009999999999999787,15.14,6.47,19.520000000000003,6.57,7.300000000000001,-4.190000000000001,0.0,0.0,0.0,25.909999999999997,8.129999999999999
 AÇÚCARES E DERIVADOS,3.4000000000000004,1.92,3.19,8.719999999999999,3.0,4.140000000000001,4.41,8.98,8.870000000000001,4.82,5.379999999999999,6.23,8.43,9.51,9.759999999999998,5.829999999999999,4.31
 AÇÚCAR REFINADO,9.7,9.14,0.0,2.44,11.219999999999999,14.489999999999998,14.190000000000001,14.91,15.76,11.24,0.0,0.0,0.0,19.44,10.219999999999999,0.0,11.190000000000001
 AÇÚCAR CRISTAL,0.0,8.08,3.17,12.66,0.0,7.06,4.1000000000000005,9.29,12.65,14.450000000000001,9.29,9.370000000000001,16.34,11.04,12.36,8.9,8.72
 BALAS,0.0,1.55,0.0,0.0,0.0,3.84,0.0,0.0,0.0,1.13,5.040000000000001,0.0,1.09,0.0,0.0,0.0,1.92
 CHOCOLATE EM BARRA E BOMBOM,-3.58,-0.48,6.4399999999999995,10.209999999999999,0.8899999999999999,3.51,-1.44,3.0100000000000007,2.87,4.15,2.7199999999999998,2.48,4.1,3.5,4.970000000000001,1.6999999999999997,1.5899999999999999
 SORVETE,-0.92,0.6600000000000001,3.99,8.04,-1.23,1.01,-1.57,6.52,3.7,1.05,-0.2700000000000001,1.3900000000000001,1.75,0.0,0.0,1.65,0.38
 CHOCOLATE E ACHOCOLATADO EM PÓ,0.15000000000000013,-1.82,-1.06,-3.7600000000000002,3.13,1.8900000000000003,-0.56,3.89,1.46,-1.02,5.390000000000001,4.93,3.51,-1.85,5.16,3.55,1.29
 DOCE DE FRUTAS EM PASTA,0.0,0.0,0.0,3.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.03
 AÇÚCAR DEMERARA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.16,4.16
 HORTALIÇAS E VERDURAS,9.459999999999999,2.51,19.339999999999996,3.8499999999999996,-8.799999999999999,0.15999999999999992,-1.35,4.97,-0.31000000000000005,-11.030000000000001,1.0099999999999998,2.5500000000000003,3.220000000000001,0.6199999999999997,5.17,8.540000000000001,-1.5899999999999996
 ALFACE,9.64,6.890000000000001,22.839999999999996,9.06,-11.68,-2.42,-7.43,2.12,2.71,-6.460000000000001,-0.33999999999999897,-0.68,9.799999999999999,2.53,9.249999999999998,5.01,-2.2300000000000004
 COENTRO,0.0,0.0,0.0,-1.4600000000000004,0.0,0.0,0.0,0.0,-0.98,0.0,0.0,0.0,0.0,0.0,0.0,11.93,-0.20000000000000007
 COUVE,3.0700000000000003,0.0,12.62,0.0,-5.359999999999999,0.0,0.0,0.0,0.0,0.0,0.0,12.290000000000001,0.0,0.3999999999999999,0.0,7.549999999999999,0.29000000000000004
 COUVE-FLOR,22.830000000000002,0.0,0.0,0.0,0.0,6.989999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.29
 REPOLHO,0.0,-6.470000000000001,0.0,0.0,-11.66,0.0,0.0,0.0,-5.550000000000001,-34.17,5.84,0.0,-20.26,0.0,18.04,0.0,-12.53
 CHEIRO-VERDE,9.35,8.989999999999998,14.51,11.69,-12.899999999999999,-0.74,-0.29000000000000004,5.8,-0.23000000000000007,-9.27,2.79,0.05999999999999961,4.82,-0.5499999999999998,-1.75,0.0,-1.25
 BRÓCOLIS,7.51,-4.52,17.56,0.0,9.309999999999999,5.58,1.8199999999999998,0.0,0.0,-0.4600000000000002,0.0,8.0,0.0,0.0,0.0,0.0,5.58
 FRUTAS,13.76,6.470000000000001,17.57,2.46,8.01,6.749999999999998,5.55,3.47,8.209999999999999,7.300000000000001,14.44,6.84,15.48,8.23,9.8,8.05,9.2
 BANANA-DA-TERRA,0.0,0.0,0.0,1.1500000000000001,0.0,0.0,0.0,0.0,4.88,0.0,0.0,-17.21,0.0,11.85,0.0,0.0,1.2100000000000002
 ABACAXI,5.72,-7.52,0.0,10.450000000000001,0.0,0.0,1.9500000000000002,0.0,0.0,0.0,7.789999999999999,-0.5800000000000001,14.33,0.0,0.0,4.62,3.0399999999999996
 ABACATE,0.0,0.0,0.0,0.0,0.0,0.0,20.8,0.0,0.0,0.0,0.0,0.0,0.0,34.330000000000005,0.0,0.0,22.98
 BANANA-D'ÁGUA,22.47,5.27,32.37,0.0,14.98,10.18,0.0,0.0,0.0,15.49,0.0,0.0,14.07,0.0,16.74,0.0,15.42
 BANANA-MAÇÃ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.47,0.0,21.11,0.0,0.0,0.0,21.940000000000005
 BANANA-PRATA,23.36,6.489999999999999,39.879999999999995,-10.14,10.1,12.67,3.99,-6.34,11.69,6.48,25.809999999999995,9.48,0.0,31.569999999999997,4.4,14.17,13.980000000000002
 LARANJA-BAÍA,0.0,24.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.01
 LARANJA-LIMA,0.0,0.0,14.090000000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.090000000000002
 LIMÃO,15.780000000000001,0.0,0.0,0.0,-4.340000000000002,15.27,0.0,0.0,0.0,0.0,3.3500000000000005,-3.6700000000000004,0.0,-2.84,0.0,0.0,-0.5700000000000003
 MAÇÃ,0.99,-0.7600000000000001,2.74,11.66,-8.51,-2.63,4.869999999999999,4.76,-0.7600000000000001,-4.27,-3.34,3.9099999999999997,7.32,-6.68,2.02,2.940000000000001,-1.5699999999999998
 MAMÃO,37.25,33.04,39.480000000000004,23.549999999999997,30.92,17.33,0.0,5.619999999999999,27.010000000000005,34.57,43.72,51.24,58.73,-11.489999999999998,0.0,13.57,31.77
 MANGA,9.27,-1.8499999999999999,5.940000000000001,0.0,6.720000000000001,-12.879999999999999,0.0,1.69,9.79,1.2599999999999998,0.0,11.729999999999999,0.0,0.0,0.0,-5.410000000000001,4.989999999999999
 MARACUJÁ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.16,23.79,0.0,0.0,0.0,0.0,0.0,0.0,22.07,27.73
 MELANCIA,0.0,0.0,14.989999999999998,-9.77,0.0,22.57,10.18,0.0,4.52,3.3500000000000005,31.32,0.0,13.010000000000002,-8.379999999999999,30.840000000000003,0.0,10.92
 MELÃO,-4.619999999999998,0.0,0.0,-9.149999999999999,0.0,10.56,-0.41000000000000014,0.0,0.0,-7.919999999999999,0.0,0.0,0.0,0.0,29.099999999999998,0.0,0.07000000000000028
 PERA,0.0,0.0,0.0,0.0,2.4899999999999998,0.0,0.0,0.0,0.0,0.0,14.73,2.7800000000000002,0.0,0.0,0.0,0.0,3.5199999999999996
 TANGERINA,0.0,0.0,0.0,0.0,21.6,0.0,0.0,0.0,0.0,7.04,0.0,0.0,0.0,0.0,0.0,0.0,18.189999999999998
 UVA,0.41000000000000003,0.41000000000000014,16.88,-8.809999999999999,-3.33,0.44999999999999996,0.17999999999999994,-2.2,-1.1800000000000002,5.17,9.07,2.7300000000000004,2.2299999999999995,2.4299999999999997,1.3199999999999998,0.88,0.3899999999999999
 LARANJA-PERA,2.4300000000000006,0.0,-12.92,24.85,3.76,-4.28,11.23,3.78,4.1,7.91,-5.529999999999999,-0.8099999999999996,6.06,3.0,3.16,10.930000000000001,1.8600000000000003
 MORANGO,0.0,-9.57,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-9.57
 GOIABA,0.0,0.0,0.0,0.0,0.0,0.0,5.55,10.94,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.29,6.74
 CARNES,-0.49,-1.83,2.08,-0.9200000000000002,-0.33000000000000007,0.8899999999999999,-2.2600000000000002,0.5499999999999997,2.42,-1.0000000000000002,4.02,1.74,-4.16,1.4,-1.2800000000000002,-0.22999999999999998,-0.04
 FÍGADO,0.0,0.0,0.0,6.0,0.0,0.0,2.79,3.04,-1.27,0.0,0.0,0.0,0.0,0.0,7.529999999999999,0.0,2.4899999999999998
 CARNE DE PORCO,-1.63,-0.4700000000000002,3.2399999999999998,0.9199999999999997,-4.25,-3.8,5.93,-4.72,-1.6100000000000003,-1.37,5.15,1.5499999999999998,-1.4099999999999997,0.7900000000000005,-0.11999999999999966,-0.2400000000000002,-0.8600000000000001
 CARNE DE CARNEIRO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.2200000000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.2200000000000002
 CUPIM,0.0,0.0,0.0,5.71,0.0,0.0,0.0,0.0,0.0,0.0,6.5200000000000005,0.0,0.0,0.0,0.0,0.0,6.12
 CONTRAFILÉ,0.2600000000000001,-0.5800000000000005,3.76,5.369999999999999,8.41,7.78,-1.8200000000000003,2.64,4.55,-3.81,5.49,3.4899999999999998,-1.5100000000000002,-0.8900000000000001,0.31999999999999984,1.6500000000000001,3.5100000000000002
 FILÉ-MIGNON,9.84,0.0,0.0,0.0,0.0,0.0,7.67,0.0,0.0,15.899999999999999,0.0,0.0,0.0,1.3399999999999999,0.0,0.0,11.26
 CHÃ DE DENTRO,4.71,-1.48,5.180000000000001,-4.08,3.55,0.6299999999999999,-0.08999999999999986,2.13,6.680000000000001,-5.37,2.1499999999999995,5.3100000000000005,-3.62,3.73,-0.7700000000000005,0.8400000000000003,1.54
 ALCATRA,4.34,0.6699999999999999,4.0200000000000005,5.19,4.04,-6.120000000000001,-0.25,2.14,3.1399999999999997,6.16,5.289999999999999,5.81,0.39,1.53,6.4399999999999995,2.1,3.12
 PATINHO,0.4400000000000004,0.0,2.05,-4.86,0.45000000000000007,0.0,-2.7499999999999996,-0.13,0.0,2.0700000000000003,2.6500000000000004,3.0999999999999996,-2.4800000000000004,1.15,-3.0199999999999996,0.8799999999999997,0.3
 LAGARTO REDONDO,0.0,0.0,0.0,0.0,0.0,0.0,-1.56,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.56
