Variacoes - JULHO - SETEMBRO,RJ,POA,BH,REC,SP,DF,BEL,FOR,SAL,CUR,GOI,VIT,CG,RB,SL,AJU,NACIONAL
 ÍNDICE GERAL,2.51,3.47,2.48,2.7300000000000004,3.03,3.09,2.69,2.57,2.56,4.35,2.7800000000000002,3.42,2.93,2.7600000000000002,2.77,2.37,2.9899999999999998
 ALIMENTAÇÃO E BEBIDAS,3.28,1.9699999999999998,3.2600000000000002,3.42,3.48,3.66,0.5,2.7,2.18,4.15,2.67,3.91,3.33,2.2399999999999998,1.5999999999999999,2.29,3.0100000000000002
 ALIMENTAÇÃO NO DOMICÍLIO,4.2299999999999995,1.8599999999999999,4.41,3.8499999999999996,4.53,4.51,-0.06999999999999998,3.12,2.6,4.6899999999999995,3.1799999999999997,4.45,3.91,2.44,1.3800000000000001,2.33,3.5999999999999996
" CEREAIS, LEGUMINOSAS E OLEAGINOSAS",-4.74,-4.61,-4.8100000000000005,-1.7999999999999998,-5.07,-4.87,-12.94,-5.0200000000000005,-1.92,-0.18000000000000016,-0.020000000000000018,-3.57,-5.12,-2.7800000000000002,-7.57,-3.7699999999999996,-4.57
 ARROZ,-5.3100000000000005,-4.0600000000000005,-5.7,-6.79,-5.8100000000000005,-6.76,-14.23,-5.76,-4.14,-0.7699999999999991,0.18999999999999995,-4.08,-5.73,-2.9000000000000004,-7.9399999999999995,-5.66,-5.41
 FEIJÃO-MULATINHO,0.0,0.0,0.0,1.4400000000000004,0.0,0.0,0.0,0.0,5.66,0.0,0.0,0.0,0.0,0.0,-7.89,0.0,1.4400000000000004
 FEIJÃO-PRETO,-3.61,-7.65,0.0,0.0,0.0,-8.24,-15.690000000000001,0.0,0.0,-3.13,0.0,-1.9,0.0,0.0,0.0,0.0,-5.38
 FEIJÃO-MACÁÇAR (FRADINHO),0.0,0.0,0.0,14.08,0.0,0.0,0.0,-3.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.22000000000000008
 FEIJÃO-CARIOCA (RAJADO),0.0,0.0,-1.71,1.04,-2.76,-1.74,-6.56,0.0,0.7699999999999999,0.0,-0.8799999999999999,0.0,-1.11,-2.13,-0.9099999999999999,-0.6,-2.05
 MILHO (EM GRÃO),0.0,0.9199999999999999,0.0,0.0,0.0,10.85,0.0,0.0,0.0,10.309999999999999,0.0,0.0,0.0,0.0,0.0,0.0,6.7700000000000005
" FARINHAS, FÉCULAS E MASSAS",4.34,1.0799999999999998,4.53,2.3,4.91,1.91,0.9300000000000002,2.8899999999999997,4.42,4.67,3.6000000000000005,4.56,5.54,1.46,2.4099999999999997,0.8499999999999999,3.58
 FARINHA DE ARROZ,0.0,0.0,0.0,1.1300000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1300000000000001
 MACARRÃO,4.29,3.23,6.050000000000001,2.87,2.73,1.44,-3.7399999999999993,2.22,3.03,5.24,-0.51,7.33,7.909999999999999,0.16000000000000003,2.71,3.1199999999999997,3.3
 FUBÁ DE MILHO,0.0,0.0,0.0,8.11,0.0,0.0,0.0,7.09,0.0,0.0,0.0,0.0,0.0,0.0,6.859999999999999,10.53,7.789999999999999
 FLOCOS DE MILHO,0.0,0.0,0.0,1.99,0.0,2.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4700000000000002,-5.38,1.27
 FARINHA DE TRIGO,0.0,-1.27,3.6299999999999994,0.0,0.9999999999999999,0.0,0.0,0.0,6.82,2.16,3.13,5.08,0.28000000000000014,0.0,0.0,0.0,1.55
 FARINHA DE MANDIOCA,-1.7400000000000002,0.0,-0.12,-1.44,2.58,0.51,2.2800000000000002,1.65,4.21,0.0,-0.20999999999999996,-0.7899999999999999,0.0,0.63,1.6400000000000001,-1.5699999999999998,1.5
 MASSA SEMIPREPARADA,7.589999999999999,1.2,5.18,0.0,9.04,3.3600000000000003,-0.76,3.77,6.79,5.74,11.19,2.86,7.39,0.0,0.0,0.0,6.1000000000000005
 MACARRÃO INSTANTÂNEO,3.1700000000000004,0.0,0.0,0.0,5.68,2.25,0.0,0.0,0.0,5.18,0.0,4.18,4.470000000000001,7.5600000000000005,0.0,0.0,4.79
" TUBÉRCULOS, RAÍZES E LEGUMES",10.5,6.65,25.91,4.51,25.24,21.95,13.29,7.6000000000000005,-3.6300000000000003,16.16,14.700000000000001,7.84,1.8599999999999994,9.56,-8.58,2.01,14.620000000000001
 BATATA-DOCE,37.290000000000006,0.0,0.0,25.150000000000002,35.94,0.0,0.0,0.0,-5.75,0.0,32.910000000000004,0.0,0.0,23.020000000000003,0.0,0.0,26.76
 BATATA-INGLESA,13.3,5.039999999999999,28.160000000000004,27.060000000000002,11.73,12.37,14.210000000000003,28.749999999999996,6.079999999999998,12.699999999999998,21.96,21.31,3.7099999999999973,9.5,-1.410000000000002,22.149999999999995,14.210000000000003
