Variacoes - ABRIL - JUNHO,RJ,POA,BH,REC,SP,DF,BEL,FOR,SAL,CUR,GOI,VIT,CG,RB,SL,AJU,NACIONAL
 ÍNDICE GERAL,1.67,2.02,1.58,2.16,1.4500000000000002,0.49000000000000005,1.42,2.44,2.07,2.0,1.53,1.71,2.09,2.67,1.83,1.83,1.67
 ALIMENTAÇÃO E BEBIDAS,1.24,2.45,0.37,1.3399999999999999,1.16,-0.19000000000000006,1.05,1.78,1.87,1.03,1.38,1.36,1.8699999999999999,2.24,2.23,0.98,1.27
 ALIMENTAÇÃO NO DOMICÍLIO,1.0,2.44,-0.27,1.54,0.51,-1.5500000000000003,1.1600000000000001,1.7999999999999998,2.57,1.02,0.99,1.6300000000000001,2.3,2.52,2.4699999999999998,1.19,1.03
" CEREAIS, LEGUMINOSAS E OLEAGINOSAS",-0.2100000000000004,0.060000000000000026,-3.92,-3.0,-1.04,-2.42,-8.19,0.4600000000000004,-0.31999999999999995,0.9500000000000002,-1.53,-1.42,-1.9100000000000001,-2.19,-1.5999999999999999,-1.8199999999999998,-1.5399999999999998
 ARROZ,-2.76,-3.1100000000000003,-3.07,-3.48,-2.24,-3.2500000000000004,-8.69,-2.4800000000000004,-2.01,0.7599999999999996,-2.09,-1.2799999999999998,-2.48,-2.75,-3.17,-2.4299999999999997,-2.7
 FEIJÃO-MULATINHO,0.0,0.0,0.0,1.09,0.0,0.0,0.0,0.0,4.62,0.0,0.0,0.0,0.0,0.0,19.07,0.0,6.09
 FEIJÃO-PRETO,5.109999999999999,9.030000000000001,0.0,0.0,0.0,-3.1500000000000004,-11.75,0.0,0.0,-1.2799999999999994,0.0,-1.7399999999999998,0.0,0.0,0.0,0.0,3.09
 FEIJÃO-MACÁÇAR (FRADINHO),0.0,0.0,0.0,-9.280000000000001,0.0,0.0,0.0,8.77,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.4
 FEIJÃO-CARIOCA (RAJADO),0.0,0.0,-6.779999999999999,-1.35,2.9800000000000004,-1.0600000000000003,-3.86,0.0,2.5799999999999996,0.0,0.6699999999999998,0.0,1.8399999999999999,0.7999999999999998,0.78,-0.76,0.04000000000000015
 MILHO (EM GRÃO),0.0,1.3200000000000003,0.0,0.0,0.0,4.609999999999999,0.0,0.0,0.0,7.2,0.0,0.0,0.0,0.0,0.0,0.0,4.5600000000000005
" FARINHAS, FÉCULAS E MASSAS",-0.14000000000000012,2.12,3.3600000000000003,4.54,3.88,-0.3200000000000001,1.41,2.86,3.36,4.16,3.8,5.86,-0.26000000000000006,2.7800000000000002,5.9,5.300000000000001,2.99
