Variacoes - JANEIRO - MARÇO,RJ,POA,BH,REC,SP,DF,BEL,FOR,SAL,CUR,GOI,VIT,CG,RB,SL,AJU,NACIONAL
 ÍNDICE GERAL,1.34,2.06,2.2399999999999998,1.8900000000000001,1.82,2.67,2.18,2.56,2.0,2.69,2.05,2.54,2.41,2.4499999999999997,1.8199999999999998,2.5300000000000002,2.04
 ALIMENTAÇÃO E BEBIDAS,0.94,1.6800000000000002,0.3400000000000001,1.6300000000000001,1.32,2.42,2.24,2.32,2.29,2.33,0.99,-0.5199999999999999,-0.66,2.98,0.54,2.16,1.42
 ALIMENTAÇÃO NO DOMICÍLIO,0.56,1.8399999999999999,-0.27,1.6800000000000002,1.0899999999999999,2.5700000000000003,2.4800000000000004,2.2,2.17,1.83,0.3,-1.59,-1.2999999999999998,3.35,0.07000000000000006,2.22,1.1700000000000002
" CEREAIS, LEGUMINOSAS E OLEAGINOSAS",-3.0900000000000003,2.77,-2.9999999999999996,-1.77,-1.52,-1.76,-0.2699999999999999,-0.04999999999999982,-2.9600000000000004,-4.8,-4.839999999999999,-6.16,-5.16,-2.68,-1.8199999999999998,0.68,-2.07
 ARROZ,-4.99,-0.4600000000000002,-4.5200000000000005,-4.84,-1.5099999999999998,-3.3900000000000006,-2.07,-2.59,-3.6799999999999997,-7.22,-5.5200000000000005,-9.26,-5.71,-3.79,-2.9899999999999998,-1.7700000000000002,-3.41
 FEIJÃO-MULATINHO,0.0,0.0,0.0,-2.12,0.0,0.0,0.0,0.0,1.49,0.0,0.0,0.0,0.0,0.0,14.509999999999998,0.0,2.3099999999999996
 FEIJÃO-PRETO,1.1399999999999997,13.16,0.0,0.0,0.0,6.16,5.87,0.0,0.0,6.140000000000001,0.0,4.78,0.0,0.0,0.0,0.0,4.88
 FEIJÃO-MACÁÇAR (FRADINHO),0.0,0.0,0.0,4.72,0.0,0.0,0.0,7.91,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.26
 FEIJÃO-CARIOCA (RAJADO),0.0,0.0,2.4499999999999997,3.2,-1.5399999999999998,1.4100000000000001,3.6199999999999997,0.0,-2.84,0.0,-2.21,0.0,-1.2999999999999998,3.79,2.23,5.16,-0.07000000000000006
 MILHO (EM GRÃO),0.0,4.34,0.0,0.0,0.0,0.71,0.0,0.0,0.0,-0.7799999999999999,0.0,0.0,0.0,0.0,0.0,0.0,1.3599999999999999
" FARINHAS, FÉCULAS E MASSAS",3.61,6.619999999999999,5.08,2.44,-1.42,-3.12,0.35000000000000003,1.57,1.66,2.98,2.99,-0.53,1.09,0.61,1.83,2.3200000000000003,1.7599999999999998
 FARINHA DE ARROZ,0.0,0.0,0.0,-5.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5.24
 MACARRÃO,7.630000000000001,6.35,7.539999999999999,6.640000000000001,-0.3500000000000001,-7.85,4.21,0.6399999999999999,3.14,4.06,7.11,-0.9100000000000001,-0.27,2.02,-3.0699999999999994,3.27,3.39
 FUBÁ DE MILHO,0.0,0.0,0.0,2.3400000000000003,0.0,0.0,0.0,7.03,0.0,0.0,0.0,0.0,0.0,0.0,0.98,2.99,3.4899999999999998
 FLOCOS DE MILHO,0.0,0.0,0.0,-0.22999999999999998,0.0,-1.23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.71,4.17,1.44
 FARINHA DE TRIGO,0.0,10.25,2.64,0.0,1.25,0.0,0.0,0.0,5.8100000000000005,3.25,-2.06,2.7800000000000002,4.9,0.0,0.0,0.0,4.29
 FARINHA DE MANDIOCA,3.44,0.0,5.779999999999999,2.5899999999999994,-1.88,-1.12,-0.40999999999999986,0.97,-1.52,0.0,4.82,-4.25,0.0,-1.54,1.7499999999999998,1.13,0.45999999999999996
 MASSA SEMIPREPARADA,0.3500000000000001,4.609999999999999,2.46,0.0,-3.08,-2.8200000000000003,-0.69,1.5099999999999998,5.720000000000001,2.0,0.5900000000000001,-2.91,-2.38,0.0,0.0,0.0,0.2699999999999999
 MACARRÃO INSTANTÂNEO,1.3299999999999998,0.0,0.0,0.0,-1.92,-4.960000000000001,0.0,0.0,0.0,2.29,0.0,3.19,4.68,7.93,0.0,0.0,-0.07999999999999996
" TUBÉRCULOS, RAÍZES E LEGUMES",-7.43,-8.48,-14.350000000000001,1.4900000000000002,-3.4400000000000013,0.09999999999999964,-5.960000000000001,6.09,3.7,3.619999999999999,-5.779999999999999,-10.54,-13.450000000000003,-7.42,3.09,-0.009999999999999787,-4.470000000000001
 BATATA-DOCE,21.82,0.0,0.0,8.49,23.31,0.0,0.0,0.0,6.1899999999999995,0.0,6.4,0.0,0.0,17.11,0.0,0.0,16.759999999999998
 BATATA-INGLESA,-15.030000000000001,-22.53,-20.11,-10.59,-6.880000000000001,-7.539999999999999,-12.669999999999998,4.630000000000003,3.59,-7.660000000000004,-14.63,-19.010000000000005,-44.540000000000006,-6.51,-0.1700000000000017,-8.11,-12.669999999999998
 INHAME,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-31.450000000000003,0.0,0.0,0.0,23.77,4.74
 MANDIOCA (AIPIM),0.0,0.0,-0.040000000000000924,18.55,0.0,5.29,0.0,0.0,-1.29,0.0,0.0,0.0,5.260000000000001,2.2300000000000004,0.0,0.0,5.260000000000001
 ABOBRINHA,0.0,0.0,0.0,0.0,27.839999999999996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.839999999999996
 PEPINO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.23,0.0,0.0,0.0,0.0,0.0,0.0,25.22
 PIMENTÃO,0.0,0.0,0.0,0.0,-11.129999999999999,-11.41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-11.16
 TOMATE,-27.240000000000002,-14.47,-26.120000000000005,-27.73,-13.290000000000003,-8.809999999999999,-17.78,-32.019999999999996,-25.09,0.4399999999999995,-11.339999999999998,-12.57,-15.269999999999998,-31.639999999999997,-14.149999999999999,-22.78,-17.78
 CEBOLA,27.71,25.92,16.7,46.92,19.09,54.129999999999995,31.299999999999997,59.53,52.16,44.42,26.88,35.940000000000005,25.61,18.009999999999998,34.75,40.39,31.299999999999997
 CENOURA,-7.220000000000001,-2.5100000000000002,-2.3499999999999996,-8.01,-8.21,1.9899999999999993,-7.3100000000000005,0.5600000000000005,-8.62,-2.9699999999999993,-6.64,-18.11,0.0,0.0,0.0,-12.350000000000001,-6.41
 AÇÚCARES E DERIVADOS,2.67,2.75,4.46,1.0899999999999999,-0.39,0.68,5.58,0.41999999999999993,3.5,1.31,0.39,4.28,3.0,2.68,2.08,3.0,1.6
