Variacoes - JULHO - SETEMBRO,RJ,POA,BH,REC,SP,DF,BEL,FOR,SAL,CUR,GOI,VIT,CG,RB,SL,AJU,NACIONAL
 ÍNDICE GERAL,0.73,1.38,1.3599999999999999,1.6400000000000001,0.99,1.29,1.63,1.55,0.98,1.2999999999999998,1.94,1.01,3.03,2.48,1.9499999999999997,0.74,1.24
 ALIMENTAÇÃO E BEBIDAS,1.9600000000000002,2.21,4.12,2.17,2.77,2.14,3.0599999999999996,3.5500000000000003,3.12,3.58,5.53,4.34,6.04,5.93,2.9699999999999998,2.66,3.0699999999999994
 ALIMENTAÇÃO NO DOMICÍLIO,2.56,2.64,5.4,2.2600000000000002,4.51,3.01,3.9400000000000004,4.08,4.12,4.78,6.88,4.97,7.470000000000001,7.6499999999999995,3.26,2.9600000000000004,4.18
" CEREAIS, LEGUMINOSAS E OLEAGINOSAS",17.130000000000003,12.47,13.089999999999998,5.33,12.44,12.010000000000002,7.65,26.309999999999995,8.07,19.93,30.79,14.37,16.38,15.32,7.919999999999999,13.3,14.24
 ARROZ,21.509999999999998,18.87,24.14,19.82,23.57,26.099999999999998,16.8,26.309999999999995,20.73,25.740000000000002,44.61,19.82,24.85,22.52,10.23,30.190000000000005,23.26
 FEIJÃO-MULATINHO,0.0,0.0,0.0,-5.03,0.0,0.0,0.0,0.0,-3.5,0.0,0.0,0.0,0.0,0.0,-2.33,0.0,-3.87
 FEIJÃO-PRETO,9.54,0.6800000000000004,0.0,0.0,0.0,0.5199999999999996,1.0999999999999994,0.0,0.0,1.19,0.0,-0.39999999999999997,0.0,0.0,0.0,0.0,5.109999999999999
 FEIJÃO-MACÁÇAR (FRADINHO),0.0,0.0,0.0,6.17,0.0,0.0,0.0,26.309999999999995,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.74
 FEIJÃO-CARIOCA (RAJADO),0.0,0.0,-14.64,-10.88,-10.84,-16.39,-16.61,0.0,-13.98,0.0,-7.02,0.0,-21.07,-12.57,-9.74,-7.090000000000001,-12.21
 MILHO (EM GRÃO),0.0,-1.1800000000000002,0.0,0.0,0.0,1.8900000000000003,0.0,0.0,0.0,8.66,0.0,0.0,0.0,0.0,0.0,0.0,4.03
" FARINHAS, FÉCULAS E MASSAS",-1.8699999999999999,1.12,1.69,0.18000000000000005,-0.3899999999999999,-0.65,0.6399999999999999,0.97,-0.15000000000000013,1.32,0.06,0.6299999999999999,2.88,-0.42999999999999994,1.67,0.030000000000000027,0.27
 FARINHA DE ARROZ,0.0,0.0,0.0,0.18000000000000005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18000000000000005
 MACARRÃO,0.020000000000000018,-0.06999999999999995,-0.06000000000000005,-3.8200000000000003,-2.8100000000000005,-6.200000000000001,5.390000000000001,-1.49,0.6000000000000001,-0.22999999999999987,-2.3299999999999996,-2.2399999999999998,2.92,0.6900000000000001,3.9799999999999995,-3.72,-0.95
 FUBÁ DE MILHO,0.0,0.0,0.0,1.7600000000000002,0.0,0.0,0.0,4.02,0.0,0.0,0.0,0.0,0.0,0.0,0.29999999999999993,3.36,2.25
 FLOCOS DE MILHO,0.0,0.0,0.0,7.87,0.0,2.63,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.7800000000000002,2.3000000000000007,5.4799999999999995
 FARINHA DE TRIGO,0.0,2.7800000000000002,1.35,0.0,2.7,0.0,0.0,0.0,3.93,4.24,7.88,5.94,2.76,0.0,0.0,0.0,3.2299999999999995
 FARINHA DE MANDIOCA,-3.9299999999999997,0.0,-3.0599999999999996,-1.3499999999999999,-0.22999999999999954,-2.5,-0.6000000000000001,2.41,-1.5799999999999996,0.0,-2.23,-2.79,0.0,-0.9099999999999999,1.1900000000000002,0.04999999999999982,-0.9399999999999998
 MASSA SEMIPREPARADA,-3.08,1.0,7.390000000000001,0.0,0.4700000000000002,0.9700000000000004,3.3,2.3000000000000003,-0.14999999999999947,-0.010000000000000231,0.020000000000000018,0.5800000000000001,1.5599999999999998,0.0,0.0,0.0,0.74
 MACARRÃO INSTANTÂNEO,-1.32,0.0,0.0,0.0,0.41000000000000014,4.33,0.0,0.0,0.0,4.279999999999999,0.0,3.6500000000000004,5.279999999999999,-0.26,0.0,0.0,1.1800000000000002
" TUBÉRCULOS, RAÍZES E LEGUMES",-31.119999999999997,-14.52,-19.56,-24.919999999999998,-13.57,-22.189999999999998,-15.5,-33.14,-29.39,-21.439999999999998,-23.09,-12.47,-10.210000000000003,-3.0,-27.57,-25.72,-20.5
 BATATA-DOCE,-4.35,0.0,0.0,-8.06,-7.99,0.0,0.0,0.0,-17.700000000000003,0.0,-5.03,0.0,0.0,0.0499999999999996,0.0,0.0,-9.459999999999999
 BATATA-INGLESA,-58.67,-29.04,-46.15,-47.83,-37.33,-47.31,-44.94,-43.46,-48.349999999999994,-41.629999999999995,-53.620000000000005,-59.19,-43.11,-18.41,-28.830000000000002,-40.22,-43.489999999999995
 INHAME,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.189999999999998,0.0,0.0,0.0,0.5999999999999996,5.62
 MANDIOCA (AIPIM),0.0,0.0,5.029999999999998,15.84,0.0,6.58,0.0,0.0,0.5200000000000005,0.0,0.0,0.0,6.180000000000001,-1.4000000000000001,0.0,0.0,6.579999999999999
 ABOBRINHA,0.0,0.0,0.0,0.0,-5.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5.05
 PEPINO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.7100000000000004,0.0,0.0,0.0,0.0,0.0,0.0,-3.7100000000000004
 PIMENTÃO,0.0,0.0,0.0,0.0,0.1200000000000001,11.559999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.199999999999999
 TOMATE,12.229999999999993,4.300000000000001,23.150000000000002,-2.950000000000003,13.11,-4.93,17.140000000000004,-15.120000000000001,-4.469999999999999,13.179999999999996,6.609999999999999,39.870000000000005,42.33,11.1,-22.29,-12.56,7.920000000000002
 CEBOLA,-41.800000000000004,-13.39,-47.09,-45.74,-27.96,-45.67,-35.72,-43.86,-43.61,-30.990000000000002,-43.730000000000004,-40.07,-34.08,-7.459999999999999,-31.93,-38.61,-35.730000000000004
 CENOURA,-12.690000000000001,-10.98,14.79,-12.620000000000001,-18.63,-6.079999999999998,-10.510000000000002,-17.04,-25.0,3.389999999999999,-2.9999999999999964,15.64,0.0,0.0,0.0,-11.62,-10.520000000000003
 AÇÚCARES E DERIVADOS,2.95,0.3400000000000003,5.710000000000001,0.22999999999999998,3.73,4.49,1.4499999999999997,4.8500000000000005,2.2099999999999995,4.15,2.03,3.56,-0.08000000000000007,-2.71,2.33,2.42,3.1300000000000003
 AÇÚCAR REFINADO,1.1,-1.3599999999999997,0.0,1.4200000000000004,-1.68,0.56,-0.5100000000000007,2.21,0.20000000000000018,-0.8300000000000001,0.0,0.0,0.0,-5.53,-4.380000000000001,0.0,-0.75
 AÇÚCAR CRISTAL,0.0,-0.1900000000000004,4.12,1.6799999999999997,0.0,6.16,0.41999999999999993,7.07,-0.74,3.3,4.34,4.91,-3.17,-3.7800000000000002,9.74,2.7300000000000004,2.5400000000000005
 BALAS,0.0,-2.12,0.0,0.0,0.0,1.29,0.0,0.0,0.0,0.28,-3.2800000000000002,0.0,-6.97,0.0,0.0,0.0,-1.23
 CHOCOLATE EM BARRA E BOMBOM,1.5,-1.27,7.609999999999999,-1.83,7.46,4.890000000000001,8.62,4.85,4.76,5.119999999999999,1.8599999999999999,4.0,2.5800000000000005,-1.19,9.0,1.2,5.210000000000001
 SORVETE,4.09,4.4,7.77,-2.59,3.3600000000000003,6.26,-0.30000000000000004,7.220000000000001,11.96,7.12,1.73,7.26,5.24,0.0,0.0,6.130000000000001,4.4799999999999995
 CHOCOLATE E ACHOCOLATADO EM PÓ,6.42,1.7000000000000004,4.57,1.1099999999999999,1.2899999999999998,2.59,4.370000000000001,0.2999999999999998,1.2599999999999998,4.61,0.33000000000000007,-2.01,-1.0100000000000002,2.0599999999999996,-0.76,0.28,2.4899999999999998
 DOCE DE FRUTAS EM PASTA,0.0,0.0,0.0,-1.9200000000000008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.9200000000000008
 AÇÚCAR DEMERARA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.27,-0.27
 HORTALIÇAS E VERDURAS,-7.41,0.0900000000000003,-8.27,-12.829999999999998,4.619999999999999,-6.36,-5.79,-6.48,-14.2,-3.68,-4.2,-2.74,3.8299999999999996,0.5800000000000001,-4.7,-22.54,-2.1799999999999997
 ALFACE,-2.59,2.59,-9.66,-13.29,18.84,-8.89,5.61,3.28,-10.530000000000001,-0.6500000000000004,-6.58,-3.1100000000000003,6.05,-3.1799999999999997,4.98,-26.62,5.61
 COENTRO,0.0,0.0,0.0,-8.63,0.0,0.0,0.0,0.0,-11.57,0.0,0.0,0.0,0.0,0.0,0.0,-24.67,-11.89
 COUVE,-12.129999999999999,0.0,-7.68,0.0,-8.010000000000002,0.0,0.0,0.0,0.0,0.0,0.0,-2.01,0.0,0.27,0.0,-9.05,-8.370000000000001
 COUVE-FLOR,-17.52,0.0,0.0,0.0,0.0,-1.9800000000000004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-14.379999999999999
 REPOLHO,0.0,-7.68,0.0,0.0,-11.43,0.0,0.0,0.0,-21.89,-9.77,-1.87,0.0,4.67,0.0,-13.26,0.0,-10.71
 CHEIRO-VERDE,-9.65,-0.56,-8.49,-23.3,-9.600000000000001,-4.68,-8.6,-9.25,-18.009999999999998,-4.75,6.140000000000001,-4.09,-3.7300000000000004,3.6300000000000003,-5.25,0.0,-8.59
 BRÓCOLIS,-1.2400000000000007,0.9600000000000002,-0.3999999999999997,0.0,-8.26,-3.6699999999999995,-4.25,0.0,0.0,-2.8499999999999988,0.0,1.01,0.0,0.0,0.0,0.0,-4.24
 FRUTAS,-0.4500000000000002,-0.25999999999999995,7.05,-2.24,5.05,3.47,-1.27,-2.37,-4.28,8.67,4.8,8.19,10.559999999999999,5.6,-3.75,0.2200000000000002,2.87
 BANANA-DA-TERRA,0.0,0.0,0.0,-2.24,0.0,0.0,0.0,0.0,-0.9800000000000004,0.0,0.0,2.53,0.0,-7.84,0.0,0.0,-1.0199999999999996
 ABACAXI,-10.780000000000001,-15.25,0.0,-9.59,0.0,0.0,-10.47,0.0,0.0,0.0,-6.7,-1.9099999999999997,-4.9399999999999995,0.0,0.0,-9.85,-10.49
 ABACATE,0.0,0.0,0.0,0.0,0.0,0.0,-1.27,0.0,0.0,0.0,0.0,0.0,0.0,16.29,0.0,0.0,0.78
 BANANA-D'ÁGUA,8.649999999999999,5.77,28.319999999999997,0.0,10.92,0.06000000000000005,0.0,0.0,0.0,36.949999999999996,0.0,0.0,14.27,0.0,12.68,0.0,14.48
 BANANA-MAÇÃ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,10.61,0.0,0.0,0.0,8.530000000000001
 BANANA-PRATA,-9.26,-7.910000000000001,8.009999999999998,-8.510000000000002,-11.570000000000002,-7.800000000000001,-6.73,-2.7700000000000014,-12.559999999999999,-13.33,-5.430000000000001,9.950000000000001,0.0,-0.16999999999999993,-7.92,2.83,-6.720000000000001
 LARANJA-BAÍA,0.0,-7.069999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-7.069999999999999
 LARANJA-LIMA,0.0,0.0,16.840000000000003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.840000000000003
 LIMÃO,49.83,0.0,0.0,0.0,82.52,81.7,0.0,0.0,0.0,0.0,55.43000000000001,70.0,0.0,68.75,0.0,0.0,75.99000000000001
 MAÇÃ,7.74,8.870000000000001,15.489999999999998,10.25,5.25,10.32,7.9799999999999995,7.449999999999999,2.51,7.51,9.49,15.74,15.66,10.96,-6.520000000000001,4.8,7.9799999999999995
 MAMÃO,5.420000000000001,3.1900000000000004,1.4000000000000012,-2.31,2.549999999999998,14.559999999999999,0.0,-0.6199999999999996,1.13,18.11,-2.960000000000001,6.800000000000001,9.139999999999997,-11.18,0.0,7.760000000000001,2.8800000000000003
 MANGA,-18.29,-4.68,-26.95,0.0,-13.48,-24.87,0.0,-12.07,-4.53,-11.149999999999999,0.0,-24.630000000000003,0.0,0.0,0.0,-2.02,-14.35
 MARACUJÁ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.07,9.34,0.0,0.0,0.0,0.0,0.0,0.0,4.74,6.18
 MELANCIA,0.0,0.0,11.690000000000001,-1.4499999999999997,0.0,4.26,4.239999999999998,0.0,0.8200000000000001,7.989999999999999,1.5900000000000005,0.0,14.35,5.41,-6.18,0.0,4.239999999999998
 MELÃO,0.10999999999999988,0.0,0.0,3.3499999999999996,0.0,3.1499999999999995,3.1000000000000005,0.0,0.0,5.7,0.0,0.0,0.0,0.0,2.66,0.0,3.12
 PERA,0.0,0.0,0.0,0.0,9.709999999999999,0.0,0.0,0.0,0.0,0.0,0.14000000000000012,16.64,0.0,0.0,0.0,0.0,8.89
 TANGERINA,0.0,0.0,0.0,0.0,5.05,0.0,0.0,0.0,0.0,8.67,0.0,0.0,0.0,0.0,0.0,0.0,5.88
 UVA,4.43,6.9399999999999995,2.5999999999999996,8.21,1.0699999999999998,1.1199999999999999,1.0199999999999998,-3.749999999999999,-9.129999999999999,-1.96,-0.41999999999999993,17.919999999999998,-4.56,-4.8100000000000005,-2.68,-0.14000000000000012,1.0499999999999998
 LARANJA-PERA,-5.45,0.0,10.450000000000001,-15.36,-4.31,0.9799999999999998,-1.2000000000000004,-12.04,-9.910000000000002,9.819999999999999,11.19,6.010000000000001,15.049999999999999,3.9300000000000006,5.369999999999999,-13.100000000000001,-1.2000000000000004
 MORANGO,0.0,-0.8799999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.8799999999999999
 GOIABA,0.0,0.0,0.0,0.0,0.0,0.0,-1.27,-8.23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.4399999999999995,-5.5200000000000005
 CARNES,7.869999999999999,6.77,15.84,10.23,10.12,8.2,14.68,6.26,18.7,9.7,14.530000000000001,10.78,16.62,14.82,12.77,14.620000000000001,11.540000000000001
 FÍGADO,0.0,0.0,0.0,10.129999999999999,0.0,0.0,10.06,11.879999999999999,11.24,0.0,0.0,0.0,0.0,0.0,6.7,0.0,10.280000000000001
 CARNE DE PORCO,10.780000000000001,13.030000000000001,25.99,20.17,16.1,19.15,19.14,8.79,5.959999999999999,26.07,21.98,20.84,21.75,12.479999999999999,19.68,15.24,18.42
 CARNE DE CARNEIRO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.26
 CUPIM,0.0,0.0,0.0,6.119999999999999,0.0,0.0,0.0,0.0,0.0,0.0,3.2600000000000007,0.0,0.0,0.0,0.0,0.0,4.71
 CONTRAFILÉ,5.359999999999999,6.7700000000000005,8.86,7.52,7.38,6.490000000000001,19.34,7.17,20.119999999999997,3.3600000000000003,12.809999999999999,2.7800000000000002,15.23,11.03,12.8,15.6,9.43
 FILÉ-MIGNON,0.45999999999999996,0.0,0.0,0.0,0.0,0.0,9.22,0.0,0.0,4.069999999999999,0.0,0.0,0.0,9.43,0.0,0.0,3.4800000000000004
 CHÃ DE DENTRO,12.2,1.8000000000000007,10.26,14.440000000000001,11.09,3.24,11.27,4.93,15.43,6.02,9.09,10.129999999999999,13.63,14.25,6.2299999999999995,12.600000000000001,9.84
 ALCATRA,5.489999999999999,-3.74,9.19,2.37,8.92,5.449999999999999,14.3,5.970000000000001,18.97,7.98,7.15,13.840000000000002,11.309999999999999,15.9,7.809999999999999,8.669999999999998,8.15
 PATINHO,4.41,0.0,9.370000000000001,5.3500000000000005,8.29,0.0,4.91,4.24,0.0,0.7799999999999999,12.53,7.58,10.0,14.67,9.43,7.71,7.09
 LAGARTO REDONDO,0.0,0.0,0.0,0.0,0.0,0.0,14.68,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.68
 LAGARTO COMUM,0.0,1.47,0.0,0.0,6.1,0.0,0.0,0.0,15.569999999999999,0.0,11.760000000000002,0.0,21.650000000000002,18.6,0.0,0.0,9.16
 MÚSCULO,4.27,7.55,15.19,10.22,12.41,0.0,11.55,0.0,17.18,4.27,16.75,0.0,10.86,17.63,11.58,14.43,11.219999999999999
 PÁ,0.0,8.44,15.67,7.510000000000001,10.27,0.0,16.83,0.0,0.0,0.0,0.0,10.31,17.89,15.870000000000001,2.9399999999999995,12.8,11.469999999999999
 ACÉM,12.059999999999999,6.73,16.27,9.350000000000001,9.530000000000001,8.52,12.72,4.220000000000001,21.78,11.7,16.6,5.68,21.28,13.540000000000001,14.610000000000001,20.61,11.9
 PEITO,0.0,0.0,0.0,0.0,0.0,0.0,14.120000000000001,0.0,0.0,0.0,0.0,0.0,16.98,16.520000000000003,5.78,16.81,13.73
 CAPA DE FILÉ,0.0,0.0,0.0,0.0,0.0,0.0,13.22,0.0,13.520000000000001,14.969999999999999,0.0,9.959999999999999,10.55,14.82,0.0,0.0,13.23
 COSTELA,14.58,11.33,15.780000000000001,12.870000000000001,11.379999999999999,10.2,19.259999999999998,9.719999999999999,29.94,8.79,24.560000000000002,9.620000000000001,19.73,26.06,20.78,16.44,15.629999999999999
 PICANHA,0.0,3.68,10.66,0.0,0.0,3.33,0.0,-0.5200000000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.430000000000001
 PESCADOS,-0.11999999999999988,-2.09,0.98,1.12,-1.1800000000000002,2.48,-1.9,-2.2,-0.3799999999999999,2.27,-1.4300000000000002,1.6400000000000001,4.15,1.93,-0.98,0.3500000000000001,-0.69
 PEIXE-ANCHOVA,0.0,0.0,0.0,1.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.12
 PEIXE-CORVINA,-0.7,0.0,0.0,5.84,0.0,0.0,0.0,0.0,0.6000000000000001,0.0,0.0,0.0,0.0,0.0,-3.82,1.75,0.34
 PEIXE-TAINHA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.98,0.0,-0.98
 PEIXE-SARDINHA,0.0,1.9,0.0,1.12,0.0,0.0,0.0,0.0,1.2899999999999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4699999999999998
 CAMARÃO,1.1300000000000001,0.30000000000000004,0.0,0.1,0.0,1.3399999999999999,0.0,4.61,2.51,2.04,-3.14,1.3899999999999997,0.0,0.0,-2.95,-0.4900000000000001,0.06999999999999998
 PEIXE-CAVALA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0999999999999996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0999999999999996
 PEIXE-CAÇÃO,0.0,0.0,0.0,0.0,-3.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.22
 PEIXE-MERLUZA,0.0,0.0,1.22,-0.8800000000000001,-1.53,0.0,0.0,0.0,-2.01,0.0,-3.2800000000000002,0.0,0.0,0.0,0.0,0.0,-1.4100000000000001
 PEIXE-SERRA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5.18
 PEIXE-PESCADA,0.0,0.0,0.0,0.0,-0.81,0.0,-3.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.050000000000000044,-1.6,-1.76
 CARANGUEJO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
 PEIXE-CASTANHA,0.0,0.0,0.0,-1.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.25
 PEIXE-PALOMBETA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.25
 PEIXE-CURIMATÃ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.22,0.0,0.0,3.22
 PEIXE-SALMÃO,-0.11999999999999988,0.0,0.0,0.0,-1.63,2.48,0.0,-2.2,-3.99,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.44
 PEIXE-TILÁPIA,0.0,-5.78,0.9300000000000002,-0.02,0.3,3.41,0.0,-2.83,-4.409999999999999,2.33,1.56,2.6100000000000003,2.99,0.0,0.0,2.68,-0.23
 PEIXE-TAMBAQUI,0.0,0.0,0.0,0.0,0.0,0.3899999999999997,-1.9,0.0,0.0,0.0,-0.6700000000000002,0.0,3.6899999999999995,1.56,-0.41999999999999993,0.0,-0.5599999999999999
 PEIXE-DOURADA,0.0,0.0,0.0,0.0,0.0,0.0,-2.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.1
 PEIXE-FILHOTE,0.0,0.0,0.0,0.0,0.0,4.959999999999999,-1.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.75
 PEIXE-PEROÁ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.25,0.0,0.0,0.0,0.0,1.25
 PEIXE-PINTADO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.309999999999999,0.0,0.0,0.0,8.309999999999999
 PEIXE-ARUANÃ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.4300000000000002,0.0,0.0,0.0,0.0,0.0,-1.4300000000000002
 CARNES E PEIXES INDUSTRIALIZADOS,2.14,4.92,7.92,5.98,8.12,6.23,2.15,8.28,9.82,8.0,2.1100000000000003,9.78,7.23,14.14,0.63,7.53,6.68
 PRESUNTO,0.6300000000000003,-1.45,3.8100000000000005,0.0,-2.46,4.93,0.0,4.49,2.16,0.4099999999999997,-3.13,4.3,-2.64,5.72,0.0,7.979999999999999,-0.24
 SALSICHA,0.0,3.8200000000000003,0.0,10.66,8.25,0.0,0.0,0.0,0.0,12.54,0.0,0.0,0.0,10.23,0.0,0.0,8.209999999999999
 LINGUIÇA,2.27,9.25,10.969999999999999,7.17,12.440000000000001,8.93,1.6899999999999995,12.34,13.030000000000001,9.48,3.0300000000000002,11.739999999999998,11.49,17.25,-2.7100000000000004,7.33,9.809999999999999
 MORTADELA,-1.3699999999999997,0.0,3.46,4.590000000000001,1.06,0.0,0.0,4.4399999999999995,0.0,7.34,5.670000000000001,0.0,1.85,0.0,0.0,0.0,2.42
 SALAME,0.0,4.92,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.92
 BACALHAU,2.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.88,0.0,1.74
 CARNE-SECA E DE SOL,6.359999999999999,0.0,0.0,5.13,0.0,2.27,2.43,2.83,9.690000000000001,0.0,0.0,2.5500000000000003,0.0,0.0,7.01,7.65,6.090000000000001
 CARNE DE PORCO SALGADA E DEFUMADA,0.0,0.0,2.3000000000000003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.8499999999999996,9.75,0.0,0.0,0.0,0.0,2.7600000000000002
 AVES E OVOS,1.61,2.1399999999999997,2.43,1.07,3.6999999999999997,0.23000000000000018,1.8199999999999998,1.29,3.44,1.24,2.3200000000000003,-0.71,1.96,0.020000000000000018,0.26000000000000023,-0.5499999999999998,2.17
 FRANGO INTEIRO,-3.5599999999999996,2.4,3.79,1.8,2.73,2.37,2.3200000000000003,0.08999999999999997,6.550000000000001,4.18,2.63,2.07,5.41,1.54,0.8900000000000001,1.15,2.3200000000000003
 FRANGO EM PEDAÇOS,4.13,3.94,5.5,2.96,6.39,2.45,2.53,3.7800000000000002,3.23,3.65,2.7300000000000004,1.81,3.6,3.6799999999999997,-0.78,-0.7399999999999998,4.470000000000001
 OVO DE GALINHA,-4.31,-2.99,-6.47,-3.3599999999999994,-2.63,-6.21,-0.69,2.12,-2.44,-10.969999999999999,0.46999999999999975,-11.19,-3.7399999999999998,-6.8100000000000005,-1.6900000000000002,-3.49,-3.46
 LEITES E DERIVADOS,9.809999999999999,7.71,9.44,9.71,8.03,8.39,8.55,9.57,8.56,7.48,11.25,15.7,9.89,11.19,9.7,10.52,8.78
 LEITE LONGA VIDA,19.18,12.35,16.53,16.59,14.649999999999999,10.9,8.459999999999999,15.139999999999999,17.58,12.059999999999999,14.260000000000002,15.040000000000001,11.48,15.43,13.02,18.48,14.64
 LEITE CONDENSADO,7.06,3.3900000000000006,0.0,0.0,0.0,0.0,15.81,0.0,0.0,0.0,0.0,0.0,0.0,11.5,0.0,0.0,7.51
 LEITE EM PÓ,2.2500000000000004,0.0,14.509999999999998,4.82,3.84,0.0,8.28,4.27,6.92,3.61,4.21,8.229999999999999,6.27,9.84,10.5,4.9399999999999995,6.04
 QUEIJO,7.24,3.06,2.09,13.61,1.8599999999999999,9.13,8.95,13.83,4.82,4.1000000000000005,13.05,26.54,11.850000000000001,5.35,5.13,15.97,5.329999999999999
 IOGURTE E BEBIDAS LÁCTEAS,1.54,1.4600000000000002,-1.68,2.5300000000000002,-0.1200000000000001,-0.0900000000000003,0.6100000000000003,-1.7399999999999998,-0.7000000000000002,2.37,2.69,3.94,0.35000000000000014,1.7999999999999998,-2.4,-3.32,0.4600000000000002
 REQUEIJÃO,1.9700000000000002,0.0,2.5500000000000003,0.0,0.019999999999999574,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8200000000000003
 MANTEIGA,3.18,0.0,-0.9899999999999998,2.2399999999999998,0.0,4.29,14.96,0.29000000000000004,3.87,0.0,4.66,9.360000000000001,0.0,10.82,0.0,1.5599999999999998,4.08
