Variacoes - ABRIL - JUNHO,RJ,POA,BH,REC,SP,DF,BEL,FOR,SAL,CUR,GOI,VIT,CG,RB,SL,AJU,NACIONAL
 ÍNDICE GERAL,-0.11000000000000004,-0.5,-0.7599999999999999,0.14,-0.36000000000000004,-0.39999999999999997,-0.7000000000000001,-0.3,0.05000000000000007,-0.9299999999999998,-0.68,-0.009999999999999926,-0.77,-0.63,-1.01,-0.31999999999999995,-0.43
 ALIMENTAÇÃO E BEBIDAS,2.63,3.0900000000000003,1.0899999999999999,3.4400000000000004,2.52,2.35,2.4000000000000004,2.7,4.22,1.55,1.42,3.15,1.51,1.1600000000000001,0.95,2.52,2.41
 ALIMENTAÇÃO NO DOMICÍLIO,3.49,3.7600000000000002,1.55,4.33,3.33,2.7,3.07,3.5600000000000005,4.93,1.73,1.53,3.7199999999999998,1.76,0.9099999999999999,0.7,2.19,3.0200000000000005
" CEREAIS, LEGUMINOSAS E OLEAGINOSAS",13.669999999999998,5.8100000000000005,14.57,17.79,17.17,13.469999999999999,18.049999999999997,10.49,18.380000000000003,11.17,11.59,14.38,10.97,9.440000000000001,9.469999999999999,15.57,14.190000000000001
 ARROZ,8.05,1.7399999999999998,11.67,9.53,8.469999999999999,5.34,12.34,10.49,10.86,8.180000000000001,6.989999999999999,11.49,8.98,4.16,7.969999999999999,7.14,8.629999999999999
 FEIJÃO-MULATINHO,0.0,0.0,0.0,17.79,0.0,0.0,0.0,0.0,28.48,0.0,0.0,0.0,0.0,0.0,26.39,0.0,23.88
 FEIJÃO-PRETO,24.439999999999998,17.759999999999998,0.0,0.0,0.0,31.67,29.29,0.0,0.0,33.09,0.0,22.64,0.0,0.0,0.0,0.0,24.6
 FEIJÃO-MACÁÇAR (FRADINHO),0.0,0.0,0.0,13.129999999999999,0.0,0.0,0.0,10.49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.05
 FEIJÃO-CARIOCA (RAJADO),0.0,0.0,21.46,32.81,37.17,33.129999999999995,29.46,0.0,30.580000000000002,0.0,24.32,0.0,19.97,32.629999999999995,12.23,26.220000000000002,30.91
 MILHO (EM GRÃO),0.0,3.2199999999999998,0.0,0.0,0.0,0.43999999999999995,0.0,0.0,0.0,0.9400000000000001,0.0,0.0,0.0,0.0,0.0,0.0,1.75
