Variacoes - JANEIRO - MARÇO,RJ,POA,BH,REC,SP,DF,BEL,FOR,SAL,CUR,GOI,VIT,CG,RB,SL,AJU,NACIONAL
 ÍNDICE GERAL,0.49,0.010000000000000009,0.75,0.99,0.65,0.009999999999999981,0.44,1.29,0.67,0.26,-0.4600000000000001,0.74,1.1099999999999999,0.29000000000000004,0.36000000000000004,1.46,0.53
 ALIMENTAÇÃO E BEBIDAS,0.65,1.59,2.11,2.83,1.3699999999999999,0.66,2.05,2.9299999999999997,2.28,1.3499999999999999,0.28,2.48,0.8500000000000001,2.15,2.9,5.279999999999999,1.63
 ALIMENTAÇÃO NO DOMICÍLIO,0.1499999999999999,0.92,2.3899999999999997,3.63,1.35,0.45999999999999996,2.27,3.4699999999999998,2.78,1.4799999999999998,-0.32,2.4799999999999995,0.6299999999999999,2.19,3.08,6.72,1.66
" CEREAIS, LEGUMINOSAS E OLEAGINOSAS",0.4099999999999997,7.83,2.2,4.69,0.6200000000000001,0.04999999999999999,-1.71,8.07,1.54,3.05,0.39,2.57,1.04,3.0999999999999996,5.87,3.89,2.16
 ARROZ,1.3000000000000003,7.08,3.31,2.5,4.970000000000001,3.04,1.0699999999999998,4.47,4.76,4.050000000000001,4.16,3.61,2.96,3.16,4.0200000000000005,4.02,3.91
 FEIJÃO-MULATINHO,0.0,0.0,0.0,12.36,0.0,0.0,0.0,0.0,-4.470000000000001,0.0,0.0,0.0,0.0,0.0,25.52,0.0,6.630000000000001
 FEIJÃO-PRETO,-1.2699999999999996,10.56,0.0,0.0,0.0,1.72,-1.1600000000000001,0.0,0.0,-1.66,0.0,-0.33999999999999997,0.0,0.0,0.0,0.0,1.0799999999999996
 FEIJÃO-MACÁÇAR (FRADINHO),0.0,0.0,0.0,-0.33000000000000007,0.0,0.0,0.0,19.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.3
 FEIJÃO-CARIOCA (RAJADO),0.0,0.0,-0.3999999999999999,6.369999999999999,-9.16,-8.31,-10.129999999999999,0.0,-2.6299999999999994,0.0,-9.24,0.0,-6.200000000000001,3.3900000000000006,15.88,3.9099999999999993,-5.430000000000001
 MILHO (EM GRÃO),0.0,6.74,0.0,0.0,0.0,1.31,0.0,0.0,0.0,2.7099999999999995,0.0,0.0,0.0,0.0,0.0,0.0,4.02
" FARINHAS, FÉCULAS E MASSAS",1.56,1.8800000000000001,2.27,1.5,1.0899999999999999,-0.06999999999999984,10.77,0.030000000000000027,4.23,-0.06,-0.6499999999999999,2.17,2.19,4.699999999999999,6.59,2.84,2.27
 FARINHA DE ARROZ,0.0,0.0,0.0,1.4100000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4100000000000001
 MACARRÃO,-0.010000000000000231,1.1699999999999997,0.28,-4.4399999999999995,-0.56,-2.3400000000000003,0.10999999999999999,-2.57,1.0199999999999998,-1.6199999999999999,-1.81,2.14,1.8599999999999999,-0.8900000000000001,-5.279999999999999,0.09999999999999998,-0.6499999999999999
 FUBÁ DE MILHO,0.0,0.0,0.0,2.7699999999999996,0.0,0.0,0.0,0.9600000000000002,0.0,0.0,0.0,0.0,0.0,0.0,6.289999999999999,4.470000000000001,3.04
 FLOCOS DE MILHO,0.0,0.0,0.0,0.94,0.0,-2.53,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.2399999999999998,5.010000000000001,0.12999999999999992
 FARINHA DE TRIGO,0.0,4.85,0.9800000000000001,0.0,-0.7399999999999998,0.0,0.0,0.0,2.7199999999999998,0.5099999999999999,0.15000000000000013,0.62,2.44,0.0,0.0,0.0,1.32
 FARINHA DE MANDIOCA,7.17,0.0,8.92,11.639999999999999,-3.75,-0.08000000000000007,15.030000000000001,1.7200000000000002,7.94,0.0,-0.5800000000000003,7.67,0.0,7.93,11.84,2.95,7.84
 MASSA SEMIPREPARADA,2.23,0.8999999999999999,2.33,0.0,4.94,2.23,-2.7800000000000002,3.61,0.6000000000000001,1.82,0.20999999999999996,0.7699999999999999,1.1,0.0,0.0,0.0,2.59
