Variacoes - OUTUBRO - DEZEMBRO,RJ,POA,BH,REC,SP,DF,BEL,FOR,SAL,CUR,GOI,VIT,CG,RB,SL,AJU,NACIONAL
 ÍNDICE GERAL,2.9,3.2800000000000002,3.56,2.78,3.02,2.49,3.17,3.09,2.54,3.27,3.48,3.29,3.29,3.8400000000000003,4.290000000000001,2.2,3.1
 ALIMENTAÇÃO E BEBIDAS,6.69,6.69,7.969999999999999,4.49,5.67,5.18,7.27,5.9399999999999995,3.63,5.9,7.29,7.1000000000000005,7.260000000000001,9.129999999999999,10.64,4.3,6.21
 ALIMENTAÇÃO NO DOMICÍLIO,8.37,9.01,10.11,5.53,7.55,7.26,8.86,7.25,4.51,7.799999999999999,9.18,9.030000000000001,8.690000000000001,11.23,12.370000000000001,5.449999999999999,8.02
" CEREAIS, LEGUMINOSAS E OLEAGINOSAS",19.17,20.92,20.26,12.350000000000001,19.759999999999998,16.35,22.090000000000003,18.15,14.47,17.32,9.24,21.84,19.84,21.42,23.839999999999996,6.130000000000001,18.46
 ARROZ,25.18,27.340000000000003,22.39,24.09,26.26,22.61,25.97,22.29,21.200000000000003,20.560000000000002,9.899999999999999,26.0,21.96,24.659999999999997,27.23,12.84,23.48
 FEIJÃO-MULATINHO,0.0,0.0,0.0,4.68,0.0,0.0,0.0,0.0,4.97,0.0,0.0,0.0,0.0,0.0,-8.969999999999999,0.0,2.3200000000000003
 FEIJÃO-PRETO,7.4,6.51,0.0,0.0,0.0,7.61,8.950000000000001,0.0,0.0,11.11,0.0,8.41,0.0,0.0,0.0,0.0,7.9
 FEIJÃO-MACÁÇAR (FRADINHO),0.0,0.0,0.0,7.369999999999999,0.0,0.0,0.0,6.660000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.76
 FEIJÃO-CARIOCA (RAJADO),0.0,0.0,13.28,-4.779999999999999,1.3699999999999999,1.5999999999999999,15.74,0.0,0.09999999999999948,0.0,6.73,0.0,6.6000000000000005,4.8100000000000005,7.0200000000000005,-4.9,4.05
 MILHO (EM GRÃO),0.0,6.64,0.0,0.0,0.0,3.5100000000000002,0.0,0.0,0.0,0.3400000000000001,0.0,0.0,0.0,0.0,0.0,0.0,3.0700000000000003
" FARINHAS, FÉCULAS E MASSAS",1.67,0.56,0.99,1.5799999999999998,4.589999999999999,4.51,-1.61,0.55,-0.09999999999999987,2.5500000000000003,0.7200000000000002,3.61,-0.9800000000000002,1.03,5.67,-0.2500000000000001,1.9600000000000002
 FARINHA DE ARROZ,0.0,0.0,0.0,3.59,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.59
 MACARRÃO,-0.7400000000000002,-2.5300000000000002,3.5,-0.5699999999999998,5.95,-0.31,5.74,0.2899999999999998,2.5600000000000005,0.8800000000000001,-1.34,2.83,-4.53,2.9400000000000004,1.53,-0.07000000000000006,1.9499999999999997
 FUBÁ DE MILHO,0.0,0.0,0.0,2.6399999999999997,0.0,0.0,0.0,1.96,0.0,0.0,0.0,0.0,0.0,0.0,1.0100000000000007,-1.69,1.67
 FLOCOS DE MILHO,0.0,0.0,0.0,-4.3999999999999995,0.0,6.079999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-8.64,-0.34999999999999987,-2.29
 FARINHA DE TRIGO,0.0,3.8,-3.3,0.0,-1.75,0.0,0.0,0.0,-1.01,4.43,-1.0399999999999998,2.73,-3.79,0.0,0.0,0.0,0.6599999999999999
 FARINHA DE MANDIOCA,5.410000000000001,0.0,-4.46,8.85,1.6400000000000001,10.940000000000001,-3.76,-0.39,-1.53,0.0,0.7,9.5,0.0,-1.0,10.579999999999998,0.19000000000000006,0.6599999999999999
 MASSA SEMIPREPARADA,3.3200000000000003,0.8200000000000001,3.0300000000000002,0.0,6.91,1.15,3.03,2.86,-1.0,4.03,3.83,2.3,3.8300000000000005,0.0,0.0,0.0,3.8800000000000003
 MACARRÃO INSTANTÂNEO,1.0,0.0,0.0,0.0,3.7700000000000005,2.6100000000000003,0.0,0.0,0.0,-0.26000000000000023,0.0,4.08,2.46,7.52,0.0,0.0,2.41
" TUBÉRCULOS, RAÍZES E LEGUMES",32.8,24.049999999999997,33.76,9.23,19.78,23.380000000000003,18.43,9.39,8.28,17.79,31.809999999999995,31.39,25.77,6.289999999999999,29.24,4.62,21.39
 BATATA-DOCE,40.019999999999996,0.0,0.0,7.899999999999999,35.400000000000006,0.0,0.0,0.0,3.9400000000000013,0.0,44.44,0.0,0.0,32.6,0.0,0.0,26.42
 BATATA-INGLESA,69.07,42.58,69.86,46.95,49.19,54.910000000000004,53.94,30.31,39.59,57.07,67.1,78.71000000000001,84.07,9.510000000000002,30.71,49.29,53.95
 INHAME,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.75,0.0,0.0,0.0,-12.660000000000002,1.35
 MANDIOCA (AIPIM),0.0,0.0,39.81,-4.300000000000001,0.0,9.14,0.0,0.0,-12.9,0.0,0.0,0.0,-6.36,2.38,0.0,0.0,9.129999999999999
 ABOBRINHA,0.0,0.0,0.0,0.0,-0.3200000000000003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.3200000000000003
 PEPINO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-12.330000000000002,0.0,0.0,0.0,0.0,0.0,0.0,-12.340000000000002
 PIMENTÃO,0.0,0.0,0.0,0.0,16.41,21.550000000000004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.950000000000003
 TOMATE,31.85,25.42,34.39,9.89,22.37,34.33,23.700000000000003,21.86,17.1,18.060000000000002,29.84,25.31,22.71,33.75,47.45,10.53,23.68
 CEBOLA,-7.119999999999999,-5.55,-3.9700000000000006,-12.86,-14.37,-12.97,-13.86,-20.52,-24.990000000000002,-37.27,-1.63,-9.7,-4.860000000000003,-30.18,1.88,-22.91,-13.86
 CENOURA,11.46,23.82,-5.270000000000001,5.279999999999999,14.140000000000002,-3.2,9.77,10.2,17.71,17.180000000000003,11.420000000000002,10.809999999999999,0.0,0.0,0.0,2.3200000000000003,9.77
 AÇÚCARES E DERIVADOS,4.23,2.87,4.1,6.82,3.08,4.81,4.38,6.9399999999999995,2.62,3.4600000000000004,8.040000000000001,5.35,6.7,3.3800000000000003,7.32,3.2800000000000002,3.94
 AÇÚCAR REFINADO,8.82,0.3900000000000001,0.0,11.18,10.95,6.13,6.609999999999999,10.09,-1.32,7.6499999999999995,0.0,0.0,0.0,1.45,5.3999999999999995,0.0,8.34
 AÇÚCAR CRISTAL,0.0,9.07,6.7,7.96,0.0,15.82,6.050000000000001,10.200000000000001,5.59,10.6,21.79,9.72,12.819999999999999,7.0600000000000005,19.91,4.58,9.34
 BALAS,0.0,0.9800000000000001,0.0,0.0,0.0,5.98,0.0,0.0,0.0,0.29999999999999993,2.9400000000000004,0.0,0.6,0.0,0.0,0.0,1.47
 CHOCOLATE EM BARRA E BOMBOM,-2.23,2.99,-0.20000000000000018,1.9399999999999995,-1.0999999999999999,1.32,-0.19000000000000028,1.0400000000000003,-0.17000000000000004,-1.69,2.3,1.2,0.20000000000000007,3.9800000000000004,-5.3,-0.6400000000000001,-0.43999999999999995
 SORVETE,3.98,4.46,4.46,1.9800000000000002,4.07,1.99,2.64,-0.61,3.11,9.030000000000001,-0.02000000000000013,0.94,4.8100000000000005,0.0,0.0,3.68,4.08
 CHOCOLATE E ACHOCOLATADO EM PÓ,3.1100000000000003,-2.17,3.34,5.260000000000001,3.869999999999999,3.3899999999999997,3.6500000000000004,5.220000000000001,0.020000000000000018,2.4899999999999998,-1.1300000000000001,4.42,6.550000000000001,-5.41,-2.93,1.99,2.68
 DOCE DE FRUTAS EM PASTA,0.0,0.0,0.0,14.96,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.96
 AÇÚCAR DEMERARA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.47,3.47
 HORTALIÇAS E VERDURAS,5.52,2.209999999999999,5.27,20.09,8.05,7.16,2.9200000000000004,1.0299999999999994,11.17,12.879999999999999,12.66,11.129999999999999,10.99,7.87,14.279999999999998,12.86,7.7700000000000005
 ALFACE,3.8000000000000007,3.0500000000000007,5.65,24.340000000000003,7.179999999999999,15.02,5.9,-5.16,10.07,4.27,10.35,20.72,3.9499999999999993,5.59,9.709999999999999,19.73,6.88
 COENTRO,0.0,0.0,0.0,18.02,0.0,0.0,0.0,0.0,7.72,0.0,0.0,0.0,0.0,0.0,0.0,12.15,11.64
 COUVE,3.139999999999999,0.0,0.15999999999999998,0.0,0.9399999999999995,0.0,0.0,0.0,0.0,0.0,0.0,2.66,0.0,-0.55,0.0,3.7700000000000005,1.1100000000000003
 COUVE-FLOR,13.549999999999999,0.0,0.0,0.0,0.0,8.280000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.42
 REPOLHO,0.0,10.53,0.0,0.0,53.11,0.0,0.0,0.0,17.28,35.65,43.879999999999995,0.0,52.550000000000004,0.0,52.44,0.0,37.89
 CHEIRO-VERDE,5.58,-12.690000000000001,6.779999999999999,19.880000000000003,-7.419999999999999,1.38,1.3399999999999999,3.01,16.24,10.68,-1.6600000000000004,7.24,12.279999999999998,13.06,5.3100000000000005,0.0,1.21
 BRÓCOLIS,5.1,4.35,9.86,0.0,8.78,-5.249999999999999,7.42,0.0,0.0,14.7,0.0,0.9000000000000001,0.0,0.0,0.0,0.0,7.42
 FRUTAS,14.990000000000002,17.6,25.77,9.41,8.0,11.07,11.709999999999999,0.9100000000000004,0.52,13.18,9.54,11.819999999999999,19.87,19.03,16.939999999999998,4.1000000000000005,11.52
 BANANA-DA-TERRA,0.0,0.0,0.0,9.41,0.0,0.0,0.0,0.0,3.7099999999999995,0.0,0.0,-10.489999999999998,0.0,51.61,0.0,0.0,4.01
 ABACAXI,-8.881784197001252e-16,14.2,0.0,6.8100000000000005,0.0,0.0,7.6499999999999995,0.0,0.0,0.0,12.3,10.65,7.73,0.0,0.0,3.5399999999999996,7.639999999999999
 ABACATE,0.0,0.0,0.0,0.0,0.0,0.0,17.939999999999998,0.0,0.0,0.0,0.0,0.0,0.0,76.65,0.0,0.0,26.089999999999996
 BANANA-D'ÁGUA,36.75,26.599999999999998,32.33,0.0,21.15,30.36,0.0,0.0,0.0,37.61,0.0,0.0,29.630000000000003,0.0,26.53,0.0,26.54
 BANANA-MAÇÃ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.78,0.0,26.25,0.0,0.0,0.0,17.94
 BANANA-PRATA,34.11,19.72,50.18,1.92,15.34,30.479999999999997,20.919999999999998,-7.699999999999999,1.9400000000000002,37.769999999999996,28.65,30.790000000000003,0.0,13.190000000000001,19.15,2.55,20.919999999999998
 LARANJA-BAÍA,0.0,45.989999999999995,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.989999999999995
 LARANJA-LIMA,0.0,0.0,54.83,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54.83
 LIMÃO,-30.840000000000003,0.0,0.0,0.0,-53.38,-36.669999999999995,0.0,0.0,0.0,0.0,-52.65,-63.78000000000001,0.0,-32.5,0.0,0.0,-49.580000000000005
 MAÇÃ,15.75,28.55,27.72,15.17,19.83,22.22,21.02,13.879999999999999,12.07,18.16,13.86,22.72,24.689999999999998,28.85,34.870000000000005,11.040000000000001,20.41
 MAMÃO,24.419999999999998,12.43,31.310000000000002,7.759999999999999,25.17,28.09,0.0,-2.29,6.85,31.16,22.419999999999998,56.73,45.71,3.8299999999999996,0.0,11.29,21.82
 MANGA,-13.610000000000001,-6.8999999999999995,-32.540000000000006,0.0,-28.34,-22.79,0.0,-37.46,-51.190000000000005,-32.629999999999995,0.0,-27.490000000000002,0.0,0.0,0.0,-14.41,-28.78
